Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,32,16,1,768,128,6.0,3.05,54.08,2.46,1.3,0.12,1.3,memory
IntelGaudi2B,BF16,2,32,16,1,768,128,12.0,6.11,54.08,2.46,2.6,0.23,2.6,memory
IntelGaudi2B,BF16,4,32,16,1,768,128,24.0,12.22,54.08,2.46,5.21,0.47,5.21,memory
IntelGaudi2B,BF16,8,32,16,1,768,128,48.0,24.44,54.08,2.46,10.42,0.93,10.42,memory
IntelGaudi2B,BF16,16,32,16,1,768,128,96.0,48.88,54.08,2.46,20.83,1.86,20.83,memory
IntelGaudi2B,BF16,32,32,16,1,768,128,192.0,97.75,54.08,2.46,41.67,3.72,41.67,memory
IntelGaudi2B,BF16,64,32,16,1,768,128,384.0,195.5,54.08,2.46,83.33,7.45,83.33,memory
IntelGaudi2B,BF16,128,32,16,1,768,128,768.0,391.0,54.08,2.46,166.66,14.89,166.66,memory
IntelGaudi2B,BF16,256,32,16,1,768,128,1536.0,782.0,54.08,2.46,333.33,29.78,333.33,memory
IntelGaudi2B,BF16,512,32,16,1,768,128,3072.0,1564.0,54.08,2.46,666.66,59.56,666.66,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,16,1,1280,128,10.0,5.09,54.08,2.46,2.17,0.19,2.17,memory
IntelGaudi2B,BF16,2,32,16,1,1280,128,20.0,10.17,54.08,2.46,4.34,0.39,4.34,memory
IntelGaudi2B,BF16,4,32,16,1,1280,128,40.0,20.34,54.08,2.46,8.67,0.78,8.67,memory
IntelGaudi2B,BF16,8,32,16,1,1280,128,80.0,40.69,54.08,2.46,17.34,1.55,17.34,memory
IntelGaudi2B,BF16,16,32,16,1,1280,128,160.0,81.38,54.08,2.46,34.69,3.1,34.69,memory
IntelGaudi2B,BF16,32,32,16,1,1280,128,320.0,162.75,54.08,2.46,69.37,6.2,69.37,memory
IntelGaudi2B,BF16,64,32,16,1,1280,128,640.0,325.5,54.08,2.46,138.74,12.41,138.74,memory
IntelGaudi2B,BF16,128,32,16,1,1280,128,1280.0,651.0,54.08,2.46,277.49,24.82,277.49,memory
IntelGaudi2B,BF16,256,32,16,1,1280,128,2560.0,1302.0,54.08,2.46,554.98,49.64,554.98,memory
IntelGaudi2B,BF16,512,32,16,1,1280,128,5120.0,2604.0,54.08,2.46,1109.96,99.27,1109.96,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,16,1,2304,128,18.0,9.15,54.08,2.46,3.9,0.35,3.9,memory
IntelGaudi2B,BF16,2,32,16,1,2304,128,36.0,18.3,54.08,2.46,7.8,0.7,7.8,memory
IntelGaudi2B,BF16,4,32,16,1,2304,128,72.0,36.59,54.08,2.46,15.6,1.4,15.6,memory
IntelGaudi2B,BF16,8,32,16,1,2304,128,144.0,73.19,54.08,2.46,31.2,2.79,31.2,memory
IntelGaudi2B,BF16,16,32,16,1,2304,128,288.0,146.38,54.08,2.46,62.39,5.58,62.39,memory
IntelGaudi2B,BF16,32,32,16,1,2304,128,576.0,292.75,54.08,2.46,124.78,11.17,124.78,memory
IntelGaudi2B,BF16,64,32,16,1,2304,128,1152.0,585.5,54.08,2.46,249.57,22.34,249.57,memory
IntelGaudi2B,BF16,128,32,16,1,2304,128,2304.0,1171.0,54.08,2.46,499.14,44.67,499.14,memory
IntelGaudi2B,BF16,256,32,16,1,2304,128,4608.0,2342.0,54.08,2.46,998.28,89.35,998.28,memory
IntelGaudi2B,BF16,512,32,16,1,2304,128,9216.0,4684.0,54.08,2.46,1996.56,178.69,1996.56,memory
,,,,,,,,,,,,,,,
