Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,32,16,1,768,128,6.0,3.05,27.04,2.46,1.3,0.23,1.3,memory
IntelGaudi2B,BF16,2,32,16,1,768,128,12.0,6.11,27.04,2.46,2.6,0.47,2.6,memory
IntelGaudi2B,BF16,4,32,16,1,768,128,24.0,12.22,27.04,2.46,5.21,0.93,5.21,memory
IntelGaudi2B,BF16,8,32,16,1,768,128,48.0,24.44,27.04,2.46,10.42,1.86,10.42,memory
IntelGaudi2B,BF16,16,32,16,1,768,128,96.0,48.88,27.04,2.46,20.83,3.72,20.83,memory
IntelGaudi2B,BF16,32,32,16,1,768,128,192.0,97.75,27.04,2.46,41.67,7.45,41.67,memory
IntelGaudi2B,BF16,64,32,16,1,768,128,384.0,195.5,27.04,2.46,83.33,14.89,83.33,memory
IntelGaudi2B,BF16,128,32,16,1,768,128,768.0,391.0,27.04,2.46,166.66,29.78,166.66,memory
IntelGaudi2B,BF16,256,32,16,1,768,128,1536.0,782.0,27.04,2.46,333.33,59.56,333.33,memory
IntelGaudi2B,BF16,512,32,16,1,768,128,3072.0,1564.0,27.04,2.46,666.66,119.13,666.66,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,16,1,1280,128,10.0,5.09,27.04,2.46,2.17,0.39,2.17,memory
IntelGaudi2B,BF16,2,32,16,1,1280,128,20.0,10.17,27.04,2.46,4.34,0.78,4.34,memory
IntelGaudi2B,BF16,4,32,16,1,1280,128,40.0,20.34,27.04,2.46,8.67,1.55,8.67,memory
IntelGaudi2B,BF16,8,32,16,1,1280,128,80.0,40.69,27.04,2.46,17.34,3.1,17.34,memory
IntelGaudi2B,BF16,16,32,16,1,1280,128,160.0,81.38,27.04,2.46,34.69,6.2,34.69,memory
IntelGaudi2B,BF16,32,32,16,1,1280,128,320.0,162.75,27.04,2.46,69.37,12.41,69.37,memory
IntelGaudi2B,BF16,64,32,16,1,1280,128,640.0,325.5,27.04,2.46,138.74,24.82,138.74,memory
IntelGaudi2B,BF16,128,32,16,1,1280,128,1280.0,651.0,27.04,2.46,277.49,49.64,277.49,memory
IntelGaudi2B,BF16,256,32,16,1,1280,128,2560.0,1302.0,27.04,2.46,554.98,99.27,554.98,memory
IntelGaudi2B,BF16,512,32,16,1,1280,128,5120.0,2604.0,27.04,2.46,1109.96,198.55,1109.96,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,16,1,2304,128,18.0,9.15,27.04,2.46,3.9,0.7,3.9,memory
IntelGaudi2B,BF16,2,32,16,1,2304,128,36.0,18.3,27.04,2.46,7.8,1.4,7.8,memory
IntelGaudi2B,BF16,4,32,16,1,2304,128,72.0,36.59,27.04,2.46,15.6,2.79,15.6,memory
IntelGaudi2B,BF16,8,32,16,1,2304,128,144.0,73.19,27.04,2.46,31.2,5.58,31.2,memory
IntelGaudi2B,BF16,16,32,16,1,2304,128,288.0,146.38,27.04,2.46,62.39,11.17,62.39,memory
IntelGaudi2B,BF16,32,32,16,1,2304,128,576.0,292.75,27.04,2.46,124.78,22.34,124.78,memory
IntelGaudi2B,BF16,64,32,16,1,2304,128,1152.0,585.5,27.04,2.46,249.57,44.67,249.57,memory
IntelGaudi2B,BF16,128,32,16,1,2304,128,2304.0,1171.0,27.04,2.46,499.14,89.35,499.14,memory
IntelGaudi2B,BF16,256,32,16,1,2304,128,4608.0,2342.0,27.04,2.46,998.28,178.69,998.28,memory
IntelGaudi2B,BF16,512,32,16,1,2304,128,9216.0,4684.0,27.04,2.46,1996.56,357.38,1996.56,memory
,,,,,,,,,,,,,,,
