Device,DType,BS,SeqLenQ,SeqLenKV,HiddenSize,IntermediateSize,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,1,768,4096,13696,107.0,107.03,3.38,2.46,45.62,33.19,50.27,memory
IntelGaudi2B,BF16,2,1,768,4096,13696,214.0,107.07,6.76,2.46,45.64,33.19,50.28,memory
IntelGaudi2B,BF16,4,1,768,4096,13696,428.0,107.14,13.52,2.46,45.67,33.19,50.31,memory
IntelGaudi2B,BF16,8,1,768,4096,13696,856.0,107.27,27.04,2.46,45.72,33.19,50.37,memory
IntelGaudi2B,BF16,16,1,768,4096,13696,1712.0,107.54,54.08,2.46,45.84,33.19,50.49,memory
IntelGaudi2B,BF16,32,1,768,4096,13696,3424.0,108.09,108.16,2.46,46.07,33.19,50.72,memory
IntelGaudi2B,BF16,64,1,768,4096,13696,6848.0,109.17,216.32,2.46,46.53,33.19,51.18,memory
IntelGaudi2B,BF16,128,1,768,4096,13696,13696.0,111.34,432.0,2.46,47.46,33.24,52.11,memory
IntelGaudi2B,BF16,256,1,768,4096,13696,27392.0,115.69,432.0,2.46,49.31,66.49,77.24,compute
IntelGaudi2B,BF16,512,1,768,4096,13696,54784.0,124.38,432.0,2.46,53.01,132.97,143.44,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,1,1280,4096,13696,107.0,107.03,3.38,2.46,45.62,33.19,50.27,memory
IntelGaudi2B,BF16,2,1,1280,4096,13696,214.0,107.07,6.76,2.46,45.64,33.19,50.28,memory
IntelGaudi2B,BF16,4,1,1280,4096,13696,428.0,107.14,13.52,2.46,45.67,33.19,50.31,memory
IntelGaudi2B,BF16,8,1,1280,4096,13696,856.0,107.27,27.04,2.46,45.72,33.19,50.37,memory
IntelGaudi2B,BF16,16,1,1280,4096,13696,1712.0,107.54,54.08,2.46,45.84,33.19,50.49,memory
IntelGaudi2B,BF16,32,1,1280,4096,13696,3424.0,108.09,108.16,2.46,46.07,33.19,50.72,memory
IntelGaudi2B,BF16,64,1,1280,4096,13696,6848.0,109.17,216.32,2.46,46.53,33.19,51.18,memory
IntelGaudi2B,BF16,128,1,1280,4096,13696,13696.0,111.34,432.0,2.46,47.46,33.24,52.11,memory
IntelGaudi2B,BF16,256,1,1280,4096,13696,27392.0,115.69,432.0,2.46,49.31,66.49,77.24,compute
IntelGaudi2B,BF16,512,1,1280,4096,13696,54784.0,124.38,432.0,2.46,53.01,132.97,143.44,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,1,2304,4096,13696,107.0,107.03,3.38,2.46,45.62,33.19,50.27,memory
IntelGaudi2B,BF16,2,1,2304,4096,13696,214.0,107.07,6.76,2.46,45.64,33.19,50.28,memory
IntelGaudi2B,BF16,4,1,2304,4096,13696,428.0,107.14,13.52,2.46,45.67,33.19,50.31,memory
IntelGaudi2B,BF16,8,1,2304,4096,13696,856.0,107.27,27.04,2.46,45.72,33.19,50.37,memory
IntelGaudi2B,BF16,16,1,2304,4096,13696,1712.0,107.54,54.08,2.46,45.84,33.19,50.49,memory
IntelGaudi2B,BF16,32,1,2304,4096,13696,3424.0,108.09,108.16,2.46,46.07,33.19,50.72,memory
IntelGaudi2B,BF16,64,1,2304,4096,13696,6848.0,109.17,216.32,2.46,46.53,33.19,51.18,memory
IntelGaudi2B,BF16,128,1,2304,4096,13696,13696.0,111.34,432.0,2.46,47.46,33.24,52.11,memory
IntelGaudi2B,BF16,256,1,2304,4096,13696,27392.0,115.69,432.0,2.46,49.31,66.49,77.24,compute
IntelGaudi2B,BF16,512,1,2304,4096,13696,54784.0,124.38,432.0,2.46,53.01,132.97,143.44,compute
,,,,,,,,,,,,,,
