Device,DType,BS,SeqLenQ,SeqLenKV,HiddenSize,IntermediateSize,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,512,512,4096,13696,54784.0,124.38,432.0,2.46,53.01,132.97,143.44,compute
IntelGaudi2B,BF16,2,512,512,4096,13696,109568.0,141.75,432.0,2.46,60.42,265.95,241.27,compute
IntelGaudi2B,BF16,4,512,512,4096,13696,219136.0,176.5,432.0,2.46,75.23,531.9,436.93,compute
IntelGaudi2B,BF16,8,512,512,4096,13696,438272.0,246.0,432.0,2.46,104.86,1063.8,828.24,compute
IntelGaudi2B,BF16,16,512,512,4096,13696,876544.0,385.0,432.0,2.46,164.11,2127.6,1610.87,compute
IntelGaudi2B,BF16,32,512,512,4096,13696,1753088.0,663.0,432.0,2.46,282.6,4255.2,3176.14,compute
IntelGaudi2B,BF16,64,512,512,4096,13696,3506176.0,1219.0,432.0,2.46,519.6,8510.4,6306.67,compute
IntelGaudi2B,BF16,128,512,512,4096,13696,7012352.0,2331.0,432.0,2.46,993.59,17020.8,12567.73,compute
IntelGaudi2B,BF16,256,512,512,4096,13696,14024704.0,4555.0,432.0,2.46,1941.57,34041.59,25089.85,compute
IntelGaudi2B,BF16,512,512,512,4096,13696,28049408.0,9003.0,432.0,2.46,3837.53,68083.19,50134.1,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,1024,1024,4096,13696,109568.0,141.75,432.0,2.46,60.42,265.95,241.27,compute
IntelGaudi2B,BF16,2,1024,1024,4096,13696,219136.0,176.5,432.0,2.46,75.23,531.9,436.93,compute
IntelGaudi2B,BF16,4,1024,1024,4096,13696,438272.0,246.0,432.0,2.46,104.86,1063.8,828.24,compute
IntelGaudi2B,BF16,8,1024,1024,4096,13696,876544.0,385.0,432.0,2.46,164.11,2127.6,1610.87,compute
IntelGaudi2B,BF16,16,1024,1024,4096,13696,1753088.0,663.0,432.0,2.46,282.6,4255.2,3176.14,compute
IntelGaudi2B,BF16,32,1024,1024,4096,13696,3506176.0,1219.0,432.0,2.46,519.6,8510.4,6306.67,compute
IntelGaudi2B,BF16,64,1024,1024,4096,13696,7012352.0,2331.0,432.0,2.46,993.59,17020.8,12567.73,compute
IntelGaudi2B,BF16,128,1024,1024,4096,13696,14024704.0,4555.0,432.0,2.46,1941.57,34041.59,25089.85,compute
IntelGaudi2B,BF16,256,1024,1024,4096,13696,28049408.0,9003.0,432.0,2.46,3837.53,68083.19,50134.1,compute
IntelGaudi2B,BF16,512,1024,1024,4096,13696,56098816.0,17899.0,432.0,2.46,7629.46,136166.37,100222.59,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,2048,2048,4096,13696,219136.0,176.5,432.0,2.46,75.23,531.9,436.93,compute
IntelGaudi2B,BF16,2,2048,2048,4096,13696,438272.0,246.0,432.0,2.46,104.86,1063.8,828.24,compute
IntelGaudi2B,BF16,4,2048,2048,4096,13696,876544.0,385.0,432.0,2.46,164.11,2127.6,1610.87,compute
IntelGaudi2B,BF16,8,2048,2048,4096,13696,1753088.0,663.0,432.0,2.46,282.6,4255.2,3176.14,compute
IntelGaudi2B,BF16,16,2048,2048,4096,13696,3506176.0,1219.0,432.0,2.46,519.6,8510.4,6306.67,compute
IntelGaudi2B,BF16,32,2048,2048,4096,13696,7012352.0,2331.0,432.0,2.46,993.59,17020.8,12567.73,compute
IntelGaudi2B,BF16,64,2048,2048,4096,13696,14024704.0,4555.0,432.0,2.46,1941.57,34041.59,25089.85,compute
IntelGaudi2B,BF16,128,2048,2048,4096,13696,28049408.0,9003.0,432.0,2.46,3837.53,68083.19,50134.1,compute
IntelGaudi2B,BF16,256,2048,2048,4096,13696,56098816.0,17899.0,432.0,2.46,7629.46,136166.37,100222.59,compute
IntelGaudi2B,BF16,512,2048,2048,4096,13696,112197632.0,35691.0,432.0,2.46,15213.3,272332.74,200399.57,compute
,,,,,,,,,,,,,,
