Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,71,40,1,768,64,6.66,3.86,135.2,2.46,1.65,0.05,1.65,memory
IntelGaudi2B,BF16,2,71,40,1,768,64,13.31,7.73,135.2,2.46,3.29,0.1,3.29,memory
IntelGaudi2B,BF16,4,71,40,1,768,64,26.62,15.45,135.2,2.46,6.59,0.21,6.59,memory
IntelGaudi2B,BF16,8,71,40,1,768,64,53.25,30.9,135.2,2.46,13.17,0.41,13.17,memory
IntelGaudi2B,BF16,16,71,40,1,768,64,106.5,61.8,135.2,2.46,26.34,0.83,26.34,memory
IntelGaudi2B,BF16,32,71,40,1,768,64,213.0,123.61,135.2,2.46,52.69,1.65,52.69,memory
IntelGaudi2B,BF16,64,71,40,1,768,64,426.0,247.21,135.2,2.46,105.37,3.3,105.37,memory
IntelGaudi2B,BF16,128,71,40,1,768,64,852.0,494.42,135.2,2.46,210.75,6.61,210.75,memory
IntelGaudi2B,BF16,256,71,40,1,768,64,1704.0,988.84,135.2,2.46,421.5,13.22,421.5,memory
IntelGaudi2B,BF16,512,71,40,1,768,64,3408.0,1977.69,135.2,2.46,842.99,26.43,842.99,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,71,40,1,1280,64,11.09,6.43,135.2,2.46,2.74,0.09,2.74,memory
IntelGaudi2B,BF16,2,71,40,1,1280,64,22.19,12.86,135.2,2.46,5.48,0.17,5.48,memory
IntelGaudi2B,BF16,4,71,40,1,1280,64,44.38,25.73,135.2,2.46,10.97,0.34,10.97,memory
IntelGaudi2B,BF16,8,71,40,1,1280,64,88.75,51.46,135.2,2.46,21.93,0.69,21.93,memory
IntelGaudi2B,BF16,16,71,40,1,1280,64,177.5,102.91,135.2,2.46,43.87,1.38,43.87,memory
IntelGaudi2B,BF16,32,71,40,1,1280,64,355.0,205.82,135.2,2.46,87.73,2.75,87.73,memory
IntelGaudi2B,BF16,64,71,40,1,1280,64,710.0,411.65,135.2,2.46,175.47,5.51,175.47,memory
IntelGaudi2B,BF16,128,71,40,1,1280,64,1420.0,823.3,135.2,2.46,350.93,11.01,350.93,memory
IntelGaudi2B,BF16,256,71,40,1,1280,64,2840.0,1646.59,135.2,2.46,701.86,22.03,701.86,memory
IntelGaudi2B,BF16,512,71,40,1,1280,64,5680.0,3293.19,135.2,2.46,1403.72,44.05,1403.72,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,71,40,1,2304,64,19.97,11.57,135.2,2.46,4.93,0.15,4.93,memory
IntelGaudi2B,BF16,2,71,40,1,2304,64,39.94,23.14,135.2,2.46,9.86,0.31,9.86,memory
IntelGaudi2B,BF16,4,71,40,1,2304,64,79.88,46.28,135.2,2.46,19.73,0.62,19.73,memory
IntelGaudi2B,BF16,8,71,40,1,2304,64,159.75,92.57,135.2,2.46,39.46,1.24,39.46,memory
IntelGaudi2B,BF16,16,71,40,1,2304,64,319.5,185.13,135.2,2.46,78.91,2.48,78.91,memory
IntelGaudi2B,BF16,32,71,40,1,2304,64,639.0,370.26,135.2,2.46,157.82,4.96,157.82,memory
IntelGaudi2B,BF16,64,71,40,1,2304,64,1278.0,740.52,135.2,2.46,315.65,9.91,315.65,memory
IntelGaudi2B,BF16,128,71,40,1,2304,64,2556.0,1481.05,135.2,2.46,631.3,19.82,631.3,memory
IntelGaudi2B,BF16,256,71,40,1,2304,64,5112.0,2962.09,135.2,2.46,1262.59,39.65,1262.59,memory
IntelGaudi2B,BF16,512,71,40,1,2304,64,10224.0,5924.19,135.2,2.46,2525.19,79.29,2525.19,memory
,,,,,,,,,,,,,,,
