Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,71,40,1,768,64,6.66,3.86,67.6,2.46,1.65,0.1,1.65,memory
IntelGaudi2B,BF16,2,71,40,1,768,64,13.31,7.73,67.6,2.46,3.29,0.21,3.29,memory
IntelGaudi2B,BF16,4,71,40,1,768,64,26.62,15.45,67.6,2.46,6.59,0.41,6.59,memory
IntelGaudi2B,BF16,8,71,40,1,768,64,53.25,30.9,67.6,2.46,13.17,0.83,13.17,memory
IntelGaudi2B,BF16,16,71,40,1,768,64,106.5,61.8,67.6,2.46,26.34,1.65,26.34,memory
IntelGaudi2B,BF16,32,71,40,1,768,64,213.0,123.61,67.6,2.46,52.69,3.3,52.69,memory
IntelGaudi2B,BF16,64,71,40,1,768,64,426.0,247.21,67.6,2.46,105.37,6.61,105.37,memory
IntelGaudi2B,BF16,128,71,40,1,768,64,852.0,494.42,67.6,2.46,210.75,13.22,210.75,memory
IntelGaudi2B,BF16,256,71,40,1,768,64,1704.0,988.84,67.6,2.46,421.5,26.43,421.5,memory
IntelGaudi2B,BF16,512,71,40,1,768,64,3408.0,1977.69,67.6,2.46,842.99,52.86,842.99,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,71,40,1,1280,64,11.09,6.43,67.6,2.46,2.74,0.17,2.74,memory
IntelGaudi2B,BF16,2,71,40,1,1280,64,22.19,12.86,67.6,2.46,5.48,0.34,5.48,memory
IntelGaudi2B,BF16,4,71,40,1,1280,64,44.38,25.73,67.6,2.46,10.97,0.69,10.97,memory
IntelGaudi2B,BF16,8,71,40,1,1280,64,88.75,51.46,67.6,2.46,21.93,1.38,21.93,memory
IntelGaudi2B,BF16,16,71,40,1,1280,64,177.5,102.91,67.6,2.46,43.87,2.75,43.87,memory
IntelGaudi2B,BF16,32,71,40,1,1280,64,355.0,205.82,67.6,2.46,87.73,5.51,87.73,memory
IntelGaudi2B,BF16,64,71,40,1,1280,64,710.0,411.65,67.6,2.46,175.47,11.01,175.47,memory
IntelGaudi2B,BF16,128,71,40,1,1280,64,1420.0,823.3,67.6,2.46,350.93,22.03,350.93,memory
IntelGaudi2B,BF16,256,71,40,1,1280,64,2840.0,1646.59,67.6,2.46,701.86,44.05,701.86,memory
IntelGaudi2B,BF16,512,71,40,1,1280,64,5680.0,3293.19,67.6,2.46,1403.72,88.11,1403.72,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,71,40,1,2304,64,19.97,11.57,67.6,2.46,4.93,0.31,4.93,memory
IntelGaudi2B,BF16,2,71,40,1,2304,64,39.94,23.14,67.6,2.46,9.86,0.62,9.86,memory
IntelGaudi2B,BF16,4,71,40,1,2304,64,79.88,46.28,67.6,2.46,19.73,1.24,19.73,memory
IntelGaudi2B,BF16,8,71,40,1,2304,64,159.75,92.57,67.6,2.46,39.46,2.48,39.46,memory
IntelGaudi2B,BF16,16,71,40,1,2304,64,319.5,185.13,67.6,2.46,78.91,4.96,78.91,memory
IntelGaudi2B,BF16,32,71,40,1,2304,64,639.0,370.26,67.6,2.46,157.82,9.91,157.82,memory
IntelGaudi2B,BF16,64,71,40,1,2304,64,1278.0,740.52,67.6,2.46,315.65,19.82,315.65,memory
IntelGaudi2B,BF16,128,71,40,1,2304,64,2556.0,1481.05,67.6,2.46,631.3,39.65,631.3,memory
IntelGaudi2B,BF16,256,71,40,1,2304,64,5112.0,2962.09,67.6,2.46,1262.59,79.29,1262.59,memory
IntelGaudi2B,BF16,512,71,40,1,2304,64,10224.0,5924.19,67.6,2.46,2525.19,158.59,2525.19,memory
,,,,,,,,,,,,,,,
