Device,DType,BS,SeqLenQ,SeqLenKV,HiddenSize,IntermediateSize,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,1,768,4544,18176,157.53,157.57,3.38,2.46,67.17,48.87,74.01,memory
IntelGaudi2B,BF16,2,1,768,4544,18176,315.06,157.62,6.76,2.46,67.18,48.87,74.03,memory
IntelGaudi2B,BF16,4,1,768,4544,18176,630.12,157.7,13.52,2.46,67.22,48.87,74.06,memory
IntelGaudi2B,BF16,8,1,768,4544,18176,1260.25,157.88,27.04,2.46,67.3,48.87,74.14,memory
IntelGaudi2B,BF16,16,1,768,4544,18176,2520.5,158.22,54.08,2.46,67.44,48.87,74.29,memory
IntelGaudi2B,BF16,32,1,768,4544,18176,5041.0,158.92,108.16,2.46,67.74,48.87,74.58,memory
IntelGaudi2B,BF16,64,1,768,4544,18176,10082.0,160.3,216.32,2.46,68.33,48.87,75.17,memory
IntelGaudi2B,BF16,128,1,768,4544,18176,20164.0,163.08,432.0,2.46,69.51,48.94,76.36,memory
IntelGaudi2B,BF16,256,1,768,4544,18176,40328.0,168.62,432.0,2.46,71.88,97.89,112.99,compute
IntelGaudi2B,BF16,512,1,768,4544,18176,80656.0,179.72,432.0,2.46,76.61,195.77,209.73,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,1,1280,4544,18176,157.53,157.57,3.38,2.46,67.17,48.87,74.01,memory
IntelGaudi2B,BF16,2,1,1280,4544,18176,315.06,157.62,6.76,2.46,67.18,48.87,74.03,memory
IntelGaudi2B,BF16,4,1,1280,4544,18176,630.12,157.7,13.52,2.46,67.22,48.87,74.06,memory
IntelGaudi2B,BF16,8,1,1280,4544,18176,1260.25,157.88,27.04,2.46,67.3,48.87,74.14,memory
IntelGaudi2B,BF16,16,1,1280,4544,18176,2520.5,158.22,54.08,2.46,67.44,48.87,74.29,memory
IntelGaudi2B,BF16,32,1,1280,4544,18176,5041.0,158.92,108.16,2.46,67.74,48.87,74.58,memory
IntelGaudi2B,BF16,64,1,1280,4544,18176,10082.0,160.3,216.32,2.46,68.33,48.87,75.17,memory
IntelGaudi2B,BF16,128,1,1280,4544,18176,20164.0,163.08,432.0,2.46,69.51,48.94,76.36,memory
IntelGaudi2B,BF16,256,1,1280,4544,18176,40328.0,168.62,432.0,2.46,71.88,97.89,112.99,compute
IntelGaudi2B,BF16,512,1,1280,4544,18176,80656.0,179.72,432.0,2.46,76.61,195.77,209.73,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,1,2304,4544,18176,157.53,157.57,3.38,2.46,67.17,48.87,74.01,memory
IntelGaudi2B,BF16,2,1,2304,4544,18176,315.06,157.62,6.76,2.46,67.18,48.87,74.03,memory
IntelGaudi2B,BF16,4,1,2304,4544,18176,630.12,157.7,13.52,2.46,67.22,48.87,74.06,memory
IntelGaudi2B,BF16,8,1,2304,4544,18176,1260.25,157.88,27.04,2.46,67.3,48.87,74.14,memory
IntelGaudi2B,BF16,16,1,2304,4544,18176,2520.5,158.22,54.08,2.46,67.44,48.87,74.29,memory
IntelGaudi2B,BF16,32,1,2304,4544,18176,5041.0,158.92,108.16,2.46,67.74,48.87,74.58,memory
IntelGaudi2B,BF16,64,1,2304,4544,18176,10082.0,160.3,216.32,2.46,68.33,48.87,75.17,memory
IntelGaudi2B,BF16,128,1,2304,4544,18176,20164.0,163.08,432.0,2.46,69.51,48.94,76.36,memory
IntelGaudi2B,BF16,256,1,2304,4544,18176,40328.0,168.62,432.0,2.46,71.88,97.89,112.99,compute
IntelGaudi2B,BF16,512,1,2304,4544,18176,80656.0,179.72,432.0,2.46,76.61,195.77,209.73,compute
,,,,,,,,,,,,,,
