Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,71,40,512,512,64,2272.0,42.44,432.0,2.46,18.09,5.51,18.09,memory
IntelGaudi2B,BF16,2,71,40,512,512,64,4544.0,84.88,432.0,2.46,36.18,11.03,36.18,memory
IntelGaudi2B,BF16,4,71,40,512,512,64,9088.0,169.75,432.0,2.46,72.36,22.06,72.36,memory
IntelGaudi2B,BF16,8,71,40,512,512,64,18176.0,339.5,432.0,2.46,144.71,44.12,144.71,memory
IntelGaudi2B,BF16,16,71,40,512,512,64,36352.0,679.0,432.0,2.46,289.42,88.24,289.42,memory
IntelGaudi2B,BF16,32,71,40,512,512,64,72704.0,1358.0,432.0,2.46,578.85,176.47,578.85,memory
IntelGaudi2B,BF16,64,71,40,512,512,64,145408.0,2716.0,432.0,2.46,1157.7,352.94,1157.7,memory
IntelGaudi2B,BF16,128,71,40,512,512,64,290816.0,5432.0,432.0,2.46,2315.39,705.89,2315.39,memory
IntelGaudi2B,BF16,256,71,40,512,512,64,581632.0,10864.0,432.0,2.46,4630.78,1411.77,4630.78,memory
IntelGaudi2B,BF16,512,71,40,512,512,64,1163264.0,21728.0,432.0,2.46,9261.57,2823.54,9261.57,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,71,40,1024,1024,64,9088.0,155.88,432.0,2.46,66.44,22.06,66.44,memory
IntelGaudi2B,BF16,2,71,40,1024,1024,64,18176.0,311.75,432.0,2.46,132.88,44.12,132.88,memory
IntelGaudi2B,BF16,4,71,40,1024,1024,64,36352.0,623.5,432.0,2.46,265.77,88.24,265.77,memory
IntelGaudi2B,BF16,8,71,40,1024,1024,64,72704.0,1247.0,432.0,2.46,531.53,176.47,531.53,memory
IntelGaudi2B,BF16,16,71,40,1024,1024,64,145408.0,2494.0,432.0,2.46,1063.07,352.94,1063.07,memory
IntelGaudi2B,BF16,32,71,40,1024,1024,64,290816.0,4988.0,432.0,2.46,2126.14,705.89,2126.14,memory
IntelGaudi2B,BF16,64,71,40,1024,1024,64,581632.0,9976.0,432.0,2.46,4252.27,1411.77,4252.27,memory
IntelGaudi2B,BF16,128,71,40,1024,1024,64,1163264.0,19952.0,432.0,2.46,8504.55,2823.54,8504.55,memory
IntelGaudi2B,BF16,256,71,40,1024,1024,64,2326528.0,39904.0,432.0,2.46,17009.1,5647.09,17009.1,memory
IntelGaudi2B,BF16,512,71,40,1024,1024,64,4653056.0,79808.0,432.0,2.46,34018.19,11294.17,34018.19,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,71,40,2048,2048,64,36352.0,595.75,432.0,2.46,253.94,88.24,253.94,memory
IntelGaudi2B,BF16,2,71,40,2048,2048,64,72704.0,1191.5,432.0,2.46,507.88,176.47,507.88,memory
IntelGaudi2B,BF16,4,71,40,2048,2048,64,145408.0,2383.0,432.0,2.46,1015.75,352.94,1015.75,memory
IntelGaudi2B,BF16,8,71,40,2048,2048,64,290816.0,4766.0,432.0,2.46,2031.51,705.89,2031.51,memory
IntelGaudi2B,BF16,16,71,40,2048,2048,64,581632.0,9532.0,432.0,2.46,4063.02,1411.77,4063.02,memory
IntelGaudi2B,BF16,32,71,40,2048,2048,64,1163264.0,19064.0,432.0,2.46,8126.04,2823.54,8126.04,memory
IntelGaudi2B,BF16,64,71,40,2048,2048,64,2326528.0,38128.0,432.0,2.46,16252.08,5647.09,16252.08,memory
IntelGaudi2B,BF16,128,71,40,2048,2048,64,4653056.0,76256.0,432.0,2.46,32504.15,11294.17,32504.15,memory
IntelGaudi2B,BF16,256,71,40,2048,2048,64,9306112.0,152512.0,432.0,2.46,65008.3,22588.35,65008.3,memory
IntelGaudi2B,BF16,512,71,40,2048,2048,64,18612224.0,305024.0,432.0,2.46,130016.6,45176.69,130016.6,memory
,,,,,,,,,,,,,,,
