Device,DType,BS,SeqLenQ,SeqLenKV,HiddenSize,IntermediateSize,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,512,512,4544,18176,80656.0,179.72,432.0,2.46,76.61,195.77,209.73,compute
IntelGaudi2B,BF16,2,512,512,4544,18176,161312.0,201.91,432.0,2.46,86.06,391.55,352.31,compute
IntelGaudi2B,BF16,4,512,512,4544,18176,322624.0,246.28,432.0,2.46,104.98,783.09,637.48,compute
IntelGaudi2B,BF16,8,512,512,4544,18176,645248.0,335.03,432.0,2.46,142.81,1566.18,1207.81,compute
IntelGaudi2B,BF16,16,512,512,4544,18176,1290496.0,512.53,432.0,2.46,218.47,3132.37,2348.48,compute
IntelGaudi2B,BF16,32,512,512,4544,18176,2580992.0,867.53,432.0,2.46,369.79,6264.74,4629.81,compute
IntelGaudi2B,BF16,64,512,512,4544,18176,5161984.0,1577.53,432.0,2.46,672.42,12529.47,9192.47,compute
IntelGaudi2B,BF16,128,512,512,4544,18176,10323968.0,2997.53,432.0,2.46,1277.7,25058.95,18317.78,compute
IntelGaudi2B,BF16,256,512,512,4544,18176,20647936.0,5837.53,432.0,2.46,2488.25,50117.89,36568.42,compute
IntelGaudi2B,BF16,512,512,512,4544,18176,41295872.0,11517.53,432.0,2.46,4909.35,100235.79,73069.69,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,1024,1024,4544,18176,161312.0,201.91,432.0,2.46,86.06,391.55,352.31,compute
IntelGaudi2B,BF16,2,1024,1024,4544,18176,322624.0,246.28,432.0,2.46,104.98,783.09,637.48,compute
IntelGaudi2B,BF16,4,1024,1024,4544,18176,645248.0,335.03,432.0,2.46,142.81,1566.18,1207.81,compute
IntelGaudi2B,BF16,8,1024,1024,4544,18176,1290496.0,512.53,432.0,2.46,218.47,3132.37,2348.48,compute
IntelGaudi2B,BF16,16,1024,1024,4544,18176,2580992.0,867.53,432.0,2.46,369.79,6264.74,4629.81,compute
IntelGaudi2B,BF16,32,1024,1024,4544,18176,5161984.0,1577.53,432.0,2.46,672.42,12529.47,9192.47,compute
IntelGaudi2B,BF16,64,1024,1024,4544,18176,10323968.0,2997.53,432.0,2.46,1277.7,25058.95,18317.78,compute
IntelGaudi2B,BF16,128,1024,1024,4544,18176,20647936.0,5837.53,432.0,2.46,2488.25,50117.89,36568.42,compute
IntelGaudi2B,BF16,256,1024,1024,4544,18176,41295872.0,11517.53,432.0,2.46,4909.35,100235.79,73069.69,compute
IntelGaudi2B,BF16,512,1024,1024,4544,18176,82591744.0,22877.53,432.0,2.46,9751.56,200471.58,146072.23,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,2048,2048,4544,18176,322624.0,246.28,432.0,2.46,104.98,783.09,637.48,compute
IntelGaudi2B,BF16,2,2048,2048,4544,18176,645248.0,335.03,432.0,2.46,142.81,1566.18,1207.81,compute
IntelGaudi2B,BF16,4,2048,2048,4544,18176,1290496.0,512.53,432.0,2.46,218.47,3132.37,2348.48,compute
IntelGaudi2B,BF16,8,2048,2048,4544,18176,2580992.0,867.53,432.0,2.46,369.79,6264.74,4629.81,compute
IntelGaudi2B,BF16,16,2048,2048,4544,18176,5161984.0,1577.53,432.0,2.46,672.42,12529.47,9192.47,compute
IntelGaudi2B,BF16,32,2048,2048,4544,18176,10323968.0,2997.53,432.0,2.46,1277.7,25058.95,18317.78,compute
IntelGaudi2B,BF16,64,2048,2048,4544,18176,20647936.0,5837.53,432.0,2.46,2488.25,50117.89,36568.42,compute
IntelGaudi2B,BF16,128,2048,2048,4544,18176,41295872.0,11517.53,432.0,2.46,4909.35,100235.79,73069.69,compute
IntelGaudi2B,BF16,256,2048,2048,4544,18176,82591744.0,22877.53,432.0,2.46,9751.56,200471.58,146072.23,compute
IntelGaudi2B,BF16,512,2048,2048,4544,18176,165183488.0,45597.53,432.0,2.46,19435.97,400943.15,292077.31,compute
,,,,,,,,,,,,,,
