Model,Device,PP,TP,DType,BS,Input,Output,Operation,SeqLenQ,SeqLenKV,NumOps(G),Memory(GB),TopsRF(TFlops),AI,Bound
Falcon-7B,IntelGaudi2B,1,1,BF16,1,512,512,qkvo_proj,512,512,78.77,0.19,432.0,417.84,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,1,512,512,q@k_T,512,512,2.22,0.04,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,1,512,512,softmax,512,512,0.09,0.07,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,1,512,512,score@v,512,512,2.22,0.04,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,1,512,512,up(w1),512,512,78.77,0.18,432.0,448.79,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,1,512,512,down(w2),512,512,78.77,0.18,432.0,448.79,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,2,512,512,qkvo_proj,512,512,157.53,0.22,432.0,705.86,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,2,512,512,q@k_T,512,512,4.44,0.08,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,2,512,512,softmax,512,512,0.17,0.14,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,2,512,512,score@v,512,512,4.44,0.08,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,2,512,512,up(w1),512,512,157.53,0.2,432.0,798.95,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,2,512,512,down(w2),512,512,157.53,0.2,432.0,798.95,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,4,512,512,qkvo_proj,512,512,315.06,0.29,432.0,1077.1,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,4,512,512,q@k_T,512,512,8.88,0.17,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,4,512,512,softmax,512,512,0.35,0.28,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,4,512,512,score@v,512,512,8.88,0.17,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,4,512,512,up(w1),512,512,315.06,0.24,432.0,1309.98,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,4,512,512,down(w2),512,512,315.06,0.24,432.0,1309.98,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,8,512,512,qkvo_proj,512,512,630.12,0.43,432.0,1461.39,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,8,512,512,q@k_T,512,512,17.75,0.33,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,8,512,512,softmax,512,512,0.69,0.55,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,8,512,512,score@v,512,512,17.75,0.33,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,8,512,512,up(w1),512,512,630.12,0.33,432.0,1925.93,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,8,512,512,down(w2),512,512,630.12,0.33,432.0,1925.93,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,16,512,512,qkvo_proj,512,512,1260.25,0.71,432.0,1778.69,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,16,512,512,q@k_T,512,512,35.5,0.66,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,16,512,512,softmax,512,512,1.39,1.11,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,16,512,512,score@v,512,512,35.5,0.66,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,16,512,512,up(w1),512,512,1260.25,0.5,432.0,2517.89,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,16,512,512,down(w2),512,512,1260.25,0.5,432.0,2517.89,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,32,512,512,qkvo_proj,512,512,2520.5,1.26,432.0,1995.31,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,32,512,512,q@k_T,512,512,71.0,1.33,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,32,512,512,softmax,512,512,2.77,2.22,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,32,512,512,score@v,512,512,71.0,1.33,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,32,512,512,up(w1),512,512,2520.5,0.85,432.0,2975.1,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,32,512,512,down(w2),512,512,2520.5,0.85,432.0,2975.1,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,64,512,512,qkvo_proj,512,512,5041.0,2.37,432.0,2124.68,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,64,512,512,q@k_T,512,512,142.0,2.65,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,64,512,512,softmax,512,512,5.55,4.44,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,64,512,512,score@v,512,512,142.0,2.65,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,64,512,512,up(w1),512,512,5041.0,1.54,432.0,3272.19,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,64,512,512,down(w2),512,512,5041.0,1.54,432.0,3272.19,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,128,512,512,qkvo_proj,512,512,10082.0,4.59,432.0,2195.87,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,128,512,512,q@k_T,512,512,284.0,5.3,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,128,512,512,softmax,512,512,11.09,8.88,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,128,512,512,score@v,512,512,284.0,5.3,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,128,512,512,up(w1),512,512,10082.0,2.93,432.0,3444.16,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,128,512,512,down(w2),512,512,10082.0,2.93,432.0,3444.16,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,256,512,512,qkvo_proj,512,512,20164.0,9.03,432.0,2233.29,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,256,512,512,q@k_T,512,512,568.0,10.61,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,256,512,512,softmax,512,512,22.19,17.75,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,256,512,512,score@v,512,512,568.0,10.61,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,256,512,512,up(w1),512,512,20164.0,5.7,432.0,3537.1,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,256,512,512,down(w2),512,512,20164.0,5.7,432.0,3537.1,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,512,512,512,qkvo_proj,512,512,40328.0,17.9,432.0,2252.48,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,512,512,512,q@k_T,512,512,1136.0,21.22,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,512,512,512,softmax,512,512,44.38,35.5,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,512,512,512,score@v,512,512,1136.0,21.22,432.0,53.54,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,512,512,512,up(w1),512,512,40328.0,11.25,432.0,3585.48,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,512,512,512,down(w2),512,512,40328.0,11.25,432.0,3585.48,compute
,,,,,,,,,,,,,,,
Falcon-7B,IntelGaudi2B,1,1,BF16,1,1024,512,qkvo_proj,1024,1024,157.53,0.22,432.0,705.86,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,1,1024,512,q@k_T,1024,1024,8.88,0.15,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,1,1024,512,softmax,1024,1024,0.35,0.28,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,1,1024,512,score@v,1024,1024,8.88,0.15,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,1,1024,512,up(w1),1024,1024,157.53,0.2,432.0,798.95,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,1,1024,512,down(w2),1024,1024,157.53,0.2,432.0,798.95,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,2,1024,512,qkvo_proj,1024,1024,315.06,0.29,432.0,1077.1,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,2,1024,512,q@k_T,1024,1024,17.75,0.3,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,2,1024,512,softmax,1024,1024,0.69,0.55,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,2,1024,512,score@v,1024,1024,17.75,0.3,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,2,1024,512,up(w1),1024,1024,315.06,0.24,432.0,1309.98,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,2,1024,512,down(w2),1024,1024,315.06,0.24,432.0,1309.98,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,4,1024,512,qkvo_proj,1024,1024,630.12,0.43,432.0,1461.39,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,4,1024,512,q@k_T,1024,1024,35.5,0.61,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,4,1024,512,softmax,1024,1024,1.39,1.11,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,4,1024,512,score@v,1024,1024,35.5,0.61,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,4,1024,512,up(w1),1024,1024,630.12,0.33,432.0,1925.93,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,4,1024,512,down(w2),1024,1024,630.12,0.33,432.0,1925.93,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,8,1024,512,qkvo_proj,1024,1024,1260.25,0.71,432.0,1778.69,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,8,1024,512,q@k_T,1024,1024,71.0,1.22,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,8,1024,512,softmax,1024,1024,2.77,2.22,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,8,1024,512,score@v,1024,1024,71.0,1.22,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,8,1024,512,up(w1),1024,1024,1260.25,0.5,432.0,2517.89,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,8,1024,512,down(w2),1024,1024,1260.25,0.5,432.0,2517.89,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,16,1024,512,qkvo_proj,1024,1024,2520.5,1.26,432.0,1995.31,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,16,1024,512,q@k_T,1024,1024,142.0,2.44,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,16,1024,512,softmax,1024,1024,5.55,4.44,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,16,1024,512,score@v,1024,1024,142.0,2.44,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,16,1024,512,up(w1),1024,1024,2520.5,0.85,432.0,2975.1,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,16,1024,512,down(w2),1024,1024,2520.5,0.85,432.0,2975.1,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,32,1024,512,qkvo_proj,1024,1024,5041.0,2.37,432.0,2124.68,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,32,1024,512,q@k_T,1024,1024,284.0,4.87,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,32,1024,512,softmax,1024,1024,11.09,8.88,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,32,1024,512,score@v,1024,1024,284.0,4.87,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,32,1024,512,up(w1),1024,1024,5041.0,1.54,432.0,3272.19,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,32,1024,512,down(w2),1024,1024,5041.0,1.54,432.0,3272.19,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,64,1024,512,qkvo_proj,1024,1024,10082.0,4.59,432.0,2195.87,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,64,1024,512,q@k_T,1024,1024,568.0,9.74,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,64,1024,512,softmax,1024,1024,22.19,17.75,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,64,1024,512,score@v,1024,1024,568.0,9.74,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,64,1024,512,up(w1),1024,1024,10082.0,2.93,432.0,3444.16,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,64,1024,512,down(w2),1024,1024,10082.0,2.93,432.0,3444.16,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,128,1024,512,qkvo_proj,1024,1024,20164.0,9.03,432.0,2233.29,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,128,1024,512,q@k_T,1024,1024,1136.0,19.48,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,128,1024,512,softmax,1024,1024,44.38,35.5,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,128,1024,512,score@v,1024,1024,1136.0,19.48,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,128,1024,512,up(w1),1024,1024,20164.0,5.7,432.0,3537.1,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,128,1024,512,down(w2),1024,1024,20164.0,5.7,432.0,3537.1,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,256,1024,512,qkvo_proj,1024,1024,40328.0,17.9,432.0,2252.48,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,256,1024,512,q@k_T,1024,1024,2272.0,38.97,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,256,1024,512,softmax,1024,1024,88.75,71.0,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,256,1024,512,score@v,1024,1024,2272.0,38.97,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,256,1024,512,up(w1),1024,1024,40328.0,11.25,432.0,3585.48,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,256,1024,512,down(w2),1024,1024,40328.0,11.25,432.0,3585.48,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,512,1024,512,qkvo_proj,1024,1024,80656.0,35.65,432.0,2262.2,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,512,1024,512,q@k_T,1024,1024,4544.0,77.94,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,512,1024,512,softmax,1024,1024,177.5,142.0,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,512,1024,512,score@v,1024,1024,4544.0,77.94,432.0,58.3,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,512,1024,512,up(w1),1024,1024,80656.0,22.34,432.0,3610.17,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,512,1024,512,down(w2),1024,1024,80656.0,22.34,432.0,3610.17,compute
,,,,,,,,,,,,,,,
Falcon-7B,IntelGaudi2B,1,1,BF16,1,2048,512,qkvo_proj,2048,2048,315.06,0.29,432.0,1077.1,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,1,2048,512,q@k_T,2048,2048,35.5,0.58,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,1,2048,512,softmax,2048,2048,1.39,1.11,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,1,2048,512,score@v,2048,2048,35.5,0.58,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,1,2048,512,up(w1),2048,2048,315.06,0.24,432.0,1309.98,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,1,2048,512,down(w2),2048,2048,315.06,0.24,432.0,1309.98,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,2,2048,512,qkvo_proj,2048,2048,630.12,0.43,432.0,1461.39,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,2,2048,512,q@k_T,2048,2048,71.0,1.16,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,2,2048,512,softmax,2048,2048,2.77,2.22,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,2,2048,512,score@v,2048,2048,71.0,1.16,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,2,2048,512,up(w1),2048,2048,630.12,0.33,432.0,1925.93,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,2,2048,512,down(w2),2048,2048,630.12,0.33,432.0,1925.93,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,4,2048,512,qkvo_proj,2048,2048,1260.25,0.71,432.0,1778.69,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,4,2048,512,q@k_T,2048,2048,142.0,2.33,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,4,2048,512,softmax,2048,2048,5.55,4.44,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,4,2048,512,score@v,2048,2048,142.0,2.33,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,4,2048,512,up(w1),2048,2048,1260.25,0.5,432.0,2517.89,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,4,2048,512,down(w2),2048,2048,1260.25,0.5,432.0,2517.89,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,8,2048,512,qkvo_proj,2048,2048,2520.5,1.26,432.0,1995.31,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,8,2048,512,q@k_T,2048,2048,284.0,4.65,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,8,2048,512,softmax,2048,2048,11.09,8.88,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,8,2048,512,score@v,2048,2048,284.0,4.65,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,8,2048,512,up(w1),2048,2048,2520.5,0.85,432.0,2975.1,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,8,2048,512,down(w2),2048,2048,2520.5,0.85,432.0,2975.1,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,16,2048,512,qkvo_proj,2048,2048,5041.0,2.37,432.0,2124.68,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,16,2048,512,q@k_T,2048,2048,568.0,9.31,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,16,2048,512,softmax,2048,2048,22.19,17.75,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,16,2048,512,score@v,2048,2048,568.0,9.31,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,16,2048,512,up(w1),2048,2048,5041.0,1.54,432.0,3272.19,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,16,2048,512,down(w2),2048,2048,5041.0,1.54,432.0,3272.19,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,32,2048,512,qkvo_proj,2048,2048,10082.0,4.59,432.0,2195.87,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,32,2048,512,q@k_T,2048,2048,1136.0,18.62,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,32,2048,512,softmax,2048,2048,44.38,35.5,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,32,2048,512,score@v,2048,2048,1136.0,18.62,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,32,2048,512,up(w1),2048,2048,10082.0,2.93,432.0,3444.16,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,32,2048,512,down(w2),2048,2048,10082.0,2.93,432.0,3444.16,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,64,2048,512,qkvo_proj,2048,2048,20164.0,9.03,432.0,2233.29,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,64,2048,512,q@k_T,2048,2048,2272.0,37.23,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,64,2048,512,softmax,2048,2048,88.75,71.0,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,64,2048,512,score@v,2048,2048,2272.0,37.23,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,64,2048,512,up(w1),2048,2048,20164.0,5.7,432.0,3537.1,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,64,2048,512,down(w2),2048,2048,20164.0,5.7,432.0,3537.1,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,128,2048,512,qkvo_proj,2048,2048,40328.0,17.9,432.0,2252.48,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,128,2048,512,q@k_T,2048,2048,4544.0,74.47,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,128,2048,512,softmax,2048,2048,177.5,142.0,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,128,2048,512,score@v,2048,2048,4544.0,74.47,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,128,2048,512,up(w1),2048,2048,40328.0,11.25,432.0,3585.48,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,128,2048,512,down(w2),2048,2048,40328.0,11.25,432.0,3585.48,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,256,2048,512,qkvo_proj,2048,2048,80656.0,35.65,432.0,2262.2,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,256,2048,512,q@k_T,2048,2048,9088.0,148.94,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,256,2048,512,softmax,2048,2048,355.0,284.0,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,256,2048,512,score@v,2048,2048,9088.0,148.94,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,256,2048,512,up(w1),2048,2048,80656.0,22.34,432.0,3610.17,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,256,2048,512,down(w2),2048,2048,80656.0,22.34,432.0,3610.17,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,512,2048,512,qkvo_proj,2048,2048,161312.0,71.15,432.0,2267.09,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,512,2048,512,q@k_T,2048,2048,18176.0,297.88,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,512,2048,512,softmax,2048,2048,710.0,568.0,3.08,1.25,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,512,2048,512,score@v,2048,2048,18176.0,297.88,432.0,61.02,memory
Falcon-7B,IntelGaudi2B,1,1,BF16,512,2048,512,up(w1),2048,2048,161312.0,44.53,432.0,3622.64,compute
Falcon-7B,IntelGaudi2B,1,1,BF16,512,2048,512,down(w2),2048,2048,161312.0,44.53,432.0,3622.64,compute
,,,,,,,,,,,,,,,
