Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,HeadDim,Ops(QK+SV)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,32,32,1,128,34.0,34.28,3.38,1.89,18.98,10.56,18.98,memory
IntelGaudi2B,BF16,2,32,32,1,128,68.0,68.56,3.38,1.89,37.95,21.13,37.95,memory
IntelGaudi2B,BF16,4,32,32,1,128,136.0,137.12,3.38,1.89,75.91,42.25,75.91,memory
IntelGaudi2B,BF16,8,32,32,1,128,272.0,274.25,3.38,1.89,151.82,84.51,151.82,memory
IntelGaudi2B,BF16,16,32,32,1,128,544.0,548.5,3.38,1.89,303.63,169.01,303.63,memory
IntelGaudi2B,BF16,32,32,32,1,128,1088.0,1097.0,3.38,1.89,607.27,338.03,607.27,memory
IntelGaudi2B,BF16,64,32,32,1,128,2176.0,2194.0,3.38,1.89,1214.54,676.06,1214.54,memory
IntelGaudi2B,BF16,128,32,32,1,128,4352.0,4388.0,3.38,1.89,2429.07,1352.12,2429.07,memory
IntelGaudi2B,BF16,256,32,32,1,128,8704.0,8776.0,3.38,1.89,4858.15,2704.24,4858.15,memory
IntelGaudi2B,BF16,512,32,32,1,128,17408.0,17552.0,3.38,1.89,9716.29,5408.48,9716.29,memory
