Device,DType,BS,SeqLenQ,HiddenSize,IntermediateSize,Ops(up)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,1,4096,11008,86.0,86.03,3.38,2.46,36.67,26.72,40.41,memory
IntelGaudi2B,BF16,2,1,4096,11008,172.0,86.06,6.75,2.46,36.68,26.72,40.42,memory
IntelGaudi2B,BF16,4,1,4096,11008,344.0,86.12,13.5,2.46,36.71,26.72,40.45,memory
IntelGaudi2B,BF16,8,1,4096,11008,688.0,86.23,27.0,2.46,36.76,26.72,40.5,memory
IntelGaudi2B,BF16,16,1,4096,11008,1376.0,86.46,54.0,2.46,36.85,26.72,40.59,memory
IntelGaudi2B,BF16,32,1,4096,11008,2752.0,86.92,108.0,2.46,37.05,26.72,40.79,memory
IntelGaudi2B,BF16,64,1,4096,11008,5504.0,87.84,216.0,2.46,37.44,26.72,41.18,memory
IntelGaudi2B,BF16,128,1,4096,11008,11008.0,89.69,432.0,2.46,38.23,26.72,41.97,memory
IntelGaudi2B,BF16,256,1,4096,11008,22016.0,93.38,432.0,2.46,39.8,53.44,62.25,compute
IntelGaudi2B,BF16,512,1,4096,11008,44032.0,100.75,432.0,2.46,42.94,106.88,115.62,compute
