Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,HeadDim,Ops(QK+SV)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,FP8,1,32,32,1,128,34.0,17.14,6.76,1.89,9.49,5.28,9.49,memory
IntelGaudi2B,FP8,2,32,32,1,128,68.0,34.28,6.76,1.89,18.98,10.55,18.98,memory
IntelGaudi2B,FP8,4,32,32,1,128,136.0,68.56,6.76,1.89,37.95,21.1,37.95,memory
IntelGaudi2B,FP8,8,32,32,1,128,272.0,137.12,6.76,1.89,75.91,42.2,75.91,memory
IntelGaudi2B,FP8,16,32,32,1,128,544.0,274.25,6.76,1.89,151.82,84.41,151.82,memory
IntelGaudi2B,FP8,32,32,32,1,128,1088.0,548.5,6.76,1.89,303.63,168.82,303.63,memory
IntelGaudi2B,FP8,64,32,32,1,128,2176.0,1097.0,6.76,1.89,607.27,337.64,607.27,memory
IntelGaudi2B,FP8,128,32,32,1,128,4352.0,2194.0,6.76,1.89,1214.54,675.28,1214.54,memory
IntelGaudi2B,FP8,256,32,32,1,128,8704.0,4388.0,6.76,1.89,2429.07,1350.56,2429.07,memory
IntelGaudi2B,FP8,512,32,32,1,128,17408.0,8776.0,6.76,1.89,4858.15,2701.11,4858.15,memory
