Device,DType,BS,SeqLenQ,HiddenSize,IntermediateSize,Ops(up)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,FP8,1,1,4096,11008,86.0,43.01,6.76,2.46,18.33,13.34,20.2,memory
IntelGaudi2B,FP8,2,1,4096,11008,172.0,43.03,13.52,2.46,18.34,13.34,20.21,memory
IntelGaudi2B,FP8,4,1,4096,11008,344.0,43.06,27.03,2.46,18.35,13.34,20.22,memory
IntelGaudi2B,FP8,8,1,4096,11008,688.0,43.12,54.06,2.46,18.38,13.34,20.25,memory
IntelGaudi2B,FP8,16,1,4096,11008,1376.0,43.23,108.12,2.46,18.43,13.34,20.3,memory
IntelGaudi2B,FP8,32,1,4096,11008,2752.0,43.46,216.25,2.46,18.53,13.34,20.39,memory
IntelGaudi2B,FP8,64,1,4096,11008,5504.0,43.92,432.5,2.46,18.72,13.34,20.59,memory
IntelGaudi2B,FP8,128,1,4096,11008,11008.0,44.84,865.0,2.46,19.11,13.34,20.98,memory
IntelGaudi2B,FP8,256,1,4096,11008,22016.0,46.69,865.0,2.46,19.9,26.69,31.11,compute
IntelGaudi2B,FP8,512,1,4096,11008,44032.0,50.38,865.0,2.46,21.47,53.38,57.77,compute
