Device,HiddenSize,HeadsQ,HeadsKV,InterSize,Decoding,Experts,Layers,In,Out,DType,BS,KVCacheBucket,Latency(s),Throughput(tokens/sec)
IntelGaudi2B,4096,32,32,11008,True,1,32,128,2048,FP8,1,True,0.0,318.75
IntelGaudi2B,4096,32,32,11008,True,1,32,128,2048,FP8,2,True,0.0,592.83
IntelGaudi2B,4096,32,32,11008,True,1,32,128,2048,FP8,4,True,0.0,1039.93
IntelGaudi2B,4096,32,32,11008,True,1,32,128,2048,FP8,8,True,0.0,1669.46
IntelGaudi2B,4096,32,32,11008,True,1,32,128,2048,FP8,16,True,0.01,2394.1
IntelGaudi2B,4096,32,32,11008,True,1,32,128,2048,FP8,32,True,0.01,3057.71
IntelGaudi2B,4096,32,32,11008,True,1,32,128,2048,FP8,64,True,0.02,3549.67
IntelGaudi2B,4096,32,32,11008,True,1,32,128,2048,FP8,128,True,0.03,3860.21
IntelGaudi2B,4096,32,32,11008,True,1,32,128,2048,FP8,256,True,0.06,3953.16
IntelGaudi2B,4096,32,32,11008,True,1,32,128,2048,FP8,512,True,0.13,3972.77
