Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,HeadDim,Ops(QK+SV)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,32,8,1,128,34.0,8.78,3.38,1.89,4.86,10.56,10.56,compute
IntelGaudi2B,BF16,2,32,8,1,128,68.0,17.56,3.38,1.89,9.72,21.13,21.13,compute
IntelGaudi2B,BF16,4,32,8,1,128,136.0,35.12,3.38,1.89,19.44,42.25,42.25,compute
IntelGaudi2B,BF16,8,32,8,1,128,272.0,70.25,3.38,1.89,38.89,84.51,84.51,compute
IntelGaudi2B,BF16,16,32,8,1,128,544.0,140.5,3.38,1.89,77.78,169.01,169.01,compute
IntelGaudi2B,BF16,32,32,8,1,128,1088.0,281.0,3.38,1.89,155.55,338.03,338.03,compute
IntelGaudi2B,BF16,64,32,8,1,128,2176.0,562.0,3.38,1.89,311.11,676.06,676.06,compute
IntelGaudi2B,BF16,128,32,8,1,128,4352.0,1124.0,3.38,1.89,622.21,1352.12,1352.12,compute
IntelGaudi2B,BF16,256,32,8,1,128,8704.0,2248.0,3.38,1.89,1244.43,2704.24,2704.24,compute
IntelGaudi2B,BF16,512,32,8,1,128,17408.0,4496.0,3.38,1.89,2488.86,5408.48,5408.48,compute
