Device,DType,BS,SeqLenQ,HiddenSize,IntermediateSize,Ops(up)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,1,4096,14336,112.0,112.04,3.38,2.46,47.76,34.8,52.63,memory
IntelGaudi2B,BF16,2,1,4096,14336,224.0,112.07,6.75,2.46,47.77,34.8,52.64,memory
IntelGaudi2B,BF16,4,1,4096,14336,448.0,112.14,13.5,2.46,47.8,34.8,52.67,memory
IntelGaudi2B,BF16,8,1,4096,14336,896.0,112.28,27.0,2.46,47.86,34.8,52.73,memory
IntelGaudi2B,BF16,16,1,4096,14336,1792.0,112.56,54.0,2.46,47.98,34.8,52.85,memory
IntelGaudi2B,BF16,32,1,4096,14336,3584.0,113.12,108.0,2.46,48.22,34.8,53.09,memory
IntelGaudi2B,BF16,64,1,4096,14336,7168.0,114.25,216.0,2.46,48.7,34.8,53.57,memory
IntelGaudi2B,BF16,128,1,4096,14336,14336.0,116.5,432.0,2.46,49.66,34.8,54.53,memory
IntelGaudi2B,BF16,256,1,4096,14336,28672.0,121.0,432.0,2.46,51.58,69.59,80.81,compute
IntelGaudi2B,BF16,512,1,4096,14336,57344.0,130.0,432.0,2.46,55.41,139.19,150.06,compute
