Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,HeadDim,Ops(QK+SV)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,FP8,1,32,8,1,128,34.0,4.39,6.76,1.89,2.43,5.28,5.28,compute
IntelGaudi2B,FP8,2,32,8,1,128,68.0,8.78,6.76,1.89,4.86,10.55,10.55,compute
IntelGaudi2B,FP8,4,32,8,1,128,136.0,17.56,6.76,1.89,9.72,21.1,21.1,compute
IntelGaudi2B,FP8,8,32,8,1,128,272.0,35.12,6.76,1.89,19.44,42.2,42.2,compute
IntelGaudi2B,FP8,16,32,8,1,128,544.0,70.25,6.76,1.89,38.89,84.41,84.41,compute
IntelGaudi2B,FP8,32,32,8,1,128,1088.0,140.5,6.76,1.89,77.78,168.82,168.82,compute
IntelGaudi2B,FP8,64,32,8,1,128,2176.0,281.0,6.76,1.89,155.55,337.64,337.64,compute
IntelGaudi2B,FP8,128,32,8,1,128,4352.0,562.0,6.76,1.89,311.11,675.28,675.28,compute
IntelGaudi2B,FP8,256,32,8,1,128,8704.0,1124.0,6.76,1.89,622.21,1350.56,1350.56,compute
IntelGaudi2B,FP8,512,32,8,1,128,17408.0,2248.0,6.76,1.89,1244.43,2701.11,2701.11,compute
