Device,DType,BS,SeqLenQ,HiddenSize,IntermediateSize,Ops(up)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,FP8,1,1,4096,14336,112.0,56.02,6.76,2.46,23.88,17.38,26.31,memory
IntelGaudi2B,FP8,2,1,4096,14336,224.0,56.04,13.52,2.46,23.89,17.38,26.32,memory
IntelGaudi2B,FP8,4,1,4096,14336,448.0,56.07,27.03,2.46,23.9,17.38,26.33,memory
IntelGaudi2B,FP8,8,1,4096,14336,896.0,56.14,54.06,2.46,23.93,17.38,26.36,memory
IntelGaudi2B,FP8,16,1,4096,14336,1792.0,56.28,108.12,2.46,23.99,17.38,26.42,memory
IntelGaudi2B,FP8,32,1,4096,14336,3584.0,56.56,216.25,2.46,24.11,17.38,26.54,memory
IntelGaudi2B,FP8,64,1,4096,14336,7168.0,57.12,432.5,2.46,24.35,17.38,26.78,memory
IntelGaudi2B,FP8,128,1,4096,14336,14336.0,58.25,865.0,2.46,24.83,17.38,27.26,memory
IntelGaudi2B,FP8,256,1,4096,14336,28672.0,60.5,865.0,2.46,25.79,34.76,40.39,compute
IntelGaudi2B,FP8,512,1,4096,14336,57344.0,65.0,865.0,2.46,27.71,69.51,74.98,compute
