Device,HiddenSize,HeadsQ,HeadsKV,InterSize,Decoding,Experts,Layers,In,Out,DType,BS,KVCacheBucket,Latency(s),Throughput(tokens/sec)
IntelGaudi2B,4096,32,8,14336,True,8,32,128,2048,FP8,1,True,0.02,46.95
IntelGaudi2B,4096,32,8,14336,True,8,32,128,2048,FP8,2,True,0.02,93.29
IntelGaudi2B,4096,32,8,14336,True,8,32,128,2048,FP8,4,True,0.02,184.21
IntelGaudi2B,4096,32,8,14336,True,8,32,128,2048,FP8,8,True,0.02,359.3
IntelGaudi2B,4096,32,8,14336,True,8,32,128,2048,FP8,16,True,0.02,684.69
IntelGaudi2B,4096,32,8,14336,True,8,32,128,2048,FP8,32,True,0.03,1251.28
IntelGaudi2B,4096,32,8,14336,True,8,32,128,2048,FP8,64,True,0.03,2134.39
IntelGaudi2B,4096,32,8,14336,True,8,32,128,2048,FP8,128,True,0.04,3298.32
IntelGaudi2B,4096,32,8,14336,True,8,32,128,2048,FP8,256,True,0.07,3864.72
IntelGaudi2B,4096,32,8,14336,True,8,32,128,2048,FP8,512,True,0.13,4005.73
