Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,HeadDim,Ops(QK+SV)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2C,BF16,1,32,32,1,128,34.0,34.28,2.19,1.5,23.95,16.25,23.95,memory
IntelGaudi2C,BF16,2,32,32,1,128,68.0,68.56,2.19,1.5,47.91,32.5,47.91,memory
IntelGaudi2C,BF16,4,32,32,1,128,136.0,137.12,2.19,1.5,95.82,65.01,95.82,memory
IntelGaudi2C,BF16,8,32,32,1,128,272.0,274.25,2.19,1.5,191.64,130.01,191.64,memory
IntelGaudi2C,BF16,16,32,32,1,128,544.0,548.5,2.19,1.5,383.28,260.02,383.28,memory
IntelGaudi2C,BF16,32,32,32,1,128,1088.0,1097.0,2.19,1.5,766.55,520.05,766.55,memory
IntelGaudi2C,BF16,64,32,32,1,128,2176.0,2194.0,2.19,1.5,1533.1,1040.09,1533.1,memory
IntelGaudi2C,BF16,128,32,32,1,128,4352.0,4388.0,2.19,1.5,3066.21,2080.18,3066.21,memory
IntelGaudi2C,BF16,256,32,32,1,128,8704.0,8776.0,2.19,1.5,6132.42,4160.37,6132.42,memory
IntelGaudi2C,BF16,512,32,32,1,128,17408.0,17552.0,2.19,1.5,12264.83,8320.73,12264.83,memory
