Device,HiddenSize,HeadsQ,HeadsKV,InterSize,Decoding,Experts,Layers,In,Out,DType,BS,KVCacheBucket,Latency(s),Throughput(tokens/sec)
IntelGaudi2C,4096,32,32,11008,True,1,32,128,2048,FP8,1,True,0.0,270.47
IntelGaudi2C,4096,32,32,11008,True,1,32,128,2048,FP8,2,True,0.0,500.57
IntelGaudi2C,4096,32,32,11008,True,1,32,128,2048,FP8,4,True,0.0,871.14
IntelGaudi2C,4096,32,32,11008,True,1,32,128,2048,FP8,8,True,0.01,1383.08
IntelGaudi2C,4096,32,32,11008,True,1,32,128,2048,FP8,16,True,0.01,1958.57
IntelGaudi2C,4096,32,32,11008,True,1,32,128,2048,FP8,32,True,0.01,2473.1
IntelGaudi2C,4096,32,32,11008,True,1,32,128,2048,FP8,64,True,0.02,2847.06
IntelGaudi2C,4096,32,32,11008,True,1,32,128,2048,FP8,128,True,0.04,3079.92
IntelGaudi2C,4096,32,32,11008,True,1,32,128,2048,FP8,256,True,0.08,3087.89
IntelGaudi2C,4096,32,32,11008,True,1,32,128,2048,FP8,512,True,0.17,3090.8
