Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,HeadDim,Ops(QK+SV)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2C,BF16,1,32,8,1,128,34.0,8.78,2.19,1.5,6.14,16.25,16.25,compute
IntelGaudi2C,BF16,2,32,8,1,128,68.0,17.56,2.19,1.5,12.27,32.5,32.5,compute
IntelGaudi2C,BF16,4,32,8,1,128,136.0,35.12,2.19,1.5,24.54,65.01,65.01,compute
IntelGaudi2C,BF16,8,32,8,1,128,272.0,70.25,2.19,1.5,49.09,130.01,130.01,compute
IntelGaudi2C,BF16,16,32,8,1,128,544.0,140.5,2.19,1.5,98.18,260.02,260.02,compute
IntelGaudi2C,BF16,32,32,8,1,128,1088.0,281.0,2.19,1.5,196.35,520.05,520.05,compute
IntelGaudi2C,BF16,64,32,8,1,128,2176.0,562.0,2.19,1.5,392.71,1040.09,1040.09,compute
IntelGaudi2C,BF16,128,32,8,1,128,4352.0,1124.0,2.19,1.5,785.42,2080.18,2080.18,compute
IntelGaudi2C,BF16,256,32,8,1,128,8704.0,2248.0,2.19,1.5,1570.84,4160.37,4160.37,compute
IntelGaudi2C,BF16,512,32,8,1,128,17408.0,4496.0,2.19,1.5,3141.68,8320.73,8320.73,compute
