Device,DType,BS,SeqLenQ,HiddenSize,IntermediateSize,Ops(up)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2C,FP8,1,1,4096,14336,112.0,56.02,4.39,2.46,23.88,26.74,30.83,compute
IntelGaudi2C,FP8,2,1,4096,14336,224.0,56.04,8.79,2.46,23.89,26.74,30.84,compute
IntelGaudi2C,FP8,4,1,4096,14336,448.0,56.07,17.57,2.46,23.9,26.74,30.85,compute
IntelGaudi2C,FP8,8,1,4096,14336,896.0,56.14,35.14,2.46,23.93,26.74,30.88,compute
IntelGaudi2C,FP8,16,1,4096,14336,1792.0,56.28,70.28,2.46,23.99,26.74,30.94,compute
IntelGaudi2C,FP8,32,1,4096,14336,3584.0,56.56,140.56,2.46,24.11,26.74,31.06,compute
IntelGaudi2C,FP8,64,1,4096,14336,7168.0,57.12,281.12,2.46,24.35,26.74,31.3,compute
IntelGaudi2C,FP8,128,1,4096,14336,14336.0,58.25,562.25,2.46,24.83,26.74,31.78,compute
IntelGaudi2C,FP8,256,1,4096,14336,28672.0,60.5,562.25,2.46,25.79,53.47,61.61,compute
IntelGaudi2C,FP8,512,1,4096,14336,57344.0,65.0,562.25,2.46,27.71,106.94,121.82,compute
