Device,HiddenSize,HeadsQ,HeadsKV,InterSize,Decoding,Experts,Layers,In,Out,DType,BS,KVCacheBucket,Latency(s),Throughput(tokens/sec)
IntelGaudi2C,4096,32,8,14336,True,8,32,128,2048,FP8,1,True,0.03,39.99
IntelGaudi2C,4096,32,8,14336,True,8,32,128,2048,FP8,2,True,0.03,79.32
IntelGaudi2C,4096,32,8,14336,True,8,32,128,2048,FP8,4,True,0.03,156.06
IntelGaudi2C,4096,32,8,14336,True,8,32,128,2048,FP8,8,True,0.03,302.3
IntelGaudi2C,4096,32,8,14336,True,8,32,128,2048,FP8,16,True,0.03,568.79
IntelGaudi2C,4096,32,8,14336,True,8,32,128,2048,FP8,32,True,0.03,1017.1
IntelGaudi2C,4096,32,8,14336,True,8,32,128,2048,FP8,64,True,0.04,1678.64
IntelGaudi2C,4096,32,8,14336,True,8,32,128,2048,FP8,128,True,0.05,2487.65
IntelGaudi2C,4096,32,8,14336,True,8,32,128,2048,FP8,256,True,0.1,2526.09
IntelGaudi2C,4096,32,8,14336,True,8,32,128,2048,FP8,512,True,0.2,2540.32
