Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,HeadDim,Ops(QK+SV)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2D,BF16,1,32,32,1,128,34.0,34.28,1.08,0.74,48.71,33.01,48.71,memory
IntelGaudi2D,BF16,2,32,32,1,128,68.0,68.56,1.08,0.74,97.42,66.02,97.42,memory
IntelGaudi2D,BF16,4,32,32,1,128,136.0,137.12,1.08,0.74,194.83,132.04,194.83,memory
IntelGaudi2D,BF16,8,32,32,1,128,272.0,274.25,1.08,0.74,389.66,264.09,389.66,memory
IntelGaudi2D,BF16,16,32,32,1,128,544.0,548.5,1.08,0.74,779.33,528.17,779.33,memory
IntelGaudi2D,BF16,32,32,32,1,128,1088.0,1097.0,1.08,0.74,1558.66,1056.34,1558.66,memory
IntelGaudi2D,BF16,64,32,32,1,128,2176.0,2194.0,1.08,0.74,3117.31,2112.69,3117.31,memory
IntelGaudi2D,BF16,128,32,32,1,128,4352.0,4388.0,1.08,0.74,6234.62,4225.37,6234.62,memory
IntelGaudi2D,BF16,256,32,32,1,128,8704.0,8776.0,1.08,0.74,12469.25,8450.75,12469.25,memory
IntelGaudi2D,BF16,512,32,32,1,128,17408.0,17552.0,1.08,0.74,24938.49,16901.49,24938.49,memory
