Device,DType,BS,SeqLenQ,HiddenSize,IntermediateSize,Ops(up)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2D,BF16,1,1,4096,11008,86.0,86.03,1.08,2.46,36.67,83.5,92.61,compute
IntelGaudi2D,BF16,2,1,4096,11008,172.0,86.06,2.16,2.46,36.68,83.5,92.63,compute
IntelGaudi2D,BF16,4,1,4096,11008,344.0,86.12,4.32,2.46,36.71,83.5,92.65,compute
IntelGaudi2D,BF16,8,1,4096,11008,688.0,86.23,8.64,2.46,36.76,83.5,92.7,compute
IntelGaudi2D,BF16,16,1,4096,11008,1376.0,86.46,17.28,2.46,36.85,83.5,92.8,compute
IntelGaudi2D,BF16,32,1,4096,11008,2752.0,86.92,34.56,2.46,37.05,83.5,92.99,compute
IntelGaudi2D,BF16,64,1,4096,11008,5504.0,87.84,69.12,2.46,37.44,83.5,93.39,compute
IntelGaudi2D,BF16,128,1,4096,11008,11008.0,89.69,138.24,2.46,38.23,83.5,94.17,compute
IntelGaudi2D,BF16,256,1,4096,11008,22016.0,93.38,138.24,2.46,39.8,167.0,180.08,compute
IntelGaudi2D,BF16,512,1,4096,11008,44032.0,100.75,138.24,2.46,42.94,333.99,356.9,compute
