Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,HeadDim,Ops(QK+SV)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2D,FP8,1,32,32,1,128,34.0,17.14,2.16,0.74,24.35,16.49,24.35,memory
IntelGaudi2D,FP8,2,32,32,1,128,68.0,34.28,2.16,0.74,48.71,32.97,48.71,memory
IntelGaudi2D,FP8,4,32,32,1,128,136.0,68.56,2.16,0.74,97.42,65.95,97.42,memory
IntelGaudi2D,FP8,8,32,32,1,128,272.0,137.12,2.16,0.74,194.83,131.89,194.83,memory
IntelGaudi2D,FP8,16,32,32,1,128,544.0,274.25,2.16,0.74,389.66,263.78,389.66,memory
IntelGaudi2D,FP8,32,32,32,1,128,1088.0,548.5,2.16,0.74,779.33,527.56,779.33,memory
IntelGaudi2D,FP8,64,32,32,1,128,2176.0,1097.0,2.16,0.74,1558.66,1055.12,1558.66,memory
IntelGaudi2D,FP8,128,32,32,1,128,4352.0,2194.0,2.16,0.74,3117.31,2110.24,3117.31,memory
IntelGaudi2D,FP8,256,32,32,1,128,8704.0,4388.0,2.16,0.74,6234.62,4220.49,6234.62,memory
IntelGaudi2D,FP8,512,32,32,1,128,17408.0,8776.0,2.16,0.74,12469.25,8440.98,12469.25,memory
