Device,DType,BS,SeqLenQ,HiddenSize,IntermediateSize,Ops(up)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2D,FP8,1,1,4096,11008,86.0,43.01,2.16,2.46,18.33,41.7,46.27,compute
IntelGaudi2D,FP8,2,1,4096,11008,172.0,43.03,4.33,2.46,18.34,41.7,46.28,compute
IntelGaudi2D,FP8,4,1,4096,11008,344.0,43.06,8.65,2.46,18.35,41.7,46.29,compute
IntelGaudi2D,FP8,8,1,4096,11008,688.0,43.12,17.3,2.46,18.38,41.7,46.32,compute
IntelGaudi2D,FP8,16,1,4096,11008,1376.0,43.23,34.6,2.46,18.43,41.7,46.37,compute
IntelGaudi2D,FP8,32,1,4096,11008,2752.0,43.46,69.2,2.46,18.53,41.7,46.46,compute
IntelGaudi2D,FP8,64,1,4096,11008,5504.0,43.92,138.4,2.46,18.72,41.7,46.66,compute
IntelGaudi2D,FP8,128,1,4096,11008,11008.0,44.84,276.8,2.46,19.11,41.7,47.05,compute
IntelGaudi2D,FP8,256,1,4096,11008,22016.0,46.69,276.8,2.46,19.9,83.4,89.96,compute
IntelGaudi2D,FP8,512,1,4096,11008,44032.0,50.38,276.8,2.46,21.47,166.8,178.27,compute
