Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,HeadDim,Ops(QK+SV)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2D,BF16,1,32,8,1,128,34.0,8.78,1.08,0.74,12.48,33.01,33.01,compute
IntelGaudi2D,BF16,2,32,8,1,128,68.0,17.56,1.08,0.74,24.95,66.02,66.02,compute
IntelGaudi2D,BF16,4,32,8,1,128,136.0,35.12,1.08,0.74,49.91,132.04,132.04,compute
IntelGaudi2D,BF16,8,32,8,1,128,272.0,70.25,1.08,0.74,99.81,264.09,264.09,compute
IntelGaudi2D,BF16,16,32,8,1,128,544.0,140.5,1.08,0.74,199.63,528.17,528.17,compute
IntelGaudi2D,BF16,32,32,8,1,128,1088.0,281.0,1.08,0.74,399.25,1056.34,1056.34,compute
IntelGaudi2D,BF16,64,32,8,1,128,2176.0,562.0,1.08,0.74,798.51,2112.69,2112.69,compute
IntelGaudi2D,BF16,128,32,8,1,128,4352.0,1124.0,1.08,0.74,1597.02,4225.37,4225.37,compute
IntelGaudi2D,BF16,256,32,8,1,128,8704.0,2248.0,1.08,0.74,3194.04,8450.75,8450.75,compute
IntelGaudi2D,BF16,512,32,8,1,128,17408.0,4496.0,1.08,0.74,6388.07,16901.49,16901.49,compute
