Device,DType,BS,SeqLenQ,HiddenSize,IntermediateSize,Ops(up)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2D,BF16,1,1,4096,14336,112.0,112.04,1.08,2.46,47.76,108.74,120.61,compute
IntelGaudi2D,BF16,2,1,4096,14336,224.0,112.07,2.16,2.46,47.77,108.74,120.63,compute
IntelGaudi2D,BF16,4,1,4096,14336,448.0,112.14,4.32,2.46,47.8,108.74,120.66,compute
IntelGaudi2D,BF16,8,1,4096,14336,896.0,112.28,8.64,2.46,47.86,108.74,120.72,compute
IntelGaudi2D,BF16,16,1,4096,14336,1792.0,112.56,17.28,2.46,47.98,108.74,120.84,compute
IntelGaudi2D,BF16,32,1,4096,14336,3584.0,113.12,34.56,2.46,48.22,108.74,121.08,compute
IntelGaudi2D,BF16,64,1,4096,14336,7168.0,114.25,69.12,2.46,48.7,108.74,121.56,compute
IntelGaudi2D,BF16,128,1,4096,14336,14336.0,116.5,138.24,2.46,49.66,108.74,122.51,compute
IntelGaudi2D,BF16,256,1,4096,14336,28672.0,121.0,138.24,2.46,51.58,217.48,234.26,compute
IntelGaudi2D,BF16,512,1,4096,14336,57344.0,130.0,138.24,2.46,55.41,434.96,464.28,compute
