Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,HeadDim,Ops(QK+SV)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2D,FP8,1,32,8,1,128,34.0,4.39,2.16,0.74,6.24,16.49,16.49,compute
IntelGaudi2D,FP8,2,32,8,1,128,68.0,8.78,2.16,0.74,12.48,32.97,32.97,compute
IntelGaudi2D,FP8,4,32,8,1,128,136.0,17.56,2.16,0.74,24.95,65.95,65.95,compute
IntelGaudi2D,FP8,8,32,8,1,128,272.0,35.12,2.16,0.74,49.91,131.89,131.89,compute
IntelGaudi2D,FP8,16,32,8,1,128,544.0,70.25,2.16,0.74,99.81,263.78,263.78,compute
IntelGaudi2D,FP8,32,32,8,1,128,1088.0,140.5,2.16,0.74,199.63,527.56,527.56,compute
IntelGaudi2D,FP8,64,32,8,1,128,2176.0,281.0,2.16,0.74,399.25,1055.12,1055.12,compute
IntelGaudi2D,FP8,128,32,8,1,128,4352.0,562.0,2.16,0.74,798.51,2110.24,2110.24,compute
IntelGaudi2D,FP8,256,32,8,1,128,8704.0,1124.0,2.16,0.74,1597.02,4220.49,4220.49,compute
IntelGaudi2D,FP8,512,32,8,1,128,17408.0,2248.0,2.16,0.74,3194.04,8440.98,8440.98,compute
