Device,DType,BS,SeqLenQ,HiddenSize,IntermediateSize,Ops(up)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2D,FP8,1,1,4096,14336,112.0,56.02,2.16,2.46,23.88,54.31,60.26,compute
IntelGaudi2D,FP8,2,1,4096,14336,224.0,56.04,4.33,2.46,23.89,54.31,60.27,compute
IntelGaudi2D,FP8,4,1,4096,14336,448.0,56.07,8.65,2.46,23.9,54.31,60.29,compute
IntelGaudi2D,FP8,8,1,4096,14336,896.0,56.14,17.3,2.46,23.93,54.31,60.32,compute
IntelGaudi2D,FP8,16,1,4096,14336,1792.0,56.28,34.6,2.46,23.99,54.31,60.38,compute
IntelGaudi2D,FP8,32,1,4096,14336,3584.0,56.56,69.2,2.46,24.11,54.31,60.5,compute
IntelGaudi2D,FP8,64,1,4096,14336,7168.0,57.12,138.4,2.46,24.35,54.31,60.74,compute
IntelGaudi2D,FP8,128,1,4096,14336,14336.0,58.25,276.8,2.46,24.83,54.31,61.22,compute
IntelGaudi2D,FP8,256,1,4096,14336,28672.0,60.5,276.8,2.46,25.79,108.62,117.03,compute
IntelGaudi2D,FP8,512,1,4096,14336,57344.0,65.0,276.8,2.46,27.71,217.23,231.9,compute
