Model,Device,PP,TP,DType,Input,Output,BS,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
Llama2-13B,IntelGaudi2B,1,1,BF16,512,512,1,256,34.1,11.69,11.79,11.74,11.78,84.89
Llama2-13B,IntelGaudi2B,1,1,BF16,512,512,2,256,57.88,12.01,12.22,12.11,12.2,163.93
Llama2-13B,IntelGaudi2B,1,1,BF16,512,512,4,256,105.45,12.65,13.07,12.86,13.04,306.75
Llama2-13B,IntelGaudi2B,1,1,BF16,512,512,8,256,200.59,13.93,14.77,14.35,14.71,543.85
Llama2-13B,IntelGaudi2B,1,1,BF16,512,512,16,256,390.86,16.49,18.18,17.34,18.07,885.45
Llama2-13B,IntelGaudi2B,1,1,BF16,512,512,32,256,771.41,21.62,25.0,23.31,24.77,1291.89
Llama2-13B,IntelGaudi2B,1,1,BF16,512,512,64,256,1532.5,31.87,38.63,35.24,38.17,1676.71
Llama2-13B,IntelGaudi2B,1,1,BF16,512,512,128,256,3054.68,52.37,65.9,59.12,64.97,1970.14
Llama2-13B,IntelGaudi2B,1,1,BF16,512,512,256,256,6099.04,98.64,125.69,112.14,123.83,2067.35
Llama2-13B,IntelGaudi2B,1,1,BF16,512,512,512,256,12187.77,194.79,248.89,221.79,245.16,2088.43
,,,,,,,,,,,,,,
Llama2-13B,IntelGaudi2B,1,1,BF16,1024,512,1,256,60.61,11.9,12.0,11.95,12.05,82.99
Llama2-13B,IntelGaudi2B,1,1,BF16,1024,512,2,256,110.91,12.43,12.64,12.54,12.73,157.11
Llama2-13B,IntelGaudi2B,1,1,BF16,1024,512,4,256,211.5,13.49,13.92,13.7,14.09,283.89
Llama2-13B,IntelGaudi2B,1,1,BF16,1024,512,8,256,412.68,15.62,16.47,16.04,16.82,475.62
Llama2-13B,IntelGaudi2B,1,1,BF16,1024,512,16,256,815.05,19.87,21.56,20.72,22.27,718.46
Llama2-13B,IntelGaudi2B,1,1,BF16,1024,512,32,256,1619.79,28.38,31.76,30.07,33.17,964.73
Llama2-13B,IntelGaudi2B,1,1,BF16,1024,512,64,256,3229.27,45.39,52.16,48.77,54.98,1164.06
Llama2-13B,IntelGaudi2B,1,1,BF16,1024,512,128,256,6448.22,79.43,92.95,86.17,98.6,1298.17
Llama2-13B,IntelGaudi2B,1,1,BF16,1024,512,256,256,12886.13,152.75,179.8,166.24,191.09,OOM
Llama2-13B,IntelGaudi2B,1,1,BF16,1024,512,512,256,25761.95,302.99,357.1,329.99,379.67,OOM
,,,,,,,,,,,,,,
Llama2-13B,IntelGaudi2B,1,1,BF16,2048,512,1,256,121.82,12.32,12.43,12.37,12.59,79.43
Llama2-13B,IntelGaudi2B,1,1,BF16,2048,512,2,256,233.32,13.28,13.49,13.38,13.81,144.82
Llama2-13B,IntelGaudi2B,1,1,BF16,2048,512,4,256,456.33,15.18,15.61,15.39,16.26,246.0
Llama2-13B,IntelGaudi2B,1,1,BF16,2048,512,8,256,902.35,19.0,19.85,19.42,21.15,378.25
Llama2-13B,IntelGaudi2B,1,1,BF16,2048,512,16,256,1794.38,26.64,28.33,27.48,30.93,517.3
Llama2-13B,IntelGaudi2B,1,1,BF16,2048,512,32,256,3578.45,41.91,45.29,43.59,50.5,633.66
Llama2-13B,IntelGaudi2B,1,1,BF16,2048,512,64,256,7146.59,72.45,79.21,75.82,89.63,714.05
Llama2-13B,IntelGaudi2B,1,1,BF16,2048,512,128,256,14282.87,133.53,147.05,140.28,167.9,OOM
Llama2-13B,IntelGaudi2B,1,1,BF16,2048,512,256,256,28555.43,260.95,288.0,274.45,329.69,OOM
Llama2-13B,IntelGaudi2B,1,1,BF16,2048,512,512,256,57100.54,519.41,573.51,546.41,656.86,OOM
,,,,,,,,,,,,,,
