Device,DType,BS,SeqLenQ,SeqLenKV,HiddenSize,IntermediateSize,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,1,768,5120,13824,135.0,135.04,3.38,2.46,57.56,41.88,63.42,memory
IntelGaudi2B,BF16,2,1,768,5120,13824,270.0,135.07,6.76,2.46,57.57,41.88,63.44,memory
IntelGaudi2B,BF16,4,1,768,5120,13824,540.0,135.14,13.52,2.46,57.61,41.88,63.47,memory
IntelGaudi2B,BF16,8,1,768,5120,13824,1080.0,135.29,27.04,2.46,57.67,41.88,63.53,memory
IntelGaudi2B,BF16,16,1,768,5120,13824,2160.0,135.58,54.08,2.46,57.79,41.88,63.65,memory
IntelGaudi2B,BF16,32,1,768,5120,13824,4320.0,136.16,108.16,2.46,58.04,41.88,63.9,memory
IntelGaudi2B,BF16,64,1,768,5120,13824,8640.0,137.31,216.32,2.46,58.53,41.88,64.39,memory
IntelGaudi2B,BF16,128,1,768,5120,13824,17280.0,139.62,432.0,2.46,59.52,41.94,65.39,memory
IntelGaudi2B,BF16,256,1,768,5120,13824,34560.0,144.25,432.0,2.46,61.49,83.89,96.72,compute
IntelGaudi2B,BF16,512,1,768,5120,13824,69120.0,153.5,432.0,2.46,65.43,167.77,179.51,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,1,1280,5120,13824,135.0,135.04,3.38,2.46,57.56,41.88,63.42,memory
IntelGaudi2B,BF16,2,1,1280,5120,13824,270.0,135.07,6.76,2.46,57.57,41.88,63.44,memory
IntelGaudi2B,BF16,4,1,1280,5120,13824,540.0,135.14,13.52,2.46,57.61,41.88,63.47,memory
IntelGaudi2B,BF16,8,1,1280,5120,13824,1080.0,135.29,27.04,2.46,57.67,41.88,63.53,memory
IntelGaudi2B,BF16,16,1,1280,5120,13824,2160.0,135.58,54.08,2.46,57.79,41.88,63.65,memory
IntelGaudi2B,BF16,32,1,1280,5120,13824,4320.0,136.16,108.16,2.46,58.04,41.88,63.9,memory
IntelGaudi2B,BF16,64,1,1280,5120,13824,8640.0,137.31,216.32,2.46,58.53,41.88,64.39,memory
IntelGaudi2B,BF16,128,1,1280,5120,13824,17280.0,139.62,432.0,2.46,59.52,41.94,65.39,memory
IntelGaudi2B,BF16,256,1,1280,5120,13824,34560.0,144.25,432.0,2.46,61.49,83.89,96.72,compute
IntelGaudi2B,BF16,512,1,1280,5120,13824,69120.0,153.5,432.0,2.46,65.43,167.77,179.51,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,1,2304,5120,13824,135.0,135.04,3.38,2.46,57.56,41.88,63.42,memory
IntelGaudi2B,BF16,2,1,2304,5120,13824,270.0,135.07,6.76,2.46,57.57,41.88,63.44,memory
IntelGaudi2B,BF16,4,1,2304,5120,13824,540.0,135.14,13.52,2.46,57.61,41.88,63.47,memory
IntelGaudi2B,BF16,8,1,2304,5120,13824,1080.0,135.29,27.04,2.46,57.67,41.88,63.53,memory
IntelGaudi2B,BF16,16,1,2304,5120,13824,2160.0,135.58,54.08,2.46,57.79,41.88,63.65,memory
IntelGaudi2B,BF16,32,1,2304,5120,13824,4320.0,136.16,108.16,2.46,58.04,41.88,63.9,memory
IntelGaudi2B,BF16,64,1,2304,5120,13824,8640.0,137.31,216.32,2.46,58.53,41.88,64.39,memory
IntelGaudi2B,BF16,128,1,2304,5120,13824,17280.0,139.62,432.0,2.46,59.52,41.94,65.39,memory
IntelGaudi2B,BF16,256,1,2304,5120,13824,34560.0,144.25,432.0,2.46,61.49,83.89,96.72,compute
IntelGaudi2B,BF16,512,1,2304,5120,13824,69120.0,153.5,432.0,2.46,65.43,167.77,179.51,compute
,,,,,,,,,,,,,,
