Model,Device,PP,TP,DType,BS,Input,Output,Operation,SeqLenQ,SeqLenKV,NumOps(G),Memory(GB),TopsRF(TFlops),AI,Bound
Llama2-13B,IntelGaudi2B,1,1,BF16,1,512,512,qkvo_proj,512,512,100.0,0.23,432.0,426.67,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,1,512,512,q@k_T,512,512,2.5,0.03,432.0,85.33,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,1,512,512,softmax,512,512,0.05,0.04,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,1,512,512,score@v,512,512,2.5,0.03,432.0,85.33,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,1,512,512,up(w1),512,512,67.5,0.15,432.0,450.29,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,1,512,512,down(w2),512,512,67.5,0.15,432.0,450.29,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,1,512,512,gate(w3),512,512,67.5,0.15,432.0,450.29,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,2,512,512,qkvo_proj,512,512,200.0,0.27,432.0,731.43,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,2,512,512,q@k_T,512,512,5.0,0.06,432.0,85.33,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,2,512,512,softmax,512,512,0.1,0.08,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,2,512,512,score@v,512,512,5.0,0.06,432.0,85.33,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,2,512,512,up(w1),512,512,135.0,0.17,432.0,803.72,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,2,512,512,down(w2),512,512,135.0,0.17,432.0,803.72,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,2,512,512,gate(w3),512,512,135.0,0.17,432.0,803.72,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,4,512,512,qkvo_proj,512,512,400.0,0.35,432.0,1137.78,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,4,512,512,q@k_T,512,512,10.0,0.12,432.0,85.33,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,4,512,512,softmax,512,512,0.2,0.16,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,4,512,512,score@v,512,512,10.0,0.12,432.0,85.33,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,4,512,512,up(w1),512,512,270.0,0.2,432.0,1322.87,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,4,512,512,down(w2),512,512,270.0,0.2,432.0,1322.87,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,4,512,512,gate(w3),512,512,270.0,0.2,432.0,1322.87,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,8,512,512,qkvo_proj,512,512,800.0,0.51,432.0,1575.38,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,8,512,512,q@k_T,512,512,20.0,0.23,432.0,85.33,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,8,512,512,softmax,512,512,0.39,0.31,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,8,512,512,score@v,512,512,20.0,0.23,432.0,85.33,memory
