Device,DType,BS,SeqLenQ,SeqLenKV,HiddenSize,IntermediateSize,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,512,512,4096,11008,44032.0,100.75,432.0,2.46,42.94,106.88,115.62,compute
IntelGaudi2B,BF16,2,512,512,4096,11008,88064.0,115.5,432.0,2.46,49.23,213.75,194.58,compute
IntelGaudi2B,BF16,4,512,512,4096,11008,176128.0,145.0,432.0,2.46,61.81,427.51,352.51,compute
IntelGaudi2B,BF16,8,512,512,4096,11008,352256.0,204.0,432.0,2.46,86.96,855.02,668.37,compute
IntelGaudi2B,BF16,16,512,512,4096,11008,704512.0,322.0,432.0,2.46,137.25,1710.03,1300.08,compute
IntelGaudi2B,BF16,32,512,512,4096,11008,1409024.0,558.0,432.0,2.46,237.85,3420.07,2563.49,compute
IntelGaudi2B,BF16,64,512,512,4096,11008,2818048.0,1030.0,432.0,2.46,439.04,6840.13,5090.33,compute
IntelGaudi2B,BF16,128,512,512,4096,11008,5636096.0,1974.0,432.0,2.46,841.42,13680.27,10144.0,compute
IntelGaudi2B,BF16,256,512,512,4096,11008,11272192.0,3862.0,432.0,2.46,1646.18,27360.53,20251.34,compute
IntelGaudi2B,BF16,512,512,512,4096,11008,22544384.0,7638.0,432.0,2.46,3255.7,54721.06,40466.02,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,1024,1024,4096,11008,88064.0,115.5,432.0,2.46,49.23,213.75,194.58,compute
IntelGaudi2B,BF16,2,1024,1024,4096,11008,176128.0,145.0,432.0,2.46,61.81,427.51,352.51,compute
IntelGaudi2B,BF16,4,1024,1024,4096,11008,352256.0,204.0,432.0,2.46,86.96,855.02,668.37,compute
IntelGaudi2B,BF16,8,1024,1024,4096,11008,704512.0,322.0,432.0,2.46,137.25,1710.03,1300.08,compute
IntelGaudi2B,BF16,16,1024,1024,4096,11008,1409024.0,558.0,432.0,2.46,237.85,3420.07,2563.49,compute
IntelGaudi2B,BF16,32,1024,1024,4096,11008,2818048.0,1030.0,432.0,2.46,439.04,6840.13,5090.33,compute
IntelGaudi2B,BF16,64,1024,1024,4096,11008,5636096.0,1974.0,432.0,2.46,841.42,13680.27,10144.0,compute
IntelGaudi2B,BF16,128,1024,1024,4096,11008,11272192.0,3862.0,432.0,2.46,1646.18,27360.53,20251.34,compute
IntelGaudi2B,BF16,256,1024,1024,4096,11008,22544384.0,7638.0,432.0,2.46,3255.7,54721.06,40466.02,compute
IntelGaudi2B,BF16,512,1024,1024,4096,11008,45088768.0,15190.0,432.0,2.46,6474.74,109442.13,80895.39,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,2048,2048,4096,11008,176128.0,145.0,432.0,2.46,61.81,427.51,352.51,compute
IntelGaudi2B,BF16,2,2048,2048,4096,11008,352256.0,204.0,432.0,2.46,86.96,855.02,668.37,compute
IntelGaudi2B,BF16,4,2048,2048,4096,11008,704512.0,322.0,432.0,2.46,137.25,1710.03,1300.08,compute
IntelGaudi2B,BF16,8,2048,2048,4096,11008,1409024.0,558.0,432.0,2.46,237.85,3420.07,2563.49,compute
IntelGaudi2B,BF16,16,2048,2048,4096,11008,2818048.0,1030.0,432.0,2.46,439.04,6840.13,5090.33,compute
IntelGaudi2B,BF16,32,2048,2048,4096,11008,5636096.0,1974.0,432.0,2.46,841.42,13680.27,10144.0,compute
IntelGaudi2B,BF16,64,2048,2048,4096,11008,11272192.0,3862.0,432.0,2.46,1646.18,27360.53,20251.34,compute
IntelGaudi2B,BF16,128,2048,2048,4096,11008,22544384.0,7638.0,432.0,2.46,3255.7,54721.06,40466.02,compute
IntelGaudi2B,BF16,256,2048,2048,4096,11008,45088768.0,15190.0,432.0,2.46,6474.74,109442.13,80895.39,compute
IntelGaudi2B,BF16,512,2048,2048,4096,11008,90177536.0,30294.0,432.0,2.46,12912.83,218884.26,161754.13,compute
,,,,,,,,,,,,,,
