Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(QK+SV)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
IntelGaudi2C,BF16,1,32,32,1,128,128,4.0,4.05,2.19,1.5,2.83,1.91,2.83,memory
