Device,DType,BS,SeqLenQ,SeqLenKV,HiddenSize,IntermediateSize,Ops(up)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2C,BF16,1,128,128,4096,11008,11008.0,89.69,280.8,2.46,38.23,41.11,48.92,compute
IntelGaudi2C,BF16,2,128,128,4096,11008,22016.0,93.38,280.8,2.46,39.8,82.21,94.88,compute
IntelGaudi2C,BF16,4,128,128,4096,11008,44032.0,100.75,280.8,2.46,42.94,164.43,187.64,compute
IntelGaudi2C,BF16,8,128,128,4096,11008,88064.0,115.5,280.8,2.46,49.23,328.85,338.62,compute
IntelGaudi2C,BF16,16,128,128,4096,11008,176128.0,145.0,280.8,2.46,61.81,657.71,640.59,compute
IntelGaudi2C,BF16,32,128,128,4096,11008,352256.0,204.0,280.8,2.46,86.96,1315.41,1244.52,compute
IntelGaudi2C,BF16,64,128,128,4096,11008,704512.0,322.0,280.8,2.46,137.25,2630.82,2452.37,compute
IntelGaudi2C,BF16,128,128,128,4096,11008,1409024.0,558.0,280.8,2.46,237.85,5261.64,4868.09,compute
IntelGaudi2C,BF16,256,128,128,4096,11008,2818048.0,1030.0,280.8,2.46,439.04,10523.28,9699.53,compute
IntelGaudi2C,BF16,512,128,128,4096,11008,5636096.0,1974.0,280.8,2.46,841.42,21046.56,19362.39,compute
,,,,,,,,,,,,,,
IntelGaudi2C,BF16,1,128,128,4096,11008,11008.0,89.69,280.8,2.46,38.23,41.11,48.92,compute
IntelGaudi2C,BF16,2,128,128,4096,11008,22016.0,93.38,280.8,2.46,39.8,82.21,94.88,compute
IntelGaudi2C,BF16,4,128,128,4096,11008,44032.0,100.75,280.8,2.46,42.94,164.43,187.64,compute
IntelGaudi2C,BF16,8,128,128,4096,11008,88064.0,115.5,280.8,2.46,49.23,328.85,338.62,compute
IntelGaudi2C,BF16,16,128,128,4096,11008,176128.0,145.0,280.8,2.46,61.81,657.71,640.59,compute
IntelGaudi2C,BF16,32,128,128,4096,11008,352256.0,204.0,280.8,2.46,86.96,1315.41,1244.52,compute
IntelGaudi2C,BF16,64,128,128,4096,11008,704512.0,322.0,280.8,2.46,137.25,2630.82,2452.37,compute
IntelGaudi2C,BF16,128,128,128,4096,11008,1409024.0,558.0,280.8,2.46,237.85,5261.64,4868.09,compute
IntelGaudi2C,BF16,256,128,128,4096,11008,2818048.0,1030.0,280.8,2.46,439.04,10523.28,9699.53,compute
IntelGaudi2C,BF16,512,128,128,4096,11008,5636096.0,1974.0,280.8,2.46,841.42,21046.56,19362.39,compute
,,,,,,,,,,,,,,
IntelGaudi2C,BF16,1,512,512,4096,11008,44032.0,100.75,280.8,2.46,42.94,164.43,187.64,compute
IntelGaudi2C,BF16,2,512,512,4096,11008,88064.0,115.5,280.8,2.46,49.23,328.85,338.62,compute
IntelGaudi2C,BF16,4,512,512,4096,11008,176128.0,145.0,280.8,2.46,61.81,657.71,640.59,compute
IntelGaudi2C,BF16,8,512,512,4096,11008,352256.0,204.0,280.8,2.46,86.96,1315.41,1244.52,compute
IntelGaudi2C,BF16,16,512,512,4096,11008,704512.0,322.0,280.8,2.46,137.25,2630.82,2452.37,compute
IntelGaudi2C,BF16,32,512,512,4096,11008,1409024.0,558.0,280.8,2.46,237.85,5261.64,4868.09,compute
IntelGaudi2C,BF16,64,512,512,4096,11008,2818048.0,1030.0,280.8,2.46,439.04,10523.28,9699.53,compute
