DType,Input,Output,BS,HiddenSize,HeadsQ,HeadsKV,InterSize,WithGate,Experts,Layers,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
BF16,128,128,1,4096,32,32,11008,True,1,32,256,7.24,6.94,6.94,6.94,6.94,144.09
BF16,128,128,2,4096,32,32,11008,True,1,32,256,14.05,7.08,7.08,7.08,7.13,280.5
BF16,128,128,4,4096,32,32,11008,True,1,32,256,27.8,7.35,7.35,7.35,7.51,532.62
BF16,128,128,8,4096,32,32,11008,True,1,32,256,50.34,7.91,7.91,7.91,8.24,970.87
BF16,128,128,16,4096,32,32,11008,True,1,32,256,95.42,9.02,9.02,9.02,9.69,1651.19
BF16,128,128,32,4096,32,32,11008,True,1,32,256,185.57,11.24,11.24,11.24,12.6,2539.68
BF16,128,128,64,4096,32,32,11008,True,1,32,256,365.87,15.67,15.67,15.67,18.41,3476.37
BF16,128,128,128,4096,32,32,11008,True,1,32,256,726.48,24.55,24.55,24.55,30.03,4262.4
BF16,128,128,256,4096,32,32,11008,True,1,32,256,1447.69,48.67,48.67,48.67,59.6,4295.3
BF16,128,128,512,4096,32,32,11008,True,1,32,256,2890.11,97.03,97.03,97.03,118.85,4307.95
,,,,,,,,,,,,,,,,,
BF16,128,512,1,4096,32,32,11008,True,1,32,256,7.24,6.94,7.03,6.98,6.98,143.27
BF16,128,512,2,4096,32,32,11008,True,1,32,256,14.05,7.08,7.26,7.17,7.18,278.55
BF16,128,512,4,4096,32,32,11008,True,1,32,256,27.8,7.35,7.72,7.54,7.58,527.7
BF16,128,512,8,4096,32,32,11008,True,1,32,256,50.34,7.91,8.64,8.27,8.35,958.08
BF16,128,512,16,4096,32,32,11008,True,1,32,256,95.42,9.02,10.47,9.74,9.91,1614.53
BF16,128,512,32,4096,32,32,11008,True,1,32,256,185.57,11.24,14.14,12.69,13.02,2457.76
BF16,128,512,64,4096,32,32,11008,True,1,32,256,365.87,15.67,21.49,18.57,19.25,3324.68
BF16,128,512,128,4096,32,32,11008,True,1,32,256,726.48,24.55,36.17,30.35,31.71,4036.58
BF16,128,512,256,4096,32,32,11008,True,1,32,256,1447.69,48.67,71.92,60.27,62.98,4064.78
BF16,128,512,512,4096,32,32,11008,True,1,32,256,2890.11,97.03,143.54,120.24,125.65,4074.81
,,,,,,,,,,,,,,,,,
BF16,512,128,1,4096,32,32,11008,True,1,32,256,28.88,7.07,7.07,7.07,7.25,137.93
BF16,512,128,2,4096,32,32,11008,True,1,32,256,52.49,7.35,7.35,7.35,7.7,259.74
BF16,512,128,4,4096,32,32,11008,True,1,32,256,99.71,7.9,7.9,7.9,8.62,464.04
BF16,512,128,8,4096,32,32,11008,True,1,32,256,194.15,9.0,9.0,9.0,10.45,765.55
BF16,512,128,16,4096,32,32,11008,True,1,32,256,383.04,11.2,11.2,11.2,14.1,1134.75
BF16,512,128,32,4096,32,32,11008,True,1,32,256,760.82,15.6,15.6,15.6,21.42,1493.93
BF16,512,128,64,4096,32,32,11008,True,1,32,256,1516.38,24.39,24.39,24.39,36.05,1775.31
BF16,512,128,128,4096,32,32,11008,True,1,32,256,3027.49,41.99,41.99,41.99,65.31,1959.88
BF16,512,128,256,4096,32,32,11008,True,1,32,256,6049.72,83.55,83.55,83.55,130.16,1966.81
BF16,512,128,512,4096,32,32,11008,True,1,32,256,12094.18,166.8,166.8,166.8,259.98,1969.38
,,,,,,,,,,,,,,,,,
BF16,512,512,1,4096,32,32,11008,True,1,32,256,28.88,7.07,7.17,7.12,7.16,139.66
BF16,512,512,2,4096,32,32,11008,True,1,32,256,52.49,7.35,7.53,7.44,7.53,265.6
BF16,512,512,4,4096,32,32,11008,True,1,32,256,99.71,7.9,8.26,8.08,8.26,484.26
BF16,512,512,8,4096,32,32,11008,True,1,32,256,194.15,9.0,9.73,9.36,9.72,823.05
BF16,512,512,16,4096,32,32,11008,True,1,32,256,383.04,11.2,12.65,11.92,12.65,1264.82
BF16,512,512,32,4096,32,32,11008,True,1,32,256,760.82,15.6,18.5,17.05,18.5,1729.73
BF16,512,512,64,4096,32,32,11008,True,1,32,256,1516.38,24.39,30.21,27.29,30.2,2119.21
BF16,512,512,128,4096,32,32,11008,True,1,32,256,3027.49,41.99,53.62,47.79,53.61,2387.61
BF16,512,512,256,4096,32,32,11008,True,1,32,256,6049.72,83.55,106.81,95.16,106.79,2397.23
BF16,512,512,512,4096,32,32,11008,True,1,32,256,12094.18,166.8,213.31,190.01,213.26,2400.83
,,,,,,,,,,,,,,,,,
BF16,1024,128,1,4096,32,32,11008,True,1,32,256,55.35,7.26,7.26,7.26,7.63,131.06
BF16,1024,128,2,4096,32,32,11008,True,1,32,256,105.43,7.71,7.71,7.71,8.48,235.85
BF16,1024,128,4,4096,32,32,11008,True,1,32,256,205.6,8.63,8.63,8.63,10.17,393.31
BF16,1024,128,8,4096,32,32,11008,True,1,32,256,405.94,10.45,10.45,10.45,13.54,590.84
BF16,1024,128,16,4096,32,32,11008,True,1,32,256,806.62,14.11,14.11,14.11,20.3,788.18
BF16,1024,128,32,4096,32,32,11008,True,1,32,256,1607.97,21.41,21.41,21.41,33.81,946.47
BF16,1024,128,64,4096,32,32,11008,True,1,32,256,3210.67,36.02,36.02,36.02,60.82,1052.29
BF16,1024,128,128,4096,32,32,11008,True,1,32,256,6416.08,65.24,65.24,65.24,114.86,1114.4
BF16,1024,128,256,4096,32,32,11008,True,1,32,256,12826.9,130.06,130.06,130.06,229.26,1116.64
BF16,1024,128,512,4096,32,32,11008,True,1,32,256,25648.53,259.82,259.82,259.82,458.17,1117.49
,,,,,,,,,,,,,,,,,
BF16,1024,512,1,4096,32,32,11008,True,1,32,256,55.35,7.26,7.35,7.3,7.4,135.14
BF16,1024,512,2,4096,32,32,11008,True,1,32,256,105.43,7.71,7.89,7.8,7.99,250.31
BF16,1024,512,4,4096,32,32,11008,True,1,32,256,205.6,8.63,8.99,8.81,9.19,435.26
BF16,1024,512,8,4096,32,32,11008,True,1,32,256,405.94,10.45,11.18,10.82,11.59,690.25
BF16,1024,512,16,4096,32,32,11008,True,1,32,256,806.62,14.11,15.56,14.83,16.38,976.8
BF16,1024,512,32,4096,32,32,11008,True,1,32,256,1607.97,21.41,24.32,22.86,25.96,1232.67
BF16,1024,512,64,4096,32,32,11008,True,1,32,256,3210.67,36.02,41.84,38.92,45.12,1418.44
BF16,1024,512,128,4096,32,32,11008,True,1,32,256,6416.08,65.24,76.87,71.04,83.44,1534.04
BF16,1024,512,256,4096,32,32,11008,True,1,32,256,12826.9,130.06,153.32,141.67,166.44,1538.09
BF16,1024,512,512,4096,32,32,11008,True,1,32,256,25648.53,259.82,306.33,283.03,332.57,1539.53
,,,,,,,,,,,,,,,,,
BF16,2048,128,1,4096,32,32,11008,True,1,32,256,116.88,7.62,7.62,7.62,8.47,118.06
BF16,2048,128,2,4096,32,32,11008,True,1,32,256,228.5,8.44,8.44,8.44,10.16,196.85
BF16,2048,128,4,4096,32,32,11008,True,1,32,256,451.74,10.08,10.08,10.08,13.53,295.64
BF16,2048,128,8,4096,32,32,11008,True,1,32,256,898.21,13.36,13.36,13.36,20.27,394.67
BF16,2048,128,16,4096,32,32,11008,True,1,32,256,1791.15,19.92,19.92,19.92,33.76,473.93
BF16,2048,128,32,4096,32,32,11008,True,1,32,256,3577.03,33.04,33.04,33.04,60.73,526.92
BF16,2048,128,64,4096,32,32,11008,True,1,32,256,7148.79,59.28,59.28,59.28,114.66,558.17
BF16,2048,128,128,4096,32,32,11008,True,1,32,256,14292.32,111.75,111.75,111.75,222.54,575.18
BF16,2048,128,256,4096,32,32,11008,True,1,32,256,28579.38,223.08,223.08,223.08,444.62,575.77
BF16,2048,128,512,4096,32,32,11008,True,1,32,256,57153.5,445.86,445.86,445.86,888.89,576.0
,,,,,,,,,,,,,,,,,
BF16,2048,512,1,4096,32,32,11008,True,1,32,256,116.88,7.62,7.71,7.67,7.88,126.9
BF16,2048,512,2,4096,32,32,11008,True,1,32,256,228.5,8.44,8.62,8.53,8.96,223.21
BF16,2048,512,4,4096,32,32,11008,True,1,32,256,451.74,10.08,10.44,10.26,11.12,359.71
BF16,2048,512,8,4096,32,32,11008,True,1,32,256,898.21,13.36,14.09,13.72,15.45,517.8
BF16,2048,512,16,4096,32,32,11008,True,1,32,256,1791.15,19.92,21.37,20.64,24.1,663.9
BF16,2048,512,32,4096,32,32,11008,True,1,32,256,3577.03,33.04,35.95,34.49,41.41,772.76
BF16,2048,512,64,4096,32,32,11008,True,1,32,256,7148.79,59.28,65.09,62.18,76.02,841.88
BF16,2048,512,128,4096,32,32,11008,True,1,32,256,14292.32,111.75,123.38,117.56,145.24,881.3
BF16,2048,512,256,4096,32,32,11008,True,1,32,256,28579.38,223.08,246.34,234.69,290.05,882.61
BF16,2048,512,512,4096,32,32,11008,True,1,32,256,57153.5,445.86,492.37,469.07,579.78,883.09
,,,,,,,,,,,,,,,,,
