Model,Device,PP,TP,DType,Input,Output,BS,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
Llama2-7B,IntelGaudi2C,1,1,BF16,128,128,1,128,7.24,6.89,6.89,6.89,6.9,144.93
Llama2-7B,IntelGaudi2C,1,1,BF16,128,128,4,128,27.8,7.17,7.17,7.17,7.33,545.7
Llama2-7B,IntelGaudi2C,1,1,BF16,128,128,16,128,95.42,8.29,8.29,8.29,8.97,1783.72
Llama2-7B,IntelGaudi2C,1,1,BF16,128,128,24,128,140.49,9.04,9.04,9.04,10.06,2385.69
Llama2-7B,IntelGaudi2C,1,1,BF16,128,128,28,128,163.03,9.41,9.41,9.41,10.61,2639.02
Llama2-7B,IntelGaudi2C,1,1,BF16,128,128,32,128,185.57,9.78,9.78,9.78,11.16,2867.38
Llama2-7B,IntelGaudi2C,1,1,BF16,128,128,48,128,275.72,11.27,11.27,11.27,13.34,3598.2
Llama2-7B,IntelGaudi2C,1,1,BF16,128,128,56,128,320.79,12.02,12.02,12.02,14.43,3880.8
Llama2-7B,IntelGaudi2C,1,1,BF16,128,128,60,128,343.33,12.39,12.39,12.39,14.98,4005.34
Llama2-7B,IntelGaudi2C,1,1,BF16,128,128,64,128,365.87,12.77,12.77,12.77,15.52,4123.71
Llama2-7B,IntelGaudi2C,1,1,BF16,128,128,96,128,546.17,15.75,15.75,15.75,19.89,4826.55
Llama2-7B,IntelGaudi2C,1,1,BF16,128,128,112,128,636.32,17.24,17.24,17.24,22.08,5072.46
Llama2-7B,IntelGaudi2C,1,1,BF16,128,128,128,128,726.48,18.73,18.73,18.73,24.26,5276.17
Llama2-7B,IntelGaudi2C,1,1,BF16,128,128,256,128,1447.69,37.04,37.04,37.04,48.06,5326.67
Llama2-7B,IntelGaudi2C,1,1,BF16,128,128,512,128,2890.11,73.78,73.78,73.78,95.78,5345.58
,,,,,,,,,,,,,,
Llama2-7B,IntelGaudi2C,1,1,BF16,128,512,1,128,7.24,6.89,7.03,6.96,6.96,143.68
Llama2-7B,IntelGaudi2C,1,1,BF16,128,512,4,128,27.8,7.17,7.72,7.44,7.48,534.76
Llama2-7B,IntelGaudi2C,1,1,BF16,128,512,16,128,95.42,8.29,10.47,9.38,9.55,1675.39
Llama2-7B,IntelGaudi2C,1,1,BF16,128,512,24,128,140.49,9.04,12.31,10.67,10.92,2197.8
Llama2-7B,IntelGaudi2C,1,1,BF16,128,512,28,128,163.03,9.41,13.23,11.31,11.61,2411.71
Llama2-7B,IntelGaudi2C,1,1,BF16,128,512,32,128,185.57,9.78,14.14,11.96,12.3,2601.63
Llama2-7B,IntelGaudi2C,1,1,BF16,128,512,48,128,275.72,11.27,17.82,14.54,15.05,3189.37
Llama2-7B,IntelGaudi2C,1,1,BF16,128,512,56,128,320.79,12.02,19.65,15.83,16.42,3410.48
Llama2-7B,IntelGaudi2C,1,1,BF16,128,512,60,128,343.33,12.39,20.57,16.47,17.11,3506.72
Llama2-7B,IntelGaudi2C,1,1,BF16,128,512,64,128,365.87,12.77,21.49,17.12,17.8,3595.51
Llama2-7B,IntelGaudi2C,1,1,BF16,128,512,96,128,546.17,15.75,28.83,22.28,23.3,4120.17
Llama2-7B,IntelGaudi2C,1,1,BF16,128,512,112,128,636.32,17.24,32.5,24.86,26.05,4299.42
Llama2-7B,IntelGaudi2C,1,1,BF16,128,512,128,128,726.48,18.73,36.17,27.44,28.8,4444.44
Llama2-7B,IntelGaudi2C,1,1,BF16,128,512,256,128,1447.69,37.04,71.92,54.45,57.17,4477.87
Llama2-7B,IntelGaudi2C,1,1,BF16,128,512,512,128,2890.11,73.78,143.54,108.59,114.02,4490.44
,,,,,,,,,,,,,,
Llama2-7B,IntelGaudi2C,1,1,BF16,512,128,1,128,28.88,7.03,7.03,7.03,7.2,138.89
Llama2-7B,IntelGaudi2C,1,1,BF16,512,128,4,128,99.71,7.72,7.72,7.72,8.44,473.93
Llama2-7B,IntelGaudi2C,1,1,BF16,512,128,16,128,383.04,10.47,10.47,10.47,13.38,1195.81
Llama2-7B,IntelGaudi2C,1,1,BF16,512,128,24,128,571.93,12.31,12.31,12.31,16.68,1438.85
Llama2-7B,IntelGaudi2C,1,1,BF16,512,128,28,128,666.38,13.23,13.23,13.23,18.33,1527.55
Llama2-7B,IntelGaudi2C,1,1,BF16,512,128,32,128,760.82,14.14,14.14,14.14,19.98,1601.6
Llama2-7B,IntelGaudi2C,1,1,BF16,512,128,48,128,1138.6,17.82,17.82,17.82,26.57,1806.55
Llama2-7B,IntelGaudi2C,1,1,BF16,512,128,56,128,1327.49,19.65,19.65,19.65,29.87,1874.79
Llama2-7B,IntelGaudi2C,1,1,BF16,512,128,60,128,1421.93,20.57,20.57,20.57,31.52,1903.55
Llama2-7B,IntelGaudi2C,1,1,BF16,512,128,64,128,1516.38,21.49,21.49,21.49,33.17,1929.45
Llama2-7B,IntelGaudi2C,1,1,BF16,512,128,96,128,2271.94,28.83,28.83,28.83,46.35,2071.2
Llama2-7B,IntelGaudi2C,1,1,BF16,512,128,112,128,2649.72,32.5,32.5,32.5,52.95,2115.2
Llama2-7B,IntelGaudi2C,1,1,BF16,512,128,128,128,3027.49,36.17,36.17,36.17,59.54,2149.82
Llama2-7B,IntelGaudi2C,1,1,BF16,512,128,256,128,6049.72,71.92,71.92,71.92,118.63,2157.97
Llama2-7B,IntelGaudi2C,1,1,BF16,512,128,512,128,12094.18,143.54,143.54,143.54,236.91,2161.16
,,,,,,,,,,,,,,
Llama2-7B,IntelGaudi2C,1,1,BF16,512,512,1,128,28.88,7.03,7.17,7.1,7.14,140.06
Llama2-7B,IntelGaudi2C,1,1,BF16,512,512,4,128,99.71,7.72,8.26,7.99,8.17,489.6
Llama2-7B,IntelGaudi2C,1,1,BF16,512,512,16,128,383.04,10.47,12.65,11.56,12.29,1301.87
