Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,32,8,1,768,128,6.0,1.55,3.38,2.46,0.66,0.47,0.66,memory
IntelGaudi2B,BF16,2,32,8,1,768,128,12.0,3.11,3.38,2.46,1.33,0.93,1.33,memory
IntelGaudi2B,BF16,4,32,8,1,768,128,24.0,6.22,3.38,2.46,2.65,1.86,2.65,memory
IntelGaudi2B,BF16,8,32,8,1,768,128,48.0,12.44,3.38,2.46,5.3,3.72,5.3,memory
IntelGaudi2B,BF16,16,32,8,1,768,128,96.0,24.88,3.38,2.46,10.6,7.45,10.6,memory
IntelGaudi2B,BF16,32,32,8,1,768,128,192.0,49.75,3.38,2.46,21.21,14.89,21.21,memory
IntelGaudi2B,BF16,64,32,8,1,768,128,384.0,99.5,3.38,2.46,42.41,29.78,42.41,memory
IntelGaudi2B,BF16,128,32,8,1,768,128,768.0,199.0,3.38,2.46,84.82,59.56,84.82,memory
IntelGaudi2B,BF16,256,32,8,1,768,128,1536.0,398.0,3.38,2.46,169.65,119.13,169.65,memory
IntelGaudi2B,BF16,512,32,8,1,768,128,3072.0,796.0,3.38,2.46,339.3,238.26,339.3,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,8,1,1280,128,10.0,2.59,3.38,2.46,1.1,0.78,1.1,memory
IntelGaudi2B,BF16,2,32,8,1,1280,128,20.0,5.17,3.38,2.46,2.2,1.55,2.2,memory
IntelGaudi2B,BF16,4,32,8,1,1280,128,40.0,10.34,3.38,2.46,4.41,3.1,4.41,memory
IntelGaudi2B,BF16,8,32,8,1,1280,128,80.0,20.69,3.38,2.46,8.82,6.2,8.82,memory
IntelGaudi2B,BF16,16,32,8,1,1280,128,160.0,41.38,3.38,2.46,17.64,12.41,17.64,memory
IntelGaudi2B,BF16,32,32,8,1,1280,128,320.0,82.75,3.38,2.46,35.27,24.82,35.27,memory
IntelGaudi2B,BF16,64,32,8,1,1280,128,640.0,165.5,3.38,2.46,70.54,49.64,70.54,memory
IntelGaudi2B,BF16,128,32,8,1,1280,128,1280.0,331.0,3.38,2.46,141.09,99.27,141.09,memory
IntelGaudi2B,BF16,256,32,8,1,1280,128,2560.0,662.0,3.38,2.46,282.18,198.55,282.18,memory
IntelGaudi2B,BF16,512,32,8,1,1280,128,5120.0,1324.0,3.38,2.46,564.36,397.09,564.36,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,8,1,2304,128,18.0,4.65,3.38,2.46,1.98,1.4,1.98,memory
IntelGaudi2B,BF16,2,32,8,1,2304,128,36.0,9.3,3.38,2.46,3.96,2.79,3.96,memory
IntelGaudi2B,BF16,4,32,8,1,2304,128,72.0,18.59,3.38,2.46,7.93,5.58,7.93,memory
IntelGaudi2B,BF16,8,32,8,1,2304,128,144.0,37.19,3.38,2.46,15.85,11.17,15.85,memory
IntelGaudi2B,BF16,16,32,8,1,2304,128,288.0,74.38,3.38,2.46,31.7,22.34,31.7,memory
IntelGaudi2B,BF16,32,32,8,1,2304,128,576.0,148.75,3.38,2.46,63.4,44.67,63.4,memory
IntelGaudi2B,BF16,64,32,8,1,2304,128,1152.0,297.5,3.38,2.46,126.81,89.35,126.81,memory
IntelGaudi2B,BF16,128,32,8,1,2304,128,2304.0,595.0,3.38,2.46,253.62,178.69,253.62,memory
IntelGaudi2B,BF16,256,32,8,1,2304,128,4608.0,1190.0,3.38,2.46,507.24,357.38,507.24,memory
IntelGaudi2B,BF16,512,32,8,1,2304,128,9216.0,2380.0,3.38,2.46,1014.48,714.77,1014.48,memory
,,,,,,,,,,,,,,,
