Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,32,8,1,768,128,6.0,1.55,1.69,2.46,0.66,0.93,0.93,compute
IntelGaudi2B,BF16,2,32,8,1,768,128,12.0,3.11,1.69,2.46,1.33,1.86,1.86,compute
IntelGaudi2B,BF16,4,32,8,1,768,128,24.0,6.22,1.69,2.46,2.65,3.72,3.72,compute
IntelGaudi2B,BF16,8,32,8,1,768,128,48.0,12.44,1.69,2.46,5.3,7.45,7.45,compute
IntelGaudi2B,BF16,16,32,8,1,768,128,96.0,24.88,1.69,2.46,10.6,14.89,14.89,compute
IntelGaudi2B,BF16,32,32,8,1,768,128,192.0,49.75,1.69,2.46,21.21,29.78,29.78,compute
IntelGaudi2B,BF16,64,32,8,1,768,128,384.0,99.5,1.69,2.46,42.41,59.56,59.56,compute
IntelGaudi2B,BF16,128,32,8,1,768,128,768.0,199.0,1.69,2.46,84.82,119.13,119.13,compute
IntelGaudi2B,BF16,256,32,8,1,768,128,1536.0,398.0,1.69,2.46,169.65,238.26,238.26,compute
IntelGaudi2B,BF16,512,32,8,1,768,128,3072.0,796.0,1.69,2.46,339.3,476.51,476.51,compute
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,8,1,1280,128,10.0,2.59,1.69,2.46,1.1,1.55,1.55,compute
IntelGaudi2B,BF16,2,32,8,1,1280,128,20.0,5.17,1.69,2.46,2.2,3.1,3.1,compute
IntelGaudi2B,BF16,4,32,8,1,1280,128,40.0,10.34,1.69,2.46,4.41,6.2,6.2,compute
IntelGaudi2B,BF16,8,32,8,1,1280,128,80.0,20.69,1.69,2.46,8.82,12.41,12.41,compute
IntelGaudi2B,BF16,16,32,8,1,1280,128,160.0,41.38,1.69,2.46,17.64,24.82,24.82,compute
IntelGaudi2B,BF16,32,32,8,1,1280,128,320.0,82.75,1.69,2.46,35.27,49.64,49.64,compute
IntelGaudi2B,BF16,64,32,8,1,1280,128,640.0,165.5,1.69,2.46,70.54,99.27,99.27,compute
IntelGaudi2B,BF16,128,32,8,1,1280,128,1280.0,331.0,1.69,2.46,141.09,198.55,198.55,compute
IntelGaudi2B,BF16,256,32,8,1,1280,128,2560.0,662.0,1.69,2.46,282.18,397.09,397.09,compute
IntelGaudi2B,BF16,512,32,8,1,1280,128,5120.0,1324.0,1.69,2.46,564.36,794.19,794.19,compute
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,8,1,2304,128,18.0,4.65,1.69,2.46,1.98,2.79,2.79,compute
IntelGaudi2B,BF16,2,32,8,1,2304,128,36.0,9.3,1.69,2.46,3.96,5.58,5.58,compute
IntelGaudi2B,BF16,4,32,8,1,2304,128,72.0,18.59,1.69,2.46,7.93,11.17,11.17,compute
IntelGaudi2B,BF16,8,32,8,1,2304,128,144.0,37.19,1.69,2.46,15.85,22.34,22.34,compute
IntelGaudi2B,BF16,16,32,8,1,2304,128,288.0,74.38,1.69,2.46,31.7,44.67,44.67,compute
IntelGaudi2B,BF16,32,32,8,1,2304,128,576.0,148.75,1.69,2.46,63.4,89.35,89.35,compute
IntelGaudi2B,BF16,64,32,8,1,2304,128,1152.0,297.5,1.69,2.46,126.81,178.69,178.69,compute
IntelGaudi2B,BF16,128,32,8,1,2304,128,2304.0,595.0,1.69,2.46,253.62,357.38,357.38,compute
IntelGaudi2B,BF16,256,32,8,1,2304,128,4608.0,1190.0,1.69,2.46,507.24,714.77,714.77,compute
IntelGaudi2B,BF16,512,32,8,1,2304,128,9216.0,2380.0,1.69,2.46,1014.48,1429.54,1429.54,compute
,,,,,,,,,,,,,,,
