Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,32,8,1,768,128,6.0,1.55,27.04,2.46,0.66,0.23,0.66,memory
IntelGaudi2B,BF16,2,32,8,1,768,128,12.0,3.11,27.04,2.46,1.33,0.47,1.33,memory
IntelGaudi2B,BF16,4,32,8,1,768,128,24.0,6.22,27.04,2.46,2.65,0.93,2.65,memory
IntelGaudi2B,BF16,8,32,8,1,768,128,48.0,12.44,27.04,2.46,5.3,1.86,5.3,memory
IntelGaudi2B,BF16,16,32,8,1,768,128,96.0,24.88,27.04,2.46,10.6,3.72,10.6,memory
IntelGaudi2B,BF16,32,32,8,1,768,128,192.0,49.75,27.04,2.46,21.21,7.45,21.21,memory
IntelGaudi2B,BF16,64,32,8,1,768,128,384.0,99.5,27.04,2.46,42.41,14.89,42.41,memory
IntelGaudi2B,BF16,128,32,8,1,768,128,768.0,199.0,27.04,2.46,84.82,29.78,84.82,memory
IntelGaudi2B,BF16,256,32,8,1,768,128,1536.0,398.0,27.04,2.46,169.65,59.56,169.65,memory
IntelGaudi2B,BF16,512,32,8,1,768,128,3072.0,796.0,27.04,2.46,339.3,119.13,339.3,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,8,1,1280,128,10.0,2.59,27.04,2.46,1.1,0.39,1.1,memory
IntelGaudi2B,BF16,2,32,8,1,1280,128,20.0,5.17,27.04,2.46,2.2,0.78,2.2,memory
IntelGaudi2B,BF16,4,32,8,1,1280,128,40.0,10.34,27.04,2.46,4.41,1.55,4.41,memory
IntelGaudi2B,BF16,8,32,8,1,1280,128,80.0,20.69,27.04,2.46,8.82,3.1,8.82,memory
IntelGaudi2B,BF16,16,32,8,1,1280,128,160.0,41.38,27.04,2.46,17.64,6.2,17.64,memory
IntelGaudi2B,BF16,32,32,8,1,1280,128,320.0,82.75,27.04,2.46,35.27,12.41,35.27,memory
IntelGaudi2B,BF16,64,32,8,1,1280,128,640.0,165.5,27.04,2.46,70.54,24.82,70.54,memory
IntelGaudi2B,BF16,128,32,8,1,1280,128,1280.0,331.0,27.04,2.46,141.09,49.64,141.09,memory
IntelGaudi2B,BF16,256,32,8,1,1280,128,2560.0,662.0,27.04,2.46,282.18,99.27,282.18,memory
IntelGaudi2B,BF16,512,32,8,1,1280,128,5120.0,1324.0,27.04,2.46,564.36,198.55,564.36,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,8,1,2304,128,18.0,4.65,27.04,2.46,1.98,0.7,1.98,memory
IntelGaudi2B,BF16,2,32,8,1,2304,128,36.0,9.3,27.04,2.46,3.96,1.4,3.96,memory
IntelGaudi2B,BF16,4,32,8,1,2304,128,72.0,18.59,27.04,2.46,7.93,2.79,7.93,memory
IntelGaudi2B,BF16,8,32,8,1,2304,128,144.0,37.19,27.04,2.46,15.85,5.58,15.85,memory
IntelGaudi2B,BF16,16,32,8,1,2304,128,288.0,74.38,27.04,2.46,31.7,11.17,31.7,memory
IntelGaudi2B,BF16,32,32,8,1,2304,128,576.0,148.75,27.04,2.46,63.4,22.34,63.4,memory
IntelGaudi2B,BF16,64,32,8,1,2304,128,1152.0,297.5,27.04,2.46,126.81,44.67,126.81,memory
IntelGaudi2B,BF16,128,32,8,1,2304,128,2304.0,595.0,27.04,2.46,253.62,89.35,253.62,memory
IntelGaudi2B,BF16,256,32,8,1,2304,128,4608.0,1190.0,27.04,2.46,507.24,178.69,507.24,memory
IntelGaudi2B,BF16,512,32,8,1,2304,128,9216.0,2380.0,27.04,2.46,1014.48,357.38,1014.48,memory
,,,,,,,,,,,,,,,
