Model,Device,PP,TP,DType,Input,Output,BS,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,1,256,51.3,49.66,49.66,49.66,49.68,20.13
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,4,256,196.71,49.77,49.77,49.77,50.92,78.55
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,16,256,671.6,50.19,50.19,50.19,55.04,290.7
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,24,256,988.19,50.47,50.47,50.47,57.8,415.22
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,28,256,1146.49,50.61,50.61,50.61,59.17,473.21
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,32,256,1304.79,50.75,50.75,50.75,60.55,528.49
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,48,256,1937.98,51.31,51.31,51.31,66.05,726.72
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,56,256,2254.57,51.59,51.59,51.59,68.8,813.95
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,60,256,2412.87,51.73,51.73,51.73,70.18,854.94
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,64,256,2571.17,51.87,51.87,51.87,71.56,894.35
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,96,256,3837.54,53.0,53.0,53.0,82.56,1162.79
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,112,256,4470.73,53.56,53.56,53.56,88.07,1271.72
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,128,256,5103.92,54.12,54.12,54.12,93.57,1367.96
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,256,256,10169.43,105.11,105.11,105.11,183.74,1393.27
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,512,256,20300.45,207.99,207.99,207.99,364.97,1402.86
,,,,,,,,,,,,,,
