Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2C,BF16,1,32,8,1,384,128,3.0,0.78,17.52,2.46,0.33,0.18,0.33,memory
IntelGaudi2C,BF16,4,32,8,1,384,128,12.0,3.12,17.52,2.46,1.33,0.72,1.33,memory
IntelGaudi2C,BF16,16,32,8,1,384,128,48.0,12.5,17.52,2.46,5.33,2.87,5.33,memory
IntelGaudi2C,BF16,24,32,8,1,384,128,72.0,18.75,17.52,2.46,7.99,4.31,7.99,memory
IntelGaudi2C,BF16,28,32,8,1,384,128,84.0,21.88,17.52,2.46,9.32,5.03,9.32,memory
IntelGaudi2C,BF16,32,32,8,1,384,128,96.0,25.0,17.52,2.46,10.66,5.75,10.66,memory
IntelGaudi2C,BF16,48,32,8,1,384,128,144.0,37.5,17.52,2.46,15.98,8.62,15.98,memory
IntelGaudi2C,BF16,56,32,8,1,384,128,168.0,43.75,17.52,2.46,18.65,10.05,18.65,memory
IntelGaudi2C,BF16,60,32,8,1,384,128,180.0,46.88,17.52,2.46,19.98,10.77,19.98,memory
IntelGaudi2C,BF16,64,32,8,1,384,128,192.0,50.0,17.52,2.46,21.31,11.49,21.31,memory
IntelGaudi2C,BF16,96,32,8,1,384,128,288.0,75.0,17.52,2.46,31.97,17.24,31.97,memory
IntelGaudi2C,BF16,112,32,8,1,384,128,336.0,87.5,17.52,2.46,37.3,20.11,37.3,memory
IntelGaudi2C,BF16,128,32,8,1,384,128,384.0,100.0,17.52,2.46,42.63,22.98,42.63,memory
IntelGaudi2C,BF16,256,32,8,1,384,128,768.0,200.0,17.52,2.46,85.25,45.96,85.25,memory
IntelGaudi2C,BF16,512,32,8,1,384,128,1536.0,400.0,17.52,2.46,170.5,91.93,170.5,memory
,,,,,,,,,,,,,,,
