Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2C,BF16,1,32,8,1,384,128,3.0,0.78,8.8,2.46,0.33,0.36,0.36,compute
IntelGaudi2C,BF16,4,32,8,1,384,128,12.0,3.12,8.8,2.46,1.33,1.43,1.43,compute
IntelGaudi2C,BF16,16,32,8,1,384,128,48.0,12.5,8.8,2.46,5.33,5.72,5.72,compute
IntelGaudi2C,BF16,24,32,8,1,384,128,72.0,18.75,8.8,2.46,7.99,8.58,8.58,compute
IntelGaudi2C,BF16,28,32,8,1,384,128,84.0,21.88,8.8,2.46,9.32,10.01,10.01,compute
IntelGaudi2C,BF16,32,32,8,1,384,128,96.0,25.0,8.8,2.46,10.66,11.44,11.44,compute
IntelGaudi2C,BF16,48,32,8,1,384,128,144.0,37.5,8.8,2.46,15.98,17.16,17.16,compute
IntelGaudi2C,BF16,56,32,8,1,384,128,168.0,43.75,8.8,2.46,18.65,20.02,20.02,compute
IntelGaudi2C,BF16,60,32,8,1,384,128,180.0,46.88,8.8,2.46,19.98,21.45,21.45,compute
IntelGaudi2C,BF16,64,32,8,1,384,128,192.0,50.0,8.8,2.46,21.31,22.88,22.88,compute
IntelGaudi2C,BF16,96,32,8,1,384,128,288.0,75.0,8.8,2.46,31.97,34.32,34.32,compute
IntelGaudi2C,BF16,112,32,8,1,384,128,336.0,87.5,8.8,2.46,37.3,40.04,40.04,compute
IntelGaudi2C,BF16,128,32,8,1,384,128,384.0,100.0,8.8,2.46,42.63,45.76,45.76,compute
IntelGaudi2C,BF16,256,32,8,1,384,128,768.0,200.0,8.8,2.46,85.25,91.51,91.51,compute
IntelGaudi2C,BF16,512,32,8,1,384,128,1536.0,400.0,8.8,2.46,170.5,183.02,183.02,compute
,,,,,,,,,,,,,,,
