Device,DType,BS,SeqLenQ,SeqLenKV,HiddenSize,IntermediateSize,Ops(up)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
IntelGaudi2C,BF16,1,1,128,4096,14336,112.0,112.04,2.19,2.46,47.76,53.53,61.67,compute
