Device,DType,BS,SeqLenQ,SeqLenKV,HiddenSize,IntermediateSize,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2C,BF16,1,1,384,4096,14336,112.0,112.04,2.19,2.46,47.76,53.63,61.7,compute
IntelGaudi2C,BF16,4,1,384,4096,14336,448.0,112.14,8.76,2.46,47.8,53.63,61.74,compute
IntelGaudi2C,BF16,16,1,384,4096,14336,1792.0,112.56,35.04,2.46,47.98,53.63,61.92,compute
IntelGaudi2C,BF16,24,1,384,4096,14336,2688.0,112.84,52.56,2.46,48.1,53.63,62.04,compute
IntelGaudi2C,BF16,28,1,384,4096,14336,3136.0,112.98,61.32,2.46,48.16,53.63,62.1,compute
IntelGaudi2C,BF16,32,1,384,4096,14336,3584.0,113.12,70.08,2.46,48.22,53.63,62.16,compute
IntelGaudi2C,BF16,48,1,384,4096,14336,5376.0,113.69,105.12,2.46,48.46,53.63,62.4,compute
IntelGaudi2C,BF16,56,1,384,4096,14336,6272.0,113.97,122.64,2.46,48.58,53.63,62.52,compute
IntelGaudi2C,BF16,60,1,384,4096,14336,6720.0,114.11,131.4,2.46,48.64,53.63,62.58,compute
IntelGaudi2C,BF16,64,1,384,4096,14336,7168.0,114.25,140.16,2.46,48.7,53.63,62.64,compute
IntelGaudi2C,BF16,96,1,384,4096,14336,10752.0,115.38,210.24,2.46,49.18,53.63,63.12,compute
IntelGaudi2C,BF16,112,1,384,4096,14336,12544.0,115.94,245.28,2.46,49.42,53.63,63.36,compute
IntelGaudi2C,BF16,128,1,384,4096,14336,14336.0,116.5,280.32,2.46,49.66,53.63,63.6,compute
IntelGaudi2C,BF16,256,1,384,4096,14336,28672.0,121.0,280.8,2.46,51.58,107.07,123.31,compute
IntelGaudi2C,BF16,512,1,384,4096,14336,57344.0,130.0,280.8,2.46,55.41,214.14,243.85,compute
,,,,,,,,,,,,,,
