Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(QK+SV)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2C,BF16,1,32,8,128,128,128,256.0,4.5,280.8,1.5,3.14,0.96,3.14,memory
IntelGaudi2C,BF16,2,32,8,128,128,128,512.0,9.0,280.8,1.5,6.29,1.91,6.29,memory
IntelGaudi2C,BF16,4,32,8,128,128,128,1024.0,18.0,280.8,1.5,12.58,3.82,12.58,memory
IntelGaudi2C,BF16,8,32,8,128,128,128,2048.0,36.0,280.8,1.5,25.16,7.65,25.16,memory
IntelGaudi2C,BF16,16,32,8,128,128,128,4096.0,72.0,280.8,1.5,50.31,15.3,50.31,memory
IntelGaudi2C,BF16,32,32,8,128,128,128,8192.0,144.0,280.8,1.5,100.62,30.59,100.62,memory
IntelGaudi2C,BF16,64,32,8,128,128,128,16384.0,288.0,280.8,1.5,201.25,61.18,201.25,memory
IntelGaudi2C,BF16,128,32,8,128,128,128,32768.0,576.0,280.8,1.5,402.49,122.36,402.49,memory
IntelGaudi2C,BF16,256,32,8,128,128,128,65536.0,1152.0,280.8,1.5,804.98,244.73,804.98,memory
IntelGaudi2C,BF16,512,32,8,128,128,128,131072.0,2304.0,280.8,1.5,1609.97,489.45,1609.97,memory
,,,,,,,,,,,,,,,
IntelGaudi2C,BF16,1,32,8,128,128,128,256.0,4.5,280.8,1.5,3.14,0.96,3.14,memory
IntelGaudi2C,BF16,2,32,8,128,128,128,512.0,9.0,280.8,1.5,6.29,1.91,6.29,memory
IntelGaudi2C,BF16,4,32,8,128,128,128,1024.0,18.0,280.8,1.5,12.58,3.82,12.58,memory
IntelGaudi2C,BF16,8,32,8,128,128,128,2048.0,36.0,280.8,1.5,25.16,7.65,25.16,memory
IntelGaudi2C,BF16,16,32,8,128,128,128,4096.0,72.0,280.8,1.5,50.31,15.3,50.31,memory
IntelGaudi2C,BF16,32,32,8,128,128,128,8192.0,144.0,280.8,1.5,100.62,30.59,100.62,memory
IntelGaudi2C,BF16,64,32,8,128,128,128,16384.0,288.0,280.8,1.5,201.25,61.18,201.25,memory
IntelGaudi2C,BF16,128,32,8,128,128,128,32768.0,576.0,280.8,1.5,402.49,122.36,402.49,memory
IntelGaudi2C,BF16,256,32,8,128,128,128,65536.0,1152.0,280.8,1.5,804.98,244.73,804.98,memory
IntelGaudi2C,BF16,512,32,8,128,128,128,131072.0,2304.0,280.8,1.5,1609.97,489.45,1609.97,memory
,,,,,,,,,,,,,,,
IntelGaudi2C,BF16,1,32,8,512,512,128,4096.0,42.0,280.8,1.5,29.35,15.3,29.35,memory
IntelGaudi2C,BF16,2,32,8,512,512,128,8192.0,84.0,280.8,1.5,58.7,30.59,58.7,memory
IntelGaudi2C,BF16,4,32,8,512,512,128,16384.0,168.0,280.8,1.5,117.39,61.18,117.39,memory
IntelGaudi2C,BF16,8,32,8,512,512,128,32768.0,336.0,280.8,1.5,234.79,122.36,234.79,memory
IntelGaudi2C,BF16,16,32,8,512,512,128,65536.0,672.0,280.8,1.5,469.57,244.73,469.57,memory
IntelGaudi2C,BF16,32,32,8,512,512,128,131072.0,1344.0,280.8,1.5,939.15,489.45,939.15,memory
IntelGaudi2C,BF16,64,32,8,512,512,128,262144.0,2688.0,280.8,1.5,1878.3,978.91,1878.3,memory
IntelGaudi2C,BF16,128,32,8,512,512,128,524288.0,5376.0,280.8,1.5,3756.59,1957.82,3756.59,memory
IntelGaudi2C,BF16,256,32,8,512,512,128,1048576.0,10752.0,280.8,1.5,7513.19,3915.64,7513.19,memory
IntelGaudi2C,BF16,512,32,8,512,512,128,2097152.0,21504.0,280.8,1.5,15026.37,7831.28,15026.37,memory
,,,,,,,,,,,,,,,
IntelGaudi2C,BF16,1,32,8,512,512,128,4096.0,42.0,280.8,1.5,29.35,15.3,29.35,memory
IntelGaudi2C,BF16,2,32,8,512,512,128,8192.0,84.0,280.8,1.5,58.7,30.59,58.7,memory
IntelGaudi2C,BF16,4,32,8,512,512,128,16384.0,168.0,280.8,1.5,117.39,61.18,117.39,memory
IntelGaudi2C,BF16,8,32,8,512,512,128,32768.0,336.0,280.8,1.5,234.79,122.36,234.79,memory
IntelGaudi2C,BF16,16,32,8,512,512,128,65536.0,672.0,280.8,1.5,469.57,244.73,469.57,memory
IntelGaudi2C,BF16,32,32,8,512,512,128,131072.0,1344.0,280.8,1.5,939.15,489.45,939.15,memory
IntelGaudi2C,BF16,64,32,8,512,512,128,262144.0,2688.0,280.8,1.5,1878.3,978.91,1878.3,memory
IntelGaudi2C,BF16,128,32,8,512,512,128,524288.0,5376.0,280.8,1.5,3756.59,1957.82,3756.59,memory
IntelGaudi2C,BF16,256,32,8,512,512,128,1048576.0,10752.0,280.8,1.5,7513.19,3915.64,7513.19,memory
