Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2C,BF16,1,32,8,128,128,128,128.0,2.25,280.8,2.46,0.96,0.48,0.96,memory
IntelGaudi2C,BF16,4,32,8,128,128,128,512.0,9.0,280.8,2.46,3.84,1.91,3.84,memory
IntelGaudi2C,BF16,16,32,8,128,128,128,2048.0,36.0,280.8,2.46,15.35,7.65,15.35,memory
IntelGaudi2C,BF16,24,32,8,128,128,128,3072.0,54.0,280.8,2.46,23.02,11.47,23.02,memory
IntelGaudi2C,BF16,28,32,8,128,128,128,3584.0,63.0,280.8,2.46,26.85,13.38,26.85,memory
IntelGaudi2C,BF16,32,32,8,128,128,128,4096.0,72.0,280.8,2.46,30.69,15.3,30.69,memory
IntelGaudi2C,BF16,48,32,8,128,128,128,6144.0,108.0,280.8,2.46,46.04,22.94,46.04,memory
IntelGaudi2C,BF16,56,32,8,128,128,128,7168.0,126.0,280.8,2.46,53.71,26.77,53.71,memory
IntelGaudi2C,BF16,60,32,8,128,128,128,7680.0,135.0,280.8,2.46,57.54,28.68,57.54,memory
IntelGaudi2C,BF16,64,32,8,128,128,128,8192.0,144.0,280.8,2.46,61.38,30.59,61.38,memory
IntelGaudi2C,BF16,96,32,8,128,128,128,12288.0,216.0,280.8,2.46,92.07,45.89,92.07,memory
IntelGaudi2C,BF16,112,32,8,128,128,128,14336.0,252.0,280.8,2.46,107.42,53.53,107.42,memory
IntelGaudi2C,BF16,128,32,8,128,128,128,16384.0,288.0,280.8,2.46,122.76,61.18,122.76,memory
IntelGaudi2C,BF16,256,32,8,128,128,128,32768.0,576.0,280.8,2.46,245.52,122.36,245.52,memory
IntelGaudi2C,BF16,512,32,8,128,128,128,65536.0,1152.0,280.8,2.46,491.04,244.73,491.04,memory
,,,,,,,,,,,,,,,
