Device,DType,BS,SeqLenQ,SeqLenKV,HiddenSize,IntermediateSize,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2C,BF16,1,128,128,4096,14336,14336.0,116.5,280.32,2.46,49.66,53.63,63.6,compute
IntelGaudi2C,BF16,4,128,128,4096,14336,57344.0,130.0,280.8,2.46,55.41,214.14,243.85,compute
IntelGaudi2C,BF16,16,128,128,4096,14336,229376.0,184.0,280.8,2.46,78.43,856.55,832.19,compute
IntelGaudi2C,BF16,24,128,128,4096,14336,344064.0,220.0,280.8,2.46,93.78,1284.82,1224.42,compute
IntelGaudi2C,BF16,28,128,128,4096,14336,401408.0,238.0,280.8,2.46,101.45,1498.96,1420.53,compute
IntelGaudi2C,BF16,32,128,128,4096,14336,458752.0,256.0,280.8,2.46,109.12,1713.09,1616.64,compute
IntelGaudi2C,BF16,48,128,128,4096,14336,688128.0,328.0,280.8,2.46,139.81,2569.64,2401.09,compute
IntelGaudi2C,BF16,56,128,128,4096,14336,802816.0,364.0,280.8,2.46,155.16,2997.91,2793.32,compute
IntelGaudi2C,BF16,60,128,128,4096,14336,860160.0,382.0,280.8,2.46,162.83,3212.05,2989.43,compute
IntelGaudi2C,BF16,64,128,128,4096,14336,917504.0,400.0,280.8,2.46,170.5,3426.18,3185.54,compute
IntelGaudi2C,BF16,96,128,128,4096,14336,1376256.0,544.0,280.8,2.46,231.88,5139.28,4754.44,compute
IntelGaudi2C,BF16,112,128,128,4096,14336,1605632.0,616.0,280.8,2.46,262.57,5995.82,5538.89,compute
IntelGaudi2C,BF16,128,128,128,4096,14336,1835008.0,688.0,280.8,2.46,293.26,6852.37,6323.35,compute
IntelGaudi2C,BF16,256,128,128,4096,14336,3670016.0,1264.0,280.8,2.46,538.78,13704.74,12598.95,compute
IntelGaudi2C,BF16,512,128,128,4096,14336,7340032.0,2416.0,280.8,2.46,1029.82,27409.48,25150.16,compute
,,,,,,,,,,,,,,
