Model,Device,PP,TP,DType,Input,Output,BS,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,1,128,51.34,49.68,49.68,49.68,49.7,20.12
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,4,128,196.93,49.91,49.91,49.91,51.05,78.35
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,16,128,672.51,50.8,50.8,50.8,55.65,287.51
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,24,128,989.55,51.39,51.39,51.39,58.72,408.72
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,28,128,1148.08,51.69,51.69,51.69,60.25,464.73
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,32,128,1306.6,51.98,51.98,51.98,61.79,517.88
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,48,128,1940.7,53.17,53.17,53.17,67.92,706.71
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,56,128,2257.75,53.77,53.77,53.77,70.99,788.84
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,60,128,2416.27,54.06,54.06,54.06,72.52,827.36
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,64,128,2574.79,54.36,54.36,54.36,74.05,864.28
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,96,128,3842.98,56.74,56.74,56.74,86.32,1112.14
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,112,128,4477.08,57.92,57.92,57.92,92.45,1211.47
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,128,128,5111.18,59.11,59.11,59.11,98.58,1298.44
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,256,128,10183.94,115.13,115.13,115.13,193.8,1320.95
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,512,128,20329.47,228.04,228.04,228.04,385.08,1329.59
,,,,,,,,,,,,,,
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,1,128,51.34,49.68,49.78,49.73,49.73,20.11
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,4,128,196.93,49.91,50.28,50.09,50.38,79.4
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,16,128,672.51,50.8,52.28,51.54,52.75,303.32
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,24,128,989.55,51.39,53.62,52.5,54.33,441.74
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,28,128,1148.08,51.69,54.29,52.98,55.12,507.98
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,32,128,1306.6,51.98,54.96,53.47,55.91,572.35
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,48,128,1940.7,53.17,57.63,55.4,59.08,812.46
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,56,128,2257.75,53.77,58.96,56.36,60.66,923.18
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,60,128,2416.27,54.06,59.63,56.84,61.45,976.4
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,64,128,2574.79,54.36,60.3,57.32,62.24,1028.28
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,96,128,3842.98,56.74,65.65,61.18,68.57,1400.03
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,112,128,4477.08,57.92,68.32,63.11,71.73,1561.41
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,128,128,5111.18,59.11,70.99,65.04,74.9,1708.95
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,256,128,10183.94,115.13,138.89,126.99,146.63,1745.89
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,512,512,128,20329.47,228.04,275.56,251.75,290.97,1759.63
,,,,,,,,,,,,,,
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,1,128,198.01,49.78,49.78,49.78,50.93,19.63
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,4,128,676.8,50.28,50.28,50.28,55.17,72.5
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,16,128,2591.97,52.28,52.28,52.28,72.12,221.85
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,24,128,3868.74,53.62,53.62,53.62,83.42,287.7
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,28,128,4507.13,54.29,54.29,54.29,89.07,314.36
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,32,128,5145.52,54.96,54.96,54.96,94.73,337.8
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,48,128,7699.08,57.63,57.63,57.63,117.33,409.1
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,56,128,8975.85,58.96,58.96,58.96,128.63,435.36
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,60,128,9614.24,59.63,59.63,59.63,134.28,446.83
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,64,128,10252.63,60.3,60.3,60.3,139.93,457.37
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,96,128,15359.74,65.65,65.65,65.65,185.13,518.55
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,112,128,17913.3,68.32,68.32,68.32,207.73,539.16
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,128,128,20466.86,70.99,70.99,70.99,230.34,555.7
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,256,128,40895.3,138.89,138.89,138.89,457.3,559.81
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,512,128,81752.19,275.56,275.56,275.56,912.1,561.34
,,,,,,,,,,,,,,
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,1,128,198.01,49.78,49.87,49.82,50.11,19.96
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,4,128,676.8,50.28,50.65,50.46,51.69,77.38
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,16,128,2591.97,52.28,53.77,53.02,57.98,275.96
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,24,128,3868.74,53.62,55.85,54.73,62.18,385.98
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,28,128,4507.13,54.29,56.89,55.58,64.28,435.59
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,32,128,5145.52,54.96,57.93,56.44,66.38,482.07
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,48,128,7699.08,57.63,62.08,59.85,74.77,641.97
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,56,128,8975.85,58.96,64.16,61.56,78.97,709.13
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,60,128,9614.24,59.63,65.2,62.41,81.07,740.1
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,64,128,10252.63,60.3,66.24,63.27,83.17,769.51
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,96,128,15359.74,65.65,74.56,70.09,99.96,960.38
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,112,128,17913.3,68.32,78.72,73.51,108.35,1033.69
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,128,128,20466.86,70.99,82.87,76.92,116.75,1096.36
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,256,128,40895.3,138.89,162.66,150.75,230.33,1111.45
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,512,512,128,81752.19,275.56,323.08,299.28,458.36,1117.03
,,,,,,,,,,,,,,
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,128,1,128,360.47,49.9,49.9,49.9,52.33,19.11
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,128,4,128,1326.64,50.77,50.77,50.77,60.74,65.85
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,128,16,128,5191.32,54.26,54.26,54.26,94.4,169.49
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,128,24,128,7767.77,56.59,56.59,56.59,116.83,205.43
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,128,28,128,9056.0,57.75,57.75,57.75,128.05,218.66
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,128,32,128,10344.22,58.92,58.92,58.92,139.27,229.77
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,128,48,128,15497.13,63.57,63.57,63.57,184.14,260.67
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,128,56,128,18073.58,65.9,65.9,65.9,206.58,271.08
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,128,60,128,19361.81,67.06,67.06,67.06,217.8,275.48
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,128,64,128,20650.03,68.22,68.22,68.22,229.02,279.45
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,128,96,128,30955.85,77.53,77.53,77.53,318.76,301.17
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,128,112,128,36108.75,82.18,82.18,82.18,363.64,308.0
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,128,128,128,41261.66,86.83,86.83,86.83,408.51,313.33
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,128,256,128,82484.9,170.58,170.58,170.58,813.66,314.63
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,128,512,128,164931.4,338.93,338.93,338.93,1624.8,315.12
,,,,,,,,,,,,,,
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,512,1,128,360.47,49.9,49.99,49.95,50.55,19.78
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,512,4,128,1326.64,50.77,51.14,50.96,53.45,74.84
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,512,16,128,5191.32,54.26,55.75,55.0,65.04,246.0
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,512,24,128,7767.77,56.59,58.82,57.7,72.76,329.85
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,512,28,128,9056.0,57.75,60.35,59.05,76.62,365.44
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,512,32,128,10344.22,58.92,61.89,60.4,80.48,397.61
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,512,48,128,15497.13,63.57,68.02,65.79,95.93,500.36
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,512,56,128,18073.58,65.9,71.09,68.49,103.66,540.23
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,512,60,128,19361.81,67.06,72.63,69.84,107.52,558.04
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,512,64,128,20650.03,68.22,74.16,71.19,111.38,574.61
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,512,96,128,30955.85,77.53,86.44,81.97,142.28,674.73
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,512,112,128,36108.75,82.18,92.58,87.37,157.72,710.12
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,512,128,128,41261.66,86.83,98.72,92.76,173.17,739.16
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,512,256,128,82484.9,170.58,194.34,182.44,343.18,745.96
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1024,512,512,128,164931.4,338.93,386.45,362.64,684.06,748.47
,,,,,,,,,,,,,,
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,128,1,128,693.97,50.15,50.15,50.15,55.18,18.12
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,128,4,128,2660.66,51.76,51.76,51.76,72.14,55.45
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,128,16,128,10527.4,58.22,58.22,58.22,140.01,114.28
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,128,24,128,15771.9,62.53,62.53,62.53,185.26,129.55
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,128,28,128,18394.14,64.68,64.68,64.68,207.88,134.69
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,128,32,128,21016.39,66.84,66.84,66.84,230.5,138.83
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,128,48,128,31505.38,75.45,75.45,75.45,321.0,149.53
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,128,56,128,36749.88,79.76,79.76,79.76,366.24,152.91
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,128,60,128,39372.12,81.91,81.91,81.91,388.86,154.3
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,128,64,128,41994.37,84.06,84.06,84.06,411.49,155.53
