Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,40,40,1,768,128,7.5,7.57,1.69,2.46,3.23,4.65,4.65,compute
IntelGaudi2B,BF16,2,40,40,1,768,128,15.0,15.14,1.69,2.46,6.45,9.31,9.31,compute
IntelGaudi2B,BF16,4,40,40,1,768,128,30.0,30.27,1.69,2.46,12.9,18.61,18.61,compute
IntelGaudi2B,BF16,8,40,40,1,768,128,60.0,60.55,1.69,2.46,25.81,37.23,37.23,compute
IntelGaudi2B,BF16,16,40,40,1,768,128,120.0,121.09,1.69,2.46,51.62,74.46,74.46,compute
IntelGaudi2B,BF16,32,40,40,1,768,128,240.0,242.19,1.69,2.46,103.23,148.91,148.91,compute
IntelGaudi2B,BF16,64,40,40,1,768,128,480.0,484.38,1.69,2.46,206.47,297.82,297.82,compute
IntelGaudi2B,BF16,128,40,40,1,768,128,960.0,968.75,1.69,2.46,412.93,595.64,595.64,compute
IntelGaudi2B,BF16,256,40,40,1,768,128,1920.0,1937.5,1.69,2.46,825.86,1191.28,1191.28,compute
IntelGaudi2B,BF16,512,40,40,1,768,128,3840.0,3875.0,1.69,2.46,1651.72,2382.56,2382.56,compute
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,40,40,1,1280,128,12.5,12.61,1.69,2.46,5.37,7.76,7.76,compute
IntelGaudi2B,BF16,2,40,40,1,1280,128,25.0,25.21,1.69,2.46,10.75,15.51,15.51,compute
IntelGaudi2B,BF16,4,40,40,1,1280,128,50.0,50.43,1.69,2.46,21.5,31.02,31.02,compute
IntelGaudi2B,BF16,8,40,40,1,1280,128,100.0,100.86,1.69,2.46,42.99,62.05,62.05,compute
IntelGaudi2B,BF16,16,40,40,1,1280,128,200.0,201.72,1.69,2.46,85.98,124.09,124.09,compute
IntelGaudi2B,BF16,32,40,40,1,1280,128,400.0,403.44,1.69,2.46,171.97,248.18,248.18,compute
IntelGaudi2B,BF16,64,40,40,1,1280,128,800.0,806.88,1.69,2.46,343.93,496.37,496.37,compute
IntelGaudi2B,BF16,128,40,40,1,1280,128,1600.0,1613.75,1.69,2.46,687.86,992.73,992.73,compute
IntelGaudi2B,BF16,256,40,40,1,1280,128,3200.0,3227.5,1.69,2.46,1375.72,1985.47,1985.47,compute
IntelGaudi2B,BF16,512,40,40,1,1280,128,6400.0,6455.0,1.69,2.46,2751.45,3970.94,3970.94,compute
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,40,40,1,2304,128,22.5,22.69,1.69,2.46,9.67,13.96,13.96,compute
IntelGaudi2B,BF16,2,40,40,1,2304,128,45.0,45.37,1.69,2.46,19.34,27.92,27.92,compute
IntelGaudi2B,BF16,4,40,40,1,2304,128,90.0,90.74,1.69,2.46,38.68,55.84,55.84,compute
IntelGaudi2B,BF16,8,40,40,1,2304,128,180.0,181.48,1.69,2.46,77.36,111.68,111.68,compute
IntelGaudi2B,BF16,16,40,40,1,2304,128,360.0,362.97,1.69,2.46,154.72,223.37,223.37,compute
IntelGaudi2B,BF16,32,40,40,1,2304,128,720.0,725.94,1.69,2.46,309.43,446.73,446.73,compute
IntelGaudi2B,BF16,64,40,40,1,2304,128,1440.0,1451.88,1.69,2.46,618.86,893.46,893.46,compute
IntelGaudi2B,BF16,128,40,40,1,2304,128,2880.0,2903.75,1.69,2.46,1237.72,1786.92,1786.92,compute
IntelGaudi2B,BF16,256,40,40,1,2304,128,5760.0,5807.5,1.69,2.46,2475.45,3573.84,3573.84,compute
IntelGaudi2B,BF16,512,40,40,1,2304,128,11520.0,11615.0,1.69,2.46,4950.9,7147.69,7147.69,compute
,,,,,,,,,,,,,,,
