Device,DType,BS,SeqLenQ,SeqLenKV,HiddenSize,IntermediateSize,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,512,512,5120,13696,68480.0,152.12,432.0,2.46,64.84,166.22,177.87,compute
IntelGaudi2B,BF16,2,512,512,5120,13696,136960.0,170.5,432.0,2.46,72.68,332.44,298.73,compute
IntelGaudi2B,BF16,4,512,512,5120,13696,273920.0,207.25,432.0,2.46,88.34,664.87,540.46,compute
IntelGaudi2B,BF16,8,512,512,5120,13696,547840.0,280.75,432.0,2.46,119.67,1329.75,1023.9,compute
IntelGaudi2B,BF16,16,512,512,5120,13696,1095680.0,427.75,432.0,2.46,182.33,2659.5,1990.79,compute
IntelGaudi2B,BF16,32,512,512,5120,13696,2191360.0,721.75,432.0,2.46,307.65,5319.0,3924.57,compute
IntelGaudi2B,BF16,64,512,512,5120,13696,4382720.0,1309.75,432.0,2.46,558.28,10638.0,7792.12,compute
IntelGaudi2B,BF16,128,512,512,5120,13696,8765440.0,2485.75,432.0,2.46,1059.55,21276.0,15527.23,compute
IntelGaudi2B,BF16,256,512,512,5120,13696,17530880.0,4837.75,432.0,2.46,2062.09,42551.99,30997.45,compute
IntelGaudi2B,BF16,512,512,512,5120,13696,35061760.0,9541.75,432.0,2.46,4067.17,85103.98,61937.88,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,1024,1024,5120,13696,136960.0,170.5,432.0,2.46,72.68,332.44,298.73,compute
IntelGaudi2B,BF16,2,1024,1024,5120,13696,273920.0,207.25,432.0,2.46,88.34,664.87,540.46,compute
IntelGaudi2B,BF16,4,1024,1024,5120,13696,547840.0,280.75,432.0,2.46,119.67,1329.75,1023.9,compute
IntelGaudi2B,BF16,8,1024,1024,5120,13696,1095680.0,427.75,432.0,2.46,182.33,2659.5,1990.79,compute
IntelGaudi2B,BF16,16,1024,1024,5120,13696,2191360.0,721.75,432.0,2.46,307.65,5319.0,3924.57,compute
IntelGaudi2B,BF16,32,1024,1024,5120,13696,4382720.0,1309.75,432.0,2.46,558.28,10638.0,7792.12,compute
IntelGaudi2B,BF16,64,1024,1024,5120,13696,8765440.0,2485.75,432.0,2.46,1059.55,21276.0,15527.23,compute
IntelGaudi2B,BF16,128,1024,1024,5120,13696,17530880.0,4837.75,432.0,2.46,2062.09,42551.99,30997.45,compute
IntelGaudi2B,BF16,256,1024,1024,5120,13696,35061760.0,9541.75,432.0,2.46,4067.17,85103.98,61937.88,compute
IntelGaudi2B,BF16,512,1024,1024,5120,13696,70123520.0,18949.75,432.0,2.46,8077.34,170207.96,123818.75,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,2048,2048,5120,13696,273920.0,207.25,432.0,2.46,88.34,664.87,540.46,compute
IntelGaudi2B,BF16,2,2048,2048,5120,13696,547840.0,280.75,432.0,2.46,119.67,1329.75,1023.9,compute
IntelGaudi2B,BF16,4,2048,2048,5120,13696,1095680.0,427.75,432.0,2.46,182.33,2659.5,1990.79,compute
IntelGaudi2B,BF16,8,2048,2048,5120,13696,2191360.0,721.75,432.0,2.46,307.65,5319.0,3924.57,compute
IntelGaudi2B,BF16,16,2048,2048,5120,13696,4382720.0,1309.75,432.0,2.46,558.28,10638.0,7792.12,compute
IntelGaudi2B,BF16,32,2048,2048,5120,13696,8765440.0,2485.75,432.0,2.46,1059.55,21276.0,15527.23,compute
IntelGaudi2B,BF16,64,2048,2048,5120,13696,17530880.0,4837.75,432.0,2.46,2062.09,42551.99,30997.45,compute
IntelGaudi2B,BF16,128,2048,2048,5120,13696,35061760.0,9541.75,432.0,2.46,4067.17,85103.98,61937.88,compute
IntelGaudi2B,BF16,256,2048,2048,5120,13696,70123520.0,18949.75,432.0,2.46,8077.34,170207.96,123818.75,compute
IntelGaudi2B,BF16,512,2048,2048,5120,13696,140247040.0,37765.75,432.0,2.46,16097.67,340415.93,247580.5,compute
,,,,,,,,,,,,,,
