DType,Input,Output,BS,HiddenSize,HeadsQ,HeadsKV,InterSize,WithGate,Experts,Layers,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
BF16,512,512,1,5120,40,40,13696,True,1,40,256,33.9,11.62,11.72,11.67,11.71,85.4
BF16,512,512,2,5120,40,40,13696,True,1,40,256,57.55,11.94,12.15,12.04,12.13,164.88
BF16,512,512,4,5120,40,40,13696,True,1,40,256,104.86,12.58,13.0,12.79,12.97,308.4
BF16,512,512,8,5120,40,40,13696,True,1,40,256,199.46,13.86,14.7,14.28,14.64,546.45
BF16,512,512,16,5120,40,40,13696,True,1,40,256,388.67,16.42,18.11,17.27,17.99,889.38
BF16,512,512,32,5120,40,40,13696,True,1,40,256,767.08,21.55,24.93,23.23,24.69,1296.07
BF16,512,512,64,5120,40,40,13696,True,1,40,256,1523.91,31.8,38.56,35.17,38.08,1680.67
BF16,512,512,128,5120,40,40,13696,True,1,40,256,3037.57,52.3,65.83,59.05,64.87,1973.18
BF16,512,512,256,5120,40,40,13696,True,1,40,256,6064.89,98.54,125.59,112.04,123.66,2070.19
BF16,512,512,512,5120,40,40,13696,True,1,40,256,12119.53,194.59,248.69,221.59,244.83,2091.25
,,,,,,,,,,,,,,,,,
BF16,1024,512,1,5120,40,40,13696,True,1,40,256,60.28,11.83,11.93,11.88,11.97,83.54
BF16,1024,512,2,5120,40,40,13696,True,1,40,256,110.31,12.36,12.57,12.46,12.66,157.98
BF16,1024,512,4,5120,40,40,13696,True,1,40,256,210.37,13.42,13.85,13.63,14.02,285.31
BF16,1024,512,8,5120,40,40,13696,True,1,40,256,410.49,15.55,16.39,15.97,16.74,477.9
BF16,1024,512,16,5120,40,40,13696,True,1,40,256,810.73,19.8,21.49,20.65,22.19,721.05
BF16,1024,512,32,5120,40,40,13696,True,1,40,256,1611.21,28.31,31.69,30.0,33.09,967.06
BF16,1024,512,64,5120,40,40,13696,True,1,40,256,3212.16,45.32,52.09,48.7,54.88,1166.18
BF16,1024,512,128,5120,40,40,13696,True,1,40,256,6414.07,79.35,92.88,86.1,98.46,1300.02
BF16,1024,512,256,5120,40,40,13696,True,1,40,256,12817.9,152.64,179.69,166.14,190.85,1341.37
BF16,1024,512,512,5120,40,40,13696,True,1,40,256,25625.54,302.8,356.9,329.8,379.2,1350.21
,,,,,,,,,,,,,,,,,
BF16,2048,512,1,5120,40,40,13696,True,1,40,256,121.22,12.25,12.36,12.3,12.52,79.87
BF16,2048,512,2,5120,40,40,13696,True,1,40,256,232.19,13.2,13.42,13.31,13.74,145.56
BF16,2048,512,4,5120,40,40,13696,True,1,40,256,454.14,15.11,15.54,15.32,16.18,247.22
BF16,2048,512,8,5120,40,40,13696,True,1,40,256,898.03,18.93,19.78,19.35,21.07,379.69
BF16,2048,512,16,5120,40,40,13696,True,1,40,256,1785.8,26.57,28.26,27.41,30.84,518.81
BF16,2048,512,32,5120,40,40,13696,True,1,40,256,3561.35,41.84,45.22,43.52,50.39,635.05
BF16,2048,512,64,5120,40,40,13696,True,1,40,256,7112.44,72.38,79.14,75.75,89.49,715.16
BF16,2048,512,128,5120,40,40,13696,True,1,40,256,14214.63,133.46,146.98,140.21,167.69,763.31
BF16,2048,512,256,5120,40,40,13696,True,1,40,256,28419.01,260.85,287.9,274.34,329.31,777.38
BF16,2048,512,512,5120,40,40,13696,True,1,40,256,56827.78,519.21,573.31,546.21,656.13,780.33
,,,,,,,,,,,,,,,,,
