Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,32,32,512,512,128,2048.0,24.0,432.0,2.46,10.23,4.97,10.23,memory
IntelGaudi2B,BF16,2,32,32,512,512,128,4096.0,48.0,432.0,2.46,20.46,9.94,20.46,memory
IntelGaudi2B,BF16,4,32,32,512,512,128,8192.0,96.0,432.0,2.46,40.92,19.88,40.92,memory
IntelGaudi2B,BF16,8,32,32,512,512,128,16384.0,192.0,432.0,2.46,81.84,39.77,81.84,memory
IntelGaudi2B,BF16,16,32,32,512,512,128,32768.0,384.0,432.0,2.46,163.68,79.54,163.68,memory
IntelGaudi2B,BF16,32,32,32,512,512,128,65536.0,768.0,432.0,2.46,327.36,159.07,327.36,memory
IntelGaudi2B,BF16,64,32,32,512,512,128,131072.0,1536.0,432.0,2.46,654.72,318.15,654.72,memory
IntelGaudi2B,BF16,128,32,32,512,512,128,262144.0,3072.0,432.0,2.46,1309.44,636.29,1309.44,memory
IntelGaudi2B,BF16,256,32,32,512,512,128,524288.0,6144.0,432.0,2.46,2618.88,1272.58,2618.88,memory
IntelGaudi2B,BF16,512,32,32,512,512,128,1048576.0,12288.0,432.0,2.46,5237.76,2545.17,5237.76,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,32,1024,1024,128,8192.0,80.0,432.0,2.46,34.1,19.88,34.1,memory
IntelGaudi2B,BF16,2,32,32,1024,1024,128,16384.0,160.0,432.0,2.46,68.2,39.77,68.2,memory
IntelGaudi2B,BF16,4,32,32,1024,1024,128,32768.0,320.0,432.0,2.46,136.4,79.54,136.4,memory
IntelGaudi2B,BF16,8,32,32,1024,1024,128,65536.0,640.0,432.0,2.46,272.8,159.07,272.8,memory
IntelGaudi2B,BF16,16,32,32,1024,1024,128,131072.0,1280.0,432.0,2.46,545.6,318.15,545.6,memory
IntelGaudi2B,BF16,32,32,32,1024,1024,128,262144.0,2560.0,432.0,2.46,1091.2,636.29,1091.2,memory
IntelGaudi2B,BF16,64,32,32,1024,1024,128,524288.0,5120.0,432.0,2.46,2182.4,1272.58,2182.4,memory
IntelGaudi2B,BF16,128,32,32,1024,1024,128,1048576.0,10240.0,432.0,2.46,4364.8,2545.17,4364.8,memory
IntelGaudi2B,BF16,256,32,32,1024,1024,128,2097152.0,20480.0,432.0,2.46,8729.61,5090.33,8729.61,memory
IntelGaudi2B,BF16,512,32,32,1024,1024,128,4194304.0,40960.0,432.0,2.46,17459.22,10180.66,17459.22,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,32,2048,2048,128,32768.0,288.0,432.0,2.46,122.76,79.54,122.76,memory
IntelGaudi2B,BF16,2,32,32,2048,2048,128,65536.0,576.0,432.0,2.46,245.52,159.07,245.52,memory
IntelGaudi2B,BF16,4,32,32,2048,2048,128,131072.0,1152.0,432.0,2.46,491.04,318.15,491.04,memory
IntelGaudi2B,BF16,8,32,32,2048,2048,128,262144.0,2304.0,432.0,2.46,982.08,636.29,982.08,memory
IntelGaudi2B,BF16,16,32,32,2048,2048,128,524288.0,4608.0,432.0,2.46,1964.16,1272.58,1964.16,memory
IntelGaudi2B,BF16,32,32,32,2048,2048,128,1048576.0,9216.0,432.0,2.46,3928.32,2545.17,3928.32,memory
IntelGaudi2B,BF16,64,32,32,2048,2048,128,2097152.0,18432.0,432.0,2.46,7856.65,5090.33,7856.65,memory
IntelGaudi2B,BF16,128,32,32,2048,2048,128,4194304.0,36864.0,432.0,2.46,15713.29,10180.66,15713.29,memory
IntelGaudi2B,BF16,256,32,32,2048,2048,128,8388608.0,73728.0,432.0,2.46,31426.59,20361.33,31426.59,memory
IntelGaudi2B,BF16,512,32,32,2048,2048,128,16777216.0,147456.0,432.0,2.46,62853.18,40722.65,62853.18,memory
,,,,,,,,,,,,,,,
