Model,Device,PP,TP,DType,BS,Input,Output,Operation,SeqLenQ,SeqLenKV,NumOps(G),Memory(GB),TopsRF(TFlops),AI,Bound
Qwen-7B,IntelGaudi2C,1,1,BF16,1,512,512,qkvo_proj,512,512,64.0,0.16,280.8,409.6,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,1,512,512,q@k_T,512,512,2.0,0.02,280.8,85.33,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,1,512,512,softmax,512,512,0.04,0.03,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,1,512,512,score@v,512,512,2.0,0.02,280.8,85.33,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,1,512,512,up(w1),512,512,43.0,0.1,280.8,437.04,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,1,512,512,down(w2),512,512,43.0,0.1,280.8,437.04,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,1,512,512,gate(w3),512,512,43.0,0.1,280.8,437.04,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,2,512,512,qkvo_proj,512,512,128.0,0.19,280.8,682.67,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,2,512,512,q@k_T,512,512,4.0,0.05,280.8,85.33,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,2,512,512,softmax,512,512,0.08,0.06,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,2,512,512,score@v,512,512,4.0,0.05,280.8,85.33,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,2,512,512,up(w1),512,512,86.0,0.11,280.8,762.46,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,2,512,512,down(w2),512,512,86.0,0.11,280.8,762.46,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,2,512,512,gate(w3),512,512,86.0,0.11,280.8,762.46,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,4,512,512,qkvo_proj,512,512,256.0,0.25,280.8,1024.0,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,4,512,512,q@k_T,512,512,8.0,0.09,280.8,85.33,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,4,512,512,softmax,512,512,0.16,0.12,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,4,512,512,score@v,512,512,8.0,0.09,280.8,85.33,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,4,512,512,up(w1),512,512,172.0,0.14,280.8,1214.68,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,4,512,512,down(w2),512,512,172.0,0.14,280.8,1214.68,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,4,512,512,gate(w3),512,512,172.0,0.14,280.8,1214.68,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,8,512,512,qkvo_proj,512,512,512.0,0.38,280.8,1365.33,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,8,512,512,q@k_T,512,512,16.0,0.19,280.8,85.33,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,8,512,512,softmax,512,512,0.31,0.25,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,8,512,512,score@v,512,512,16.0,0.19,280.8,85.33,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,8,512,512,up(w1),512,512,344.0,0.2,280.8,1726.75,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,8,512,512,down(w2),512,512,344.0,0.2,280.8,1726.75,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,8,512,512,gate(w3),512,512,344.0,0.2,280.8,1726.75,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,16,512,512,qkvo_proj,512,512,1024.0,0.62,280.8,1638.4,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,16,512,512,q@k_T,512,512,32.0,0.38,280.8,85.33,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,16,512,512,softmax,512,512,0.62,0.5,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,16,512,512,score@v,512,512,32.0,0.38,280.8,85.33,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,16,512,512,up(w1),512,512,688.0,0.31,280.8,2187.93,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,16,512,512,down(w2),512,512,688.0,0.31,280.8,2187.93,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,16,512,512,gate(w3),512,512,688.0,0.31,280.8,2187.93,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,32,512,512,qkvo_proj,512,512,2048.0,1.12,280.8,1820.44,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,32,512,512,q@k_T,512,512,64.0,0.75,280.8,85.33,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,32,512,512,softmax,512,512,1.25,1.0,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,32,512,512,score@v,512,512,64.0,0.75,280.8,85.33,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,32,512,512,up(w1),512,512,1376.0,0.54,280.8,2525.13,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,32,512,512,down(w2),512,512,1376.0,0.54,280.8,2525.13,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,32,512,512,gate(w3),512,512,1376.0,0.54,280.8,2525.13,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,64,512,512,qkvo_proj,512,512,4096.0,2.12,280.8,1927.53,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,64,512,512,q@k_T,512,512,128.0,1.5,280.8,85.33,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,64,512,512,softmax,512,512,2.5,2.0,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,64,512,512,score@v,512,512,128.0,1.5,280.8,85.33,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,64,512,512,up(w1),512,512,2752.0,1.01,280.8,2735.97,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,64,512,512,down(w2),512,512,2752.0,1.01,280.8,2735.97,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,64,512,512,gate(w3),512,512,2752.0,1.01,280.8,2735.97,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,128,512,512,qkvo_proj,512,512,8192.0,4.12,280.8,1985.94,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,128,512,512,q@k_T,512,512,256.0,3.0,280.8,85.33,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,128,512,512,softmax,512,512,5.0,4.0,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,128,512,512,score@v,512,512,256.0,3.0,280.8,85.33,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,128,512,512,up(w1),512,512,5504.0,1.93,280.8,2855.17,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,128,512,512,down(w2),512,512,5504.0,1.93,280.8,2855.17,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,128,512,512,gate(w3),512,512,5504.0,1.93,280.8,2855.17,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,256,512,512,qkvo_proj,512,512,16384.0,8.12,280.8,2016.49,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,256,512,512,q@k_T,512,512,512.0,6.0,280.8,85.33,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,256,512,512,softmax,512,512,10.0,8.0,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,256,512,512,score@v,512,512,512.0,6.0,280.8,85.33,memory
