Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,32,16,512,512,128,2048.0,22.0,432.0,2.46,9.38,4.97,9.38,memory
IntelGaudi2B,BF16,2,32,16,512,512,128,4096.0,44.0,432.0,2.46,18.76,9.94,18.76,memory
IntelGaudi2B,BF16,4,32,16,512,512,128,8192.0,88.0,432.0,2.46,37.51,19.88,37.51,memory
IntelGaudi2B,BF16,8,32,16,512,512,128,16384.0,176.0,432.0,2.46,75.02,39.77,75.02,memory
IntelGaudi2B,BF16,16,32,16,512,512,128,32768.0,352.0,432.0,2.46,150.04,79.54,150.04,memory
IntelGaudi2B,BF16,32,32,16,512,512,128,65536.0,704.0,432.0,2.46,300.08,159.07,300.08,memory
IntelGaudi2B,BF16,64,32,16,512,512,128,131072.0,1408.0,432.0,2.46,600.16,318.15,600.16,memory
IntelGaudi2B,BF16,128,32,16,512,512,128,262144.0,2816.0,432.0,2.46,1200.32,636.29,1200.32,memory
IntelGaudi2B,BF16,256,32,16,512,512,128,524288.0,5632.0,432.0,2.46,2400.64,1272.58,2400.64,memory
IntelGaudi2B,BF16,512,32,16,512,512,128,1048576.0,11264.0,432.0,2.46,4801.28,2545.17,4801.28,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,16,1024,1024,128,8192.0,76.0,432.0,2.46,32.4,19.88,32.4,memory
IntelGaudi2B,BF16,2,32,16,1024,1024,128,16384.0,152.0,432.0,2.46,64.79,39.77,64.79,memory
IntelGaudi2B,BF16,4,32,16,1024,1024,128,32768.0,304.0,432.0,2.46,129.58,79.54,129.58,memory
IntelGaudi2B,BF16,8,32,16,1024,1024,128,65536.0,608.0,432.0,2.46,259.16,159.07,259.16,memory
IntelGaudi2B,BF16,16,32,16,1024,1024,128,131072.0,1216.0,432.0,2.46,518.32,318.15,518.32,memory
IntelGaudi2B,BF16,32,32,16,1024,1024,128,262144.0,2432.0,432.0,2.46,1036.64,636.29,1036.64,memory
IntelGaudi2B,BF16,64,32,16,1024,1024,128,524288.0,4864.0,432.0,2.46,2073.28,1272.58,2073.28,memory
IntelGaudi2B,BF16,128,32,16,1024,1024,128,1048576.0,9728.0,432.0,2.46,4146.56,2545.17,4146.56,memory
IntelGaudi2B,BF16,256,32,16,1024,1024,128,2097152.0,19456.0,432.0,2.46,8293.13,5090.33,8293.13,memory
IntelGaudi2B,BF16,512,32,16,1024,1024,128,4194304.0,38912.0,432.0,2.46,16586.26,10180.66,16586.26,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,16,2048,2048,128,32768.0,280.0,432.0,2.46,119.35,79.54,119.35,memory
IntelGaudi2B,BF16,2,32,16,2048,2048,128,65536.0,560.0,432.0,2.46,238.7,159.07,238.7,memory
IntelGaudi2B,BF16,4,32,16,2048,2048,128,131072.0,1120.0,432.0,2.46,477.4,318.15,477.4,memory
IntelGaudi2B,BF16,8,32,16,2048,2048,128,262144.0,2240.0,432.0,2.46,954.8,636.29,954.8,memory
IntelGaudi2B,BF16,16,32,16,2048,2048,128,524288.0,4480.0,432.0,2.46,1909.6,1272.58,1909.6,memory
IntelGaudi2B,BF16,32,32,16,2048,2048,128,1048576.0,8960.0,432.0,2.46,3819.2,2545.17,3819.2,memory
IntelGaudi2B,BF16,64,32,16,2048,2048,128,2097152.0,17920.0,432.0,2.46,7638.41,5090.33,7638.41,memory
IntelGaudi2B,BF16,128,32,16,2048,2048,128,4194304.0,35840.0,432.0,2.46,15276.81,10180.66,15276.81,memory
IntelGaudi2B,BF16,256,32,16,2048,2048,128,8388608.0,71680.0,432.0,2.46,30553.63,20361.33,30553.63,memory
IntelGaudi2B,BF16,512,32,16,2048,2048,128,16777216.0,143360.0,432.0,2.46,61107.26,40722.65,61107.26,memory
,,,,,,,,,,,,,,,
