DType,Input,Output,BS,HiddenSize,HeadsQ,HeadsKV,InterSize,WithGate,Experts,Layers,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
BF16,512,512,1,4096,32,16,13696,False,1,28,256,13.88,4.57,4.6,4.59,4.6,217.39
BF16,512,512,2,4096,32,16,13696,False,1,28,256,23.67,4.65,4.7,4.67,4.71,424.63
BF16,512,512,4,4096,32,16,13696,False,1,28,256,43.27,4.8,4.9,4.85,4.92,813.01
BF16,512,512,8,4096,32,16,13696,False,1,28,256,82.45,5.1,5.3,5.2,5.35,1495.33
BF16,512,512,16,4096,32,16,13696,False,1,28,256,160.82,5.71,6.1,5.9,6.21,2576.49
BF16,512,512,32,4096,32,16,13696,False,1,28,256,317.56,6.92,7.7,7.31,7.92,4040.4
BF16,512,512,64,4096,32,16,13696,False,1,28,256,631.04,9.34,10.91,10.12,11.33,5648.72
BF16,512,512,128,4096,32,16,13696,False,1,28,256,1257.99,14.17,17.32,15.75,18.17,7044.58
BF16,512,512,256,4096,32,16,13696,False,1,28,256,2511.9,25.93,32.23,29.08,33.93,7544.95
BF16,512,512,512,4096,32,16,13696,False,1,28,256,5019.71,50.88,63.48,57.17,66.86,7657.79
,,,,,,,,,,,,,,,,,
BF16,1024,512,1,4096,32,16,13696,False,1,28,256,25.2,4.62,4.65,4.63,4.67,214.13
BF16,1024,512,2,4096,32,16,13696,False,1,28,256,46.32,4.75,4.8,4.77,4.85,412.37
BF16,1024,512,4,4096,32,16,13696,False,1,28,256,88.56,5.0,5.1,5.05,5.21,767.75
BF16,1024,512,8,4096,32,16,13696,False,1,28,256,173.04,5.5,5.69,5.59,5.92,1351.35
BF16,1024,512,16,4096,32,16,13696,False,1,28,256,342.0,6.49,6.89,6.69,7.35,2176.87
BF16,1024,512,32,4096,32,16,13696,False,1,28,256,679.92,8.49,9.28,8.89,10.2,3137.25
BF16,1024,512,64,4096,32,16,13696,False,1,28,256,1355.76,12.49,14.06,13.27,15.89,4027.69
BF16,1024,512,128,4096,32,16,13696,False,1,28,256,2707.44,20.48,23.63,22.05,27.29,4690.36
BF16,1024,512,256,4096,32,16,13696,False,1,28,256,5410.8,38.54,44.84,41.68,52.17,4907.03
BF16,1024,512,512,4096,32,16,13696,False,1,28,256,10817.52,76.08,88.69,82.37,103.34,4954.52
,,,,,,,,,,,,,,,,,
BF16,2048,512,1,4096,32,16,13696,False,1,28,256,52.43,4.72,4.75,4.73,4.83,207.04
BF16,2048,512,2,4096,32,16,13696,False,1,28,256,100.78,4.94,4.99,4.97,5.16,387.6
BF16,2048,512,4,4096,32,16,13696,False,1,28,256,197.48,5.39,5.49,5.44,5.82,687.29
BF16,2048,512,8,4096,32,16,13696,False,1,28,256,390.89,6.28,6.48,6.38,7.13,1122.02
BF16,2048,512,16,4096,32,16,13696,False,1,28,256,777.69,8.07,8.46,8.27,9.77,1637.67
BF16,2048,512,32,4096,32,16,13696,False,1,28,256,1551.3,11.64,12.43,12.04,15.04,2127.66
BF16,2048,512,64,4096,32,16,13696,False,1,28,256,3098.53,18.79,20.36,19.57,25.59,2500.98
BF16,2048,512,128,4096,32,16,13696,False,1,28,256,6192.97,33.08,36.23,34.65,46.68,2742.07
BF16,2048,512,256,4096,32,16,13696,False,1,28,256,12381.87,63.74,70.04,66.89,90.94,2815.04
BF16,2048,512,512,4096,32,16,13696,False,1,28,256,24759.65,126.5,139.1,132.79,180.89,2830.45
,,,,,,,,,,,,,,,,,
