Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,32,8,1,768,128,6.0,1.55,11.0,2.46,0.66,0.57,0.66,memory
IntelGaudi2B,BF16,2,32,8,1,768,128,12.0,3.11,11.0,2.46,1.33,1.14,1.33,memory
IntelGaudi2B,BF16,4,32,8,1,768,128,24.0,6.22,11.0,2.46,2.65,2.29,2.65,memory
IntelGaudi2B,BF16,8,32,8,1,768,128,48.0,12.44,11.0,2.46,5.3,4.58,5.3,memory
IntelGaudi2B,BF16,16,32,8,1,768,128,96.0,24.88,11.0,2.46,10.6,9.15,10.6,memory
IntelGaudi2B,BF16,32,32,8,1,768,128,192.0,49.75,11.0,2.46,21.21,18.3,21.21,memory
IntelGaudi2B,BF16,64,32,8,1,768,128,384.0,99.5,11.0,2.46,42.41,36.6,42.41,memory
IntelGaudi2B,BF16,128,32,8,1,768,128,768.0,199.0,11.0,2.46,84.82,73.21,84.82,memory
IntelGaudi2B,BF16,256,32,8,1,768,128,1536.0,398.0,11.0,2.46,169.65,146.42,169.65,memory
IntelGaudi2B,BF16,512,32,8,1,768,128,3072.0,796.0,11.0,2.46,339.3,292.84,339.3,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,8,1,1280,128,10.0,2.59,11.0,2.46,1.1,0.95,1.1,memory
IntelGaudi2B,BF16,2,32,8,1,1280,128,20.0,5.17,11.0,2.46,2.2,1.91,2.2,memory
IntelGaudi2B,BF16,4,32,8,1,1280,128,40.0,10.34,11.0,2.46,4.41,3.81,4.41,memory
IntelGaudi2B,BF16,8,32,8,1,1280,128,80.0,20.69,11.0,2.46,8.82,7.63,8.82,memory
IntelGaudi2B,BF16,16,32,8,1,1280,128,160.0,41.38,11.0,2.46,17.64,15.25,17.64,memory
IntelGaudi2B,BF16,32,32,8,1,1280,128,320.0,82.75,11.0,2.46,35.27,30.5,35.27,memory
IntelGaudi2B,BF16,64,32,8,1,1280,128,640.0,165.5,11.0,2.46,70.54,61.01,70.54,memory
IntelGaudi2B,BF16,128,32,8,1,1280,128,1280.0,331.0,11.0,2.46,141.09,122.02,141.09,memory
IntelGaudi2B,BF16,256,32,8,1,1280,128,2560.0,662.0,11.0,2.46,282.18,244.03,282.18,memory
IntelGaudi2B,BF16,512,32,8,1,1280,128,5120.0,1324.0,11.0,2.46,564.36,488.06,564.36,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,32,8,1,2304,128,18.0,4.65,11.0,2.46,1.98,1.72,1.98,memory
IntelGaudi2B,BF16,2,32,8,1,2304,128,36.0,9.3,11.0,2.46,3.96,3.43,3.96,memory
IntelGaudi2B,BF16,4,32,8,1,2304,128,72.0,18.59,11.0,2.46,7.93,6.86,7.93,memory
IntelGaudi2B,BF16,8,32,8,1,2304,128,144.0,37.19,11.0,2.46,15.85,13.73,15.85,memory
IntelGaudi2B,BF16,16,32,8,1,2304,128,288.0,74.38,11.0,2.46,31.7,27.45,31.7,memory
IntelGaudi2B,BF16,32,32,8,1,2304,128,576.0,148.75,11.0,2.46,63.4,54.91,63.4,memory
IntelGaudi2B,BF16,64,32,8,1,2304,128,1152.0,297.5,11.0,2.46,126.81,109.81,126.81,memory
IntelGaudi2B,BF16,128,32,8,1,2304,128,2304.0,595.0,11.0,2.46,253.62,219.63,253.62,memory
IntelGaudi2B,BF16,256,32,8,1,2304,128,4608.0,1190.0,11.0,2.46,507.24,439.26,507.24,memory
IntelGaudi2B,BF16,512,32,8,1,2304,128,9216.0,2380.0,11.0,2.46,1014.48,878.52,1014.48,memory
,,,,,,,,,,,,,,,
