Device,DType,BS,SeqLenQ,SeqLenKV,HiddenSize,IntermediateSize,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,1,768,5120,13696,133.75,133.79,3.38,2.46,57.03,41.49,62.84,memory
IntelGaudi2B,BF16,2,1,768,5120,13696,267.5,133.82,6.76,2.46,57.04,41.49,62.85,memory
IntelGaudi2B,BF16,4,1,768,5120,13696,535.0,133.89,13.52,2.46,57.07,41.49,62.88,memory
IntelGaudi2B,BF16,8,1,768,5120,13696,1070.0,134.04,27.04,2.46,57.13,41.49,62.94,memory
IntelGaudi2B,BF16,16,1,768,5120,13696,2140.0,134.32,54.08,2.46,57.26,41.49,63.06,memory
IntelGaudi2B,BF16,32,1,768,5120,13696,4280.0,134.9,108.16,2.46,57.5,41.49,63.31,memory
IntelGaudi2B,BF16,64,1,768,5120,13696,8560.0,136.05,216.32,2.46,57.99,41.49,63.8,memory
IntelGaudi2B,BF16,128,1,768,5120,13696,17120.0,138.34,432.0,2.46,58.97,41.55,64.79,memory
IntelGaudi2B,BF16,256,1,768,5120,13696,34240.0,142.94,432.0,2.46,60.93,83.11,95.83,compute
IntelGaudi2B,BF16,512,1,768,5120,13696,68480.0,152.12,432.0,2.46,64.84,166.22,177.87,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,1,1280,5120,13696,133.75,133.79,3.38,2.46,57.03,41.49,62.84,memory
IntelGaudi2B,BF16,2,1,1280,5120,13696,267.5,133.82,6.76,2.46,57.04,41.49,62.85,memory
IntelGaudi2B,BF16,4,1,1280,5120,13696,535.0,133.89,13.52,2.46,57.07,41.49,62.88,memory
IntelGaudi2B,BF16,8,1,1280,5120,13696,1070.0,134.04,27.04,2.46,57.13,41.49,62.94,memory
IntelGaudi2B,BF16,16,1,1280,5120,13696,2140.0,134.32,54.08,2.46,57.26,41.49,63.06,memory
IntelGaudi2B,BF16,32,1,1280,5120,13696,4280.0,134.9,108.16,2.46,57.5,41.49,63.31,memory
IntelGaudi2B,BF16,64,1,1280,5120,13696,8560.0,136.05,216.32,2.46,57.99,41.49,63.8,memory
IntelGaudi2B,BF16,128,1,1280,5120,13696,17120.0,138.34,432.0,2.46,58.97,41.55,64.79,memory
IntelGaudi2B,BF16,256,1,1280,5120,13696,34240.0,142.94,432.0,2.46,60.93,83.11,95.83,compute
IntelGaudi2B,BF16,512,1,1280,5120,13696,68480.0,152.12,432.0,2.46,64.84,166.22,177.87,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,1,2304,5120,13696,133.75,133.79,3.38,2.46,57.03,41.49,62.84,memory
IntelGaudi2B,BF16,2,1,2304,5120,13696,267.5,133.82,6.76,2.46,57.04,41.49,62.85,memory
IntelGaudi2B,BF16,4,1,2304,5120,13696,535.0,133.89,13.52,2.46,57.07,41.49,62.88,memory
IntelGaudi2B,BF16,8,1,2304,5120,13696,1070.0,134.04,27.04,2.46,57.13,41.49,62.94,memory
IntelGaudi2B,BF16,16,1,2304,5120,13696,2140.0,134.32,54.08,2.46,57.26,41.49,63.06,memory
IntelGaudi2B,BF16,32,1,2304,5120,13696,4280.0,134.9,108.16,2.46,57.5,41.49,63.31,memory
IntelGaudi2B,BF16,64,1,2304,5120,13696,8560.0,136.05,216.32,2.46,57.99,41.49,63.8,memory
IntelGaudi2B,BF16,128,1,2304,5120,13696,17120.0,138.34,432.0,2.46,58.97,41.55,64.79,memory
IntelGaudi2B,BF16,256,1,2304,5120,13696,34240.0,142.94,432.0,2.46,60.93,83.11,95.83,compute
IntelGaudi2B,BF16,512,1,2304,5120,13696,68480.0,152.12,432.0,2.46,64.84,166.22,177.87,compute
,,,,,,,,,,,,,,
