Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,40,40,512,512,128,2560.0,30.0,432.0,2.46,12.79,6.21,12.79,memory
IntelGaudi2B,BF16,2,40,40,512,512,128,5120.0,60.0,432.0,2.46,25.58,12.43,25.58,memory
IntelGaudi2B,BF16,4,40,40,512,512,128,10240.0,120.0,432.0,2.46,51.15,24.86,51.15,memory
IntelGaudi2B,BF16,8,40,40,512,512,128,20480.0,240.0,432.0,2.46,102.3,49.71,102.3,memory
IntelGaudi2B,BF16,16,40,40,512,512,128,40960.0,480.0,432.0,2.46,204.6,99.42,204.6,memory
IntelGaudi2B,BF16,32,40,40,512,512,128,81920.0,960.0,432.0,2.46,409.2,198.84,409.2,memory
IntelGaudi2B,BF16,64,40,40,512,512,128,163840.0,1920.0,432.0,2.46,818.4,397.68,818.4,memory
IntelGaudi2B,BF16,128,40,40,512,512,128,327680.0,3840.0,432.0,2.46,1636.8,795.36,1636.8,memory
IntelGaudi2B,BF16,256,40,40,512,512,128,655360.0,7680.0,432.0,2.46,3273.6,1590.73,3273.6,memory
IntelGaudi2B,BF16,512,40,40,512,512,128,1310720.0,15360.0,432.0,2.46,6547.21,3181.46,6547.21,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,40,40,1024,1024,128,10240.0,100.0,432.0,2.46,42.63,24.86,42.63,memory
IntelGaudi2B,BF16,2,40,40,1024,1024,128,20480.0,200.0,432.0,2.46,85.25,49.71,85.25,memory
IntelGaudi2B,BF16,4,40,40,1024,1024,128,40960.0,400.0,432.0,2.46,170.5,99.42,170.5,memory
IntelGaudi2B,BF16,8,40,40,1024,1024,128,81920.0,800.0,432.0,2.46,341.0,198.84,341.0,memory
IntelGaudi2B,BF16,16,40,40,1024,1024,128,163840.0,1600.0,432.0,2.46,682.0,397.68,682.0,memory
IntelGaudi2B,BF16,32,40,40,1024,1024,128,327680.0,3200.0,432.0,2.46,1364.0,795.36,1364.0,memory
IntelGaudi2B,BF16,64,40,40,1024,1024,128,655360.0,6400.0,432.0,2.46,2728.0,1590.73,2728.0,memory
IntelGaudi2B,BF16,128,40,40,1024,1024,128,1310720.0,12800.0,432.0,2.46,5456.01,3181.46,5456.01,memory
IntelGaudi2B,BF16,256,40,40,1024,1024,128,2621440.0,25600.0,432.0,2.46,10912.01,6362.91,10912.01,memory
IntelGaudi2B,BF16,512,40,40,1024,1024,128,5242880.0,51200.0,432.0,2.46,21824.02,12725.83,21824.02,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,40,40,2048,2048,128,40960.0,360.0,432.0,2.46,153.45,99.42,153.45,memory
IntelGaudi2B,BF16,2,40,40,2048,2048,128,81920.0,720.0,432.0,2.46,306.9,198.84,306.9,memory
IntelGaudi2B,BF16,4,40,40,2048,2048,128,163840.0,1440.0,432.0,2.46,613.8,397.68,613.8,memory
IntelGaudi2B,BF16,8,40,40,2048,2048,128,327680.0,2880.0,432.0,2.46,1227.6,795.36,1227.6,memory
IntelGaudi2B,BF16,16,40,40,2048,2048,128,655360.0,5760.0,432.0,2.46,2455.2,1590.73,2455.2,memory
IntelGaudi2B,BF16,32,40,40,2048,2048,128,1310720.0,11520.0,432.0,2.46,4910.4,3181.46,4910.4,memory
IntelGaudi2B,BF16,64,40,40,2048,2048,128,2621440.0,23040.0,432.0,2.46,9820.81,6362.91,9820.81,memory
IntelGaudi2B,BF16,128,40,40,2048,2048,128,5242880.0,46080.0,432.0,2.46,19641.62,12725.83,19641.62,memory
IntelGaudi2B,BF16,256,40,40,2048,2048,128,10485760.0,92160.0,432.0,2.46,39283.24,25451.66,39283.24,memory
IntelGaudi2B,BF16,512,40,40,2048,2048,128,20971520.0,184320.0,432.0,2.46,78566.47,50903.32,78566.47,memory
,,,,,,,,,,,,,,,
