Operation,Device,DType,M,N,K,AI,Latency(us),TFLOPs(1e12)
Matmul,IntelGaudi2B,BF16,1,14336,4096,1.0,52.62,3.38
Matmul,IntelGaudi2B,BF16,2,14336,4096,2.0,52.63,6.76
Matmul,IntelGaudi2B,BF16,4,14336,4096,3.99,52.66,13.52
Matmul,IntelGaudi2B,BF16,8,14336,4096,7.98,52.72,27.04
Matmul,IntelGaudi2B,BF16,16,14336,4096,15.92,52.84,54.08
Matmul,IntelGaudi2B,BF16,32,14336,4096,31.68,53.08,108.16
Matmul,IntelGaudi2B,BF16,64,14336,4096,62.74,53.56,216.32
Matmul,IntelGaudi2B,BF16,128,14336,4096,123.06,54.53,432.0
Matmul,IntelGaudi2B,BF16,256,14336,4096,236.96,80.81,432.0
Matmul,IntelGaudi2B,BF16,512,14336,4096,441.11,150.06,432.0
,,,,,,,,
